,date,pre_close,open,high,low,close,volume,amt,ptmtradeday,ptmday,delta,gamma,vega,theta,rho,us_impliedvol,exe_price,maint_margin,exe_ratio,wind_code,trade_coe,sec_name,option_mark_code,option_type,call_or_put,exercise_mode,exercise_price,contract_unit,limit_month,listed_date,expire_date,exercise_date,settlement_date,reference_price,settle_mode,contract_state
2017/12/1 0:00:00,非数字,0.1955,0.2077,0.189,0.189,616,1200500,78,118,0.762270064858339,1.72235909139537,0.00496918155256957,-0.15994492806677,0.00646736224824917,0.190790869140625,2.75,5295.6,10000,10001129,510050C1803M02750,50ETF购2018年3月2.75,510050.SH,ETF期权,认购,0,2.75,10000,2018-03,2017/12/1 0:00:00,2018/3/28 0:00:00,2018-03-28,2018-03-29,0.1989,实物资产,退市,
2017/12/4 0:00:00,0.189,0.1828,0.2048,0.1804,0.1962,418,816430,77,115,0.795688341339874,1.5818632742066,0.00452907631367924,-0.158115561295451,0.00660223160265383,0.182515881347656,2.75,5360.6,10000,10001129,510050C1803M02750,50ETF购2018年3月2.75,510050.SH,ETF期权,认购,0,2.75,10000,2018-03,2017/12/1 0:00:00,2018/3/28 0:00:00,2018-03-28,2018-03-29,0.1989,实物资产,退市,
2017/12/5 0:00:00,0.1962,0.1905,0.2352,0.1905,0.2296,584,1223166,76,114,0.85653490888357,1.19698925101002,0.00366149797030997,-0.152234078999137,0.00708254982403944,0.177060247802734,2.75,5785.6,10000,10001129,510050C1803M02750,50ETF购2018年3月2.75,510050.SH,ETF期权,认购,0,2.75,10000,2018-03,2017/12/1 0:00:00,2018/3/28 0:00:00,2018-03-28,2018-03-29,0.1989,实物资产,退市,
2017/12/6 0:00:00,0.2296,0.2094,0.2252,0.1914,0.2029,631,1317206,75,113,0.803143113161683,1.45126639458691,0.00441005482170637,-0.16615638954564,0.00654150329323349,0.17878115234375,2.75,5474.2,10000,10001129,510050C1803M02750,50ETF购2018年3月2.75,510050.SH,ETF期权,认购,0,2.75,10000,2018-03,2017/12/1 0:00:00,2018/3/28 0:00:00,2018-03-28,2018-03-29,0.1989,实物资产,退市,
2017/12/7 0:00:00,0.2029,0.2076,0.2076,0.1691,0.1778,278,516355,74,112,0.759702357234605,1.63429698792933,0.00487889392155802,-0.172338128418003,0.00610549661656655,0.169188024902344,2.75,5190.8,10000,10001129,510050C1803M02750,50ETF购2018年3月2.75,510050.SH,ETF期权,认购,0,2.75,10000,2018-03,2017/12/1 0:00:00,2018/3/28 0:00:00,2018-03-28,2018-03-29,0.1989,实物资产,退市,
2017/12/8 0:00:00,0.1778,0.1757,0.1985,0.1729,0.1957,338,609326,73,111,0.793600711017255,1.49638129551632,0.00448681690955216,-0.169259225391003,0.00634334954266887,0.175595648193359,2.75,5395,10000,10001129,510050C1803M02750,50ETF购2018年3月2.75,510050.SH,ETF期权,认购,0,2.75,10000,2018-03,2017/12/1 0:00:00,2018/3/28 0:00:00,2018-03-28,2018-03-29,0.1989,实物资产,退市,
2017/12/11 0:00:00,0.1957,0.1946,0.2183,0.1885,0.2183,551,1119305,72,108,0.840110366794787,1.27274958252487,0.00381602216939023,-0.163369261767923,0.00656648102967858,0.175412573242188,2.75,5660.6,10000,10001129,510050C1803M02750,50ETF购2018年3月2.75,510050.SH,ETF期权,认购,0,2.75,10000,2018-03,2017/12/1 0:00:00,2018/3/28 0:00:00,2018-03-28,2018-03-29,0.1989,实物资产,退市,
2017/12/12 0:00:00,0.2183,0.2187,0.22,0.1829,0.1829,360,738586,71,107,0.75553759592558,1.6035111210257,0.00481572337714942,-0.18096407276229,0.00579369200038832,0.181490661621094,2.75,5247.2,10000,10001129,510050C1803M02750,50ETF购2018年3月2.75,510050.SH,ETF期权,认购,0,2.75,10000,2018-03,2017/12/1 0:00:00,2018/3/28 0:00:00,2018-03-28,2018-03-29,0.1989,实物资产,退市,
2017/12/13 0:00:00,0.1829,0.1852,0.2094,0.1782,0.2041,547,1019157,70,106,0.791975539476946,1.45117637254975,0.00441172524257017,-0.177827646034977,0.00603883929752434,0.190534564208984,2.75,5485,10000,10001129,510050C1803M02750,50ETF购2018年3月2.75,510050.SH,ETF期权,认购,0,2.75,10000,2018-03,2017/12/1 0:00:00,2018/3/28 0:00:00,2018-03-28,2018-03-29,0.1989,实物资产,退市,
2017/12/14 0:00:00,0.2041,0.2009,0.2099,0.18,0.183,394,740750,69,105,0.761071973942837,1.58090080416715,0.00471777061001499,-0.182730500540158,0.00573018328645253,0.178707922363281,2.75,5250,10000,10001129,510050C1803M02750,50ETF购2018年3月2.75,510050.SH,ETF期权,认购,0,2.75,10000,2018-03,2017/12/1 0:00:00,2018/3/28 0:00:00,2018-03-28,2018-03-29,0.1989,实物资产,退市,
