,date,pre_close,open,high,low,close,volume,amt,ptmtradeday,ptmday,delta,gamma,vega,theta,rho,us_impliedvol,exe_price,maint_margin,exe_ratio,wind_code,trade_coe,sec_name,option_mark_code,option_type,call_or_put,exercise_mode,exercise_price,contract_unit,limit_month,listed_date,expire_date,exercise_date,settlement_date,reference_price,settle_mode,contract_state
2020/5/28 0:00:00,,0.0408,0.0523,0.0391,0.0458,10410,4757338,38,56,0.4509,1.5827,0.0043,-0.0009,0.0018,0.1476,2.85,3329.2,10000,10002532,510050C2007M02850,50ETF购2020年7月2850,510050.SH,ETF期权,认购,0,2.85,10000,2020-07,2020/5/28 0:00:00,2020/7/22 0:00:00,2020-07-22,2020-07-23,0.0427,实物资产,退市,
2020/5/29 0:00:00,0.0458,0.041,0.0505,0.0407,0.0452,3809,1766077,37,55,0.4491,1.6525,0.0043,-0.0009,0.0018,0.145,2.85,3334.4,10000,10002532,510050C2007M02850,50ETF购2020年7月2850,510050.SH,ETF期权,认购,0,2.85,10000,2020-07,2020/5/28 0:00:00,2020/7/22 0:00:00,2020-07-22,2020-07-23,0.0427,实物资产,退市,
2020/6/1 0:00:00,0.0452,0.0521,0.0704,0.0521,0.064,10465,6600435,36,52,0.5517,1.7322,0.0043,-0.0009,0.0021,0.1234,2.85,4076.8,10000,10002532,510050C2007M02850,50ETF购2020年7月2850,510050.SH,ETF期权,认购,0,2.85,10000,2020-07,2020/5/28 0:00:00,2020/7/22 0:00:00,2020-07-22,2020-07-23,0.0427,实物资产,退市,
2020/6/2 0:00:00,0.064,0.0662,0.0751,0.0623,0.0674,9452,6492996,35,51,0.5767,1.6837,0.0042,-0.001,0.0022,0.1151,2.85,4138.8,10000,10002532,510050C2007M02850,50ETF购2020年7月2850,510050.SH,ETF期权,认购,0,2.85,10000,2020-07,2020/5/28 0:00:00,2020/7/22 0:00:00,2020-07-22,2020-07-23,0.0427,实物资产,退市,
2020/6/3 0:00:00,0.0674,0.0736,0.0962,0.0732,0.0754,17092,14246288,34,50,0.5855,1.6971,0.0042,-0.001,0.0022,0.1253,2.85,4214.8,10000,10002532,510050C2007M02850,50ETF购2020年7月2850,510050.SH,ETF期权,认购,0,2.85,10000,2020-07,2020/5/28 0:00:00,2020/7/22 0:00:00,2020-07-22,2020-07-23,0.0427,实物资产,退市,
2020/6/4 0:00:00,0.0754,0.0783,0.0839,0.07,0.0719,8336,6189876,33,49,0.5773,1.7659,0.0041,-0.001,0.0021,0.126,2.85,4172.6,10000,10002532,510050C2007M02850,50ETF购2020年7月2850,510050.SH,ETF期权,认购,0,2.85,10000,2020-07,2020/5/28 0:00:00,2020/7/22 0:00:00,2020-07-22,2020-07-23,0.0427,实物资产,退市,
2020/6/5 0:00:00,0.0719,0.0722,0.0798,0.0651,0.0798,8456,6003520,32,48,0.6042,1.7729,0.004,-0.001,0.0021,0.1238,2.85,4268.4,10000,10002532,510050C2007M02850,50ETF购2020年7月2850,510050.SH,ETF期权,认购,0,2.85,10000,2020-07,2020/5/28 0:00:00,2020/7/22 0:00:00,2020-07-22,2020-07-23,0.0427,实物资产,退市,
2020/6/8 0:00:00,0.0798,0.0819,0.0964,0.0777,0.0791,11418,9896726,31,45,0.6347,1.8663,0.0038,-0.0009,0.0021,0.1026,2.85,4277.0,10000,10002532,510050C2007M02850,50ETF购2020年7月2850,510050.SH,ETF期权,认购,0,2.85,10000,2020-07,2020/5/28 0:00:00,2020/7/22 0:00:00,2020-07-22,2020-07-23,0.0427,实物资产,退市,
2020/6/9 0:00:00,0.0791,0.0813,0.0959,0.0802,0.0926,11934,10766875,30,44,0.672,1.8303,0.0037,-0.0009,0.0022,0.1017,2.85,4433.6,10000,10002532,510050C2007M02850,50ETF购2020年7月2850,510050.SH,ETF期权,认购,0,2.85,10000,2020-07,2020/5/28 0:00:00,2020/7/22 0:00:00,2020-07-22,2020-07-23,0.0427,实物资产,退市,
2020/6/10 0:00:00,0.0926,0.0926,0.0934,0.0835,0.0854,5721,4983549,29,43,0.6458,1.9303,0.0037,-0.0009,0.0021,0.1161,2.85,4343.6,10000,10002532,510050C2007M02850,50ETF购2020年7月2850,510050.SH,ETF期权,认购,0,2.85,10000,2020-07,2020/5/28 0:00:00,2020/7/22 0:00:00,2020-07-22,2020-07-23,0.0427,实物资产,退市,
2020/6/11 0:00:00,0.0854,0.0826,0.085,0.0633,0.0673,18497,13437953,28,42,0.5869,2.0848,0.0038,-0.001,0.0018,0.1236,2.85,4126.6,10000,10002532,510050C2007M02850,50ETF购2020年7月2850,510050.SH,ETF期权,认购,0,2.85,10000,2020-07,2020/5/28 0:00:00,2020/7/22 0:00:00,2020-07-22,2020-07-23,0.0427,实物资产,退市,
2020/6/12 0:00:00,0.0673,0.0513,0.0753,0.0513,0.0695,23783,15376485,27,41,0.615,2.0736,0.0037,-0.001,0.0019,0.1082,2.85,4164.2,10000,10002532,510050C2007M02850,50ETF购2020年7月2850,510050.SH,ETF期权,认购,0,2.85,10000,2020-07,2020/5/28 0:00:00,2020/7/22 0:00:00,2020-07-22,2020-07-23,0.0427,实物资产,退市,
2020/6/15 0:00:00,0.0695,0.0604,0.067,0.0456,0.047,32440,17550203,26,38,0.519,2.5358,0.0037,-0.0009,0.0015,0.1244,2.85,3856.4,10000,10002532,510050C2007M02850,50ETF购2020年7月2850,510050.SH,ETF期权,认购,0,2.85,10000,2020-07,2020/5/28 0:00:00,2020/7/22 0:00:00,2020-07-22,2020-07-23,0.0427,实物资产,退市,
2020/6/16 0:00:00,0.047,0.0562,0.063,0.0538,0.0613,34807,20637395,25,37,0.5931,2.4345,0.0036,-0.0009,0.0016,0.1178,2.85,4065.4,10000,10002532,510050C2007M02850,50ETF购2020年7月2850,510050.SH,ETF期权,认购,0,2.85,10000,2020-07,2020/5/28 0:00:00,2020/7/22 0:00:00,2020-07-22,2020-07-23,0.0427,实物资产,退市,
2020/6/17 0:00:00,0.0613,0.0594,0.0637,0.0561,0.0626,22313,13339634,24,36,0.6059,2.5225,0.0035,-0.0009,0.0016,0.1165,2.85,4083.2,10000,10002532,510050C2007M02850,50ETF购2020年7月2850,510050.SH,ETF期权,认购,0,2.85,10000,2020-07,2020/5/28 0:00:00,2020/7/22 0:00:00,2020-07-22,2020-07-23,0.0427,实物资产,退市,
2020/6/18 0:00:00,0.0626,0.06,0.0725,0.053,0.0719,43112,27767520,23,35,0.6469,2.5577,0.0033,-0.0009,0.0017,0.1185,2.85,4193.0,10000,10002532,510050C2007M02850,50ETF购2020年7月2850,510050.SH,ETF期权,认购,0,2.85,10000,2020-07,2020/5/28 0:00:00,2020/7/22 0:00:00,2020-07-22,2020-07-23,0.0427,实物资产,退市,
2020/6/19 0:00:00,0.0719,0.0726,0.1015,0.0696,0.0928,48734,43116580,22,34,0.7339,2.3536,0.0029,-0.0008,0.0019,0.1085,2.85,4440.4,10000,10002532,510050C2007M02850,50ETF购2020年7月2850,510050.SH,ETF期权,认购,0,2.85,10000,2020-07,2020/5/28 0:00:00,2020/7/22 0:00:00,2020-07-22,2020-07-23,0.0427,实物资产,退市,
2020/6/22 0:00:00,0.0928,0.0951,0.1166,0.0858,0.0932,51739,52438352,21,31,0.7485,2.578,0.0027,-0.0008,0.0018,0.1263,2.85,4440.8,10000,10002532,510050C2007M02850,50ETF购2020年7月2850,510050.SH,ETF期权,认购,0,2.85,10000,2020-07,2020/5/28 0:00:00,2020/7/22 0:00:00,2020-07-22,2020-07-23,0.0427,实物资产,退市,
2020/6/23 0:00:00,0.0932,0.0902,0.1026,0.0767,0.0974,40797,38010076,20,30,0.7829,2.5993,0.0025,-0.0007,0.0018,0.1271,2.85,4490.0,10000,10002532,510050C2007M02850,50ETF购2020年7月2850,510050.SH,ETF期权,认购,0,2.85,10000,2020-07,2020/5/28 0:00:00,2020/7/22 0:00:00,2020-07-22,2020-07-23,0.0427,实物资产,退市,
2020/6/24 0:00:00,0.0974,0.1059,0.1196,0.1026,0.1187,45554,51219481,19,29,0.8644,2.0485,0.0018,-0.0005,0.0019,0.1173,2.85,4736.6,10000,10002532,510050C2007M02850,50ETF购2020年7月2850,510050.SH,ETF期权,认购,0,2.85,10000,2020-07,2020/5/28 0:00:00,2020/7/22 0:00:00,2020-07-22,2020-07-23,0.0427,实物资产,退市,
2020/6/29 0:00:00,0.1187,0.1126,0.1198,0.0866,0.0974,55317,53022243,18,24,0.8356,2.5675,0.0019,-0.0006,0.0015,0.1155,2.85,4498.4,10000,10002532,510050C2007M02850,50ETF购2020年7月2850,510050.SH,ETF期权,认购,0,2.85,10000,2020-07,2020/5/28 0:00:00,2020/7/22 0:00:00,2020-07-22,2020-07-23,0.0427,实物资产,退市,
2020/6/30 0:00:00,0.0974,0.1053,0.1201,0.1,0.1088,50672,55387722,17,23,0.8821,2.0637,0.0015,-0.0006,0.0016,0.0,2.85,4635.2,10000,10002532,510050C2007M02850,50ETF购2020年7月2850,510050.SH,ETF期权,认购,0,2.85,10000,2020-07,2020/5/28 0:00:00,2020/7/22 0:00:00,2020-07-22,2020-07-23,0.0427,实物资产,退市,
2020/7/1 0:00:00,0.1088,0.115,0.1732,0.113,0.1732,68778,97032078,16,22,0.9751,0.6092,0.0004,-0.0003,0.0017,0.0,2.85,5402.4,10000,10002532,510050C2007M02850,50ETF购2020年7月2850,510050.SH,ETF期权,认购,0,2.85,10000,2020-07,2020/5/28 0:00:00,2020/7/22 0:00:00,2020-07-22,2020-07-23,0.0427,实物资产,退市,
2020/7/2 0:00:00,0.1732,0.1722,0.2677,0.1696,0.2582,35165,74206780,15,21,0.9961,0.1154,0.0001,-0.0002,0.0016,0.1997,2.85,6305.6,10000,10002532,510050C2007M02850,50ETF购2020年7月2850,510050.SH,ETF期权,认购,0,2.85,10000,2020-07,2020/5/28 0:00:00,2020/7/22 0:00:00,2020-07-22,2020-07-23,0.0427,实物资产,退市,
2020/7/3 0:00:00,0.2582,0.2619,0.3926,0.2619,0.3421,12599,38396775,14,20,0.9996,0.0126,0.0,-0.0002,0.0016,0.2771,2.85,7245.4,10000,10002532,510050C2007M02850,50ETF购2020年7月2850,510050.SH,ETF期权,认购,0,2.85,10000,2020-07,2020/5/28 0:00:00,2020/7/22 0:00:00,2020-07-22,2020-07-23,0.0427,实物资产,退市,
2020/7/6 0:00:00,0.3421,0.3719,0.66,0.3719,0.66,23703,122203003,13,17,1.0,0.0,0.0,-0.0002,0.0013,0.8317,2.85,10762.8,10000,10002532,510050C2007M02850,50ETF购2020年7月2850,510050.SH,ETF期权,认购,0,2.85,10000,2020-07,2020/5/28 0:00:00,2020/7/22 0:00:00,2020-07-22,2020-07-23,0.0427,实物资产,退市,
2020/7/7 0:00:00,0.66,0.8741,0.88,0.5621,0.569,8606,54351401,12,16,0.9999,0.0018,0.0,-0.0002,0.0012,0.5988,2.85,9969.4,10000,10002532,510050C2007M02850,50ETF购2020年7月2850,510050.SH,ETF期权,认购,0,2.85,10000,2020-07,2020/5/28 0:00:00,2020/7/22 0:00:00,2020-07-22,2020-07-23,0.0427,实物资产,退市,
2020/7/8 0:00:00,0.569,0.5621,0.6606,0.558,0.6139,3472,20545392,11,15,1.0,0.0004,0.0,-0.0002,0.0012,0.5532,2.85,10239.4,10000,10002532,510050C2007M02850,50ETF购2020年7月2850,510050.SH,ETF期权,认购,0,2.85,10000,2020-07,2020/5/28 0:00:00,2020/7/22 0:00:00,2020-07-22,2020-07-23,0.0427,实物资产,退市,
2020/7/9 0:00:00,0.6139,0.5959,0.6321,0.584,0.6126,1529,9337718,10,14,1.0,0.0002,0.0,-0.0002,0.0011,0.5122,2.85,10291.8,10000,10002532,510050C2007M02850,50ETF购2020年7月2850,510050.SH,ETF期权,认购,0,2.85,10000,2020-07,2020/5/28 0:00:00,2020/7/22 0:00:00,2020-07-22,2020-07-23,0.0427,实物资产,退市,
