,date,pre_close,open,high,low,close,volume,amt,ptmtradeday,ptmday,delta,gamma,vega,theta,rho,us_impliedvol,exe_price,maint_margin,exe_ratio,wind_code,trade_coe,sec_name,option_mark_code,option_type,call_or_put,exercise_mode,exercise_price,contract_unit,limit_month,listed_date,expire_date,exercise_date,settlement_date,reference_price,settle_mode,contract_state
2020/5/28 0:00:00,,0.0453,0.0576,0.0342,0.0471,8564,3774303,38,56,-0.3149,1.4198,0.0039,-0.0008,-0.0014,0.2111,2.7,2822.2,10000,10002538,510050P2007M02700,50ETF沽2020年7月2700,510050.SH,ETF期权,认沽,0,2.7,10000,2020-07,2020/5/28 0:00:00,2020/7/22 0:00:00,2020-07-22,2020-07-23,0.0486,实物资产,退市,
2020/5/29 0:00:00,0.0471,0.0531,0.0544,0.0442,0.0486,3175,1538154,37,55,-0.3069,1.4669,0.0038,-0.0007,-0.0014,0.2182,2.7,2828.4,10000,10002538,510050P2007M02700,50ETF沽2020年7月2700,510050.SH,ETF期权,认沽,0,2.7,10000,2020-07,2020/5/28 0:00:00,2020/7/22 0:00:00,2020-07-22,2020-07-23,0.0486,实物资产,退市,
2020/6/1 0:00:00,0.0486,0.0369,0.0413,0.0251,0.0252,7425,2094313,36,52,-0.2096,1.2604,0.0031,-0.0006,-0.0009,0.2022,2.7,2142.0,10000,10002538,510050P2007M02700,50ETF沽2020年7月2700,510050.SH,ETF期权,认沽,0,2.7,10000,2020-07,2020/5/28 0:00:00,2020/7/22 0:00:00,2020-07-22,2020-07-23,0.0486,实物资产,退市,
2020/6/2 0:00:00,0.0252,0.0248,0.026,0.0202,0.0217,6002,1328139,35,51,-0.1941,1.1824,0.003,-0.0006,-0.0008,0.2011,2.7,2107.0,10000,10002538,510050P2007M02700,50ETF沽2020年7月2700,510050.SH,ETF期权,认沽,0,2.7,10000,2020-07,2020/5/28 0:00:00,2020/7/22 0:00:00,2020-07-22,2020-07-23,0.0486,实物资产,退市,
2020/6/3 0:00:00,0.0217,0.0202,0.0215,0.017,0.0212,8276,1573102,34,50,-0.1854,1.1638,0.0029,-0.0006,-0.0008,0.2047,2.7,2102.0,10000,10002538,510050P2007M02700,50ETF沽2020年7月2700,510050.SH,ETF期权,认沽,0,2.7,10000,2020-07,2020/5/28 0:00:00,2020/7/22 0:00:00,2020-07-22,2020-07-23,0.0486,实物资产,退市,
2020/6/4 0:00:00,0.0212,0.0205,0.0225,0.0175,0.0207,7059,1473522,33,49,-0.1848,1.2035,0.0028,-0.0006,-0.0007,0.2009,2.7,2097.0,10000,10002538,510050P2007M02700,50ETF沽2020年7月2700,510050.SH,ETF期权,认沽,0,2.7,10000,2020-07,2020/5/28 0:00:00,2020/7/22 0:00:00,2020-07-22,2020-07-23,0.0486,实物资产,退市,
2020/6/5 0:00:00,0.0207,0.02,0.022,0.0164,0.0164,6637,1251712,32,48,-0.1626,1.1317,0.0026,-0.0005,-0.0006,0.1964,2.7,2054.0,10000,10002538,510050P2007M02700,50ETF沽2020年7月2700,510050.SH,ETF期权,认沽,0,2.7,10000,2020-07,2020/5/28 0:00:00,2020/7/22 0:00:00,2020-07-22,2020-07-23,0.0486,实物资产,退市,
2020/6/8 0:00:00,0.0164,0.0156,0.0156,0.0122,0.0144,11528,1553128,31,45,-0.1305,1.0528,0.0022,-0.0005,-0.0005,0.201,2.7,2034.0,10000,10002538,510050P2007M02700,50ETF沽2020年7月2700,510050.SH,ETF期权,认沽,0,2.7,10000,2020-07,2020/5/28 0:00:00,2020/7/22 0:00:00,2020-07-22,2020-07-23,0.0486,实物资产,退市,
2020/6/9 0:00:00,0.0144,0.0141,0.0147,0.0119,0.0127,8333,1044960,30,44,-0.1064,0.9299,0.0019,-0.0004,-0.0004,0.2058,2.7,2017.0,10000,10002538,510050P2007M02700,50ETF沽2020年7月2700,510050.SH,ETF期权,认沽,0,2.7,10000,2020-07,2020/5/28 0:00:00,2020/7/22 0:00:00,2020-07-22,2020-07-23,0.0486,实物资产,退市,
2020/6/10 0:00:00,0.0127,0.0124,0.0145,0.0124,0.0142,5742,773614,29,43,-0.117,1.0198,0.002,-0.0004,-0.0004,0.2062,2.7,2031.0,10000,10002538,510050P2007M02700,50ETF沽2020年7月2700,510050.SH,ETF期权,认沽,0,2.7,10000,2020-07,2020/5/28 0:00:00,2020/7/22 0:00:00,2020-07-22,2020-07-23,0.0486,实物资产,退市,
2020/6/11 0:00:00,0.0142,0.0148,0.0229,0.0136,0.02,16714,3047498,28,42,-0.1463,1.2274,0.0022,-0.0005,-0.0005,0.215,2.7,2090.0,10000,10002538,510050P2007M02700,50ETF沽2020年7月2700,510050.SH,ETF期权,认沽,0,2.7,10000,2020-07,2020/5/28 0:00:00,2020/7/22 0:00:00,2020-07-22,2020-07-23,0.0486,实物资产,退市,
2020/6/12 0:00:00,0.02,0.0301,0.0327,0.0162,0.018,21938,4778463,27,41,-0.1271,1.1297,0.002,-0.0004,-0.0004,0.2175,2.7,2070.0,10000,10002538,510050P2007M02700,50ETF沽2020年7月2700,510050.SH,ETF期权,认沽,0,2.7,10000,2020-07,2020/5/28 0:00:00,2020/7/22 0:00:00,2020-07-22,2020-07-23,0.0486,实物资产,退市,
