,date,pre_close,open,high,low,close,volume,amt,ptmtradeday,ptmday,delta,gamma,vega,theta,rho,us_impliedvol,exe_price,maint_margin,exe_ratio,wind_code,trade_coe,sec_name,option_mark_code,option_type,call_or_put,exercise_mode,exercise_price,contract_unit,limit_month,listed_date,expire_date,exercise_date,settlement_date,reference_price,settle_mode,contract_state
2016/1/8 0:00:00,非数字,0.11,0.1346,0.0869,0.1048,3078,3496275,14,20,0.691822394056414,2.25066479235255,0.00178151152996665,-0.562276457907319,0.000745135028042459,0.314915686035156,2.15,3710.8,10000,10000516,510050C1601M02150,50ETF购2016年1月2.15,510050.SH,ETF期权,认购,0,2.15,10000,2016-01,2016/1/8 0:00:00,2016/1/27 0:00:00,2016-01-27,2016-01-28,0.0807,实物资产,退市,
2016/1/11 0:00:00,0.1048,0.099,0.099,0.0588,0.0588,9368,7348421,13,17,0.450025451973725,2.77876406686759,0.00176099104400023,-0.664464989687672,0.00039884106828592,0.390122875976563,2.15,2888,10000,10000516,510050C1601M02150,50ETF购2016年1月2.15,510050.SH,ETF期权,认购,0,2.15,10000,2016-01,2016/1/8 0:00:00,2016/1/27 0:00:00,2016-01-27,2016-01-28,0.0807,实物资产,退市,
2016/1/12 0:00:00,0.0588,0.0651,0.0788,0.0536,0.0566,15207,9649306,12,16,0.463711925531292,2.8979998764863,0.00171629169125842,-0.684360643081474,0.000386850465271399,0.374158740234375,2.15,2933.2,10000,10000516,510050C1601M02150,50ETF购2016年1月2.15,510050.SH,ETF期权,认购,0,2.15,10000,2016-01,2016/1/8 0:00:00,2016/1/27 0:00:00,2016-01-27,2016-01-28,0.0807,实物资产,退市,
2016/1/13 0:00:00,0.0566,0.062,0.0699,0.0466,0.0476,17135,10293857,11,15,0.404412507580686,2.95324209848125,0.00160254642161073,-0.681214551136015,0.000313542195312466,0.384923547363281,2.15,2630.4,10000,10000516,510050C1601M02150,50ETF购2016年1月2.15,510050.SH,ETF期权,认购,0,2.15,10000,2016-01,2016/1/8 0:00:00,2016/1/27 0:00:00,2016-01-27,2016-01-28,0.0807,实物资产,退市,
2016/1/14 0:00:00,0.0476,0.031,0.0584,0.031,0.0522,13634,6322945,10,14,0.458408690075652,3.1037825744728,0.00159569551106681,-0.733335599130544,0.000332599566744667,0.375183959960938,2.15,2889.2,10000,10000516,510050C1601M02150,50ETF购2016年1月2.15,510050.SH,ETF期权,认购,0,2.15,10000,2016-01,2016/1/8 0:00:00,2016/1/27 0:00:00,2016-01-27,2016-01-28,0.0807,实物资产,退市,
2016/1/15 0:00:00,0.0522,0.0518,0.0521,0.0249,0.029,12685,4988607,9,13,0.271727681497361,2.74517660073324,0.00124497239829245,-0.621908370669003,0.000178498186698047,0.395102514648438,2.15,1974,10000,10000516,510050C1601M02150,50ETF购2016年1月2.15,510050.SH,ETF期权,认购,0,2.15,10000,2016-01,2016/1/8 0:00:00,2016/1/27 0:00:00,2016-01-27,2016-01-28,0.0807,实物资产,退市,
2016/1/18 0:00:00,0.029,0.0246,0.0319,0.017,0.0177,9808,2478487,8,10,0.237456412409248,2.95629562723713,0.0010046083381666,-0.665998719667708,0.000117694624746193,0.355411865234375,2.15,1861,10000,10000516,510050C1601M02150,50ETF购2016年1月2.15,510050.SH,ETF期权,认购,0,2.15,10000,2016-01,2016/1/8 0:00:00,2016/1/27 0:00:00,2016-01-27,2016-01-28,0.0807,实物资产,退市,
2016/1/19 0:00:00,0.0177,0.0166,0.0358,0.0133,0.0315,13536,3525881,7,9,0.437026775766527,3.8197217594941,0.00124231632391843,-0.947348238609537,0.000196891783621661,0.318650415039063,2.15,2671,10000,10000516,510050C1601M02150,50ETF购2016年1月2.15,510050.SH,ETF期权,认购,0,2.15,10000,2016-01,2016/1/8 0:00:00,2016/1/27 0:00:00,2016-01-27,2016-01-28,0.0807,实物资产,退市,
2016/1/20 0:00:00,0.0315,0.0313,0.0313,0.0139,0.0148,12003,2562212,6,8,0.281135613457106,3.54744714874312,0.000976678212316067,-0.849270457170128,0.000109632835438393,0.313817236328125,2.15,2067.2,10000,10000516,510050C1601M02150,50ETF购2016年1月2.15,510050.SH,ETF期权,认购,0,2.15,10000,2016-01,2016/1/8 0:00:00,2016/1/27 0:00:00,2016-01-27,2016-01-28,0.0807,实物资产,退市,
2016/1/21 0:00:00,0.0148,0.0137,0.0247,0.0047,0.0047,13206,1828114,5,7,0.120514574763102,2.3135529877987,0.000525562695532938,-0.534828806606885,3.96421291420836E-05,0.32406943359375,2.15,1477.1,10000,10000516,510050C1601M02150,50ETF购2016年1月2.15,510050.SH,ETF期权,认购,0,2.15,10000,2016-01,2016/1/8 0:00:00,2016/1/27 0:00:00,2016-01-27,2016-01-28,0.0807,实物资产,退市,
