,date,pre_close,open,high,low,close,volume,amt,ptmtradeday,ptmday,delta,gamma,vega,theta,rho,us_impliedvol,exe_price,maint_margin,exe_ratio,wind_code,trade_coe,sec_name,option_mark_code,option_type,call_or_put,exercise_mode,exercise_price,contract_unit,limit_month,listed_date,expire_date,exercise_date,settlement_date,reference_price,settle_mode,contract_state
2020/7/7 0:00:00,,0.18,0.2164,0.106,0.1107,7266,10967792,116,170,0.2263,0.5772,0.007,-0.0005,0.0033,0.2874,3.9,3488.4,10000,10002689,510050C2012M03900,50ETF购12月3900,510050.SH,ETF期权,认购,0,3.9,10000,2020-12,2020/7/7 0:00:00,2020/12/23 0:00:00,2020-12-23,2020-12-24,0.1458,实物资产,上市,
2020/7/8 0:00:00,0.1107,0.1123,0.1484,0.1023,0.1325,7912,9539778,115,169,0.2561,0.6023,0.0075,-0.0006,0.0037,0.2929,3.9,3710.9,10000,10002689,510050C2012M03900,50ETF购12月3900,510050.SH,ETF期权,认购,0,3.9,10000,2020-12,2020/7/7 0:00:00,2020/12/23 0:00:00,2020-12-23,2020-12-24,0.1458,实物资产,上市,
2020/7/9 0:00:00,0.1325,0.134,0.1448,0.1164,0.136,7117,9519783,114,168,0.2628,0.6098,0.0077,-0.0006,0.0038,0.2988,3.9,3781.3,10000,10002689,510050C2012M03900,50ETF购12月3900,510050.SH,ETF期权,认购,0,3.9,10000,2020-12,2020/7/7 0:00:00,2020/12/23 0:00:00,2020-12-23,2020-12-24,0.1458,实物资产,上市,
2020/7/10 0:00:00,0.136,0.13,0.1328,0.1082,0.1124,6386,7754672,113,167,0.2117,0.5569,0.0066,-0.0005,0.003,0.3016,3.9,3485.1,10000,10002689,510050C2012M03900,50ETF购12月3900,510050.SH,ETF期权,认购,0,3.9,10000,2020-12,2020/7/7 0:00:00,2020/12/23 0:00:00,2020-12-23,2020-12-24,0.1458,实物资产,上市,
2020/7/13 0:00:00,0.1124,0.114,0.1288,0.1,0.102,7402,8113472,112,164,0.2428,0.5803,0.0072,-0.0006,0.0034,0.2761,3.9,3411.2,10000,10002689,510050C2012M03900,50ETF购12月3900,510050.SH,ETF期权,认购,0,3.9,10000,2020-12,2020/7/7 0:00:00,2020/12/23 0:00:00,2020-12-23,2020-12-24,0.1458,实物资产,上市,
2020/7/14 0:00:00,0.102,0.1079,0.1079,0.0831,0.0911,3829,3619652,111,163,0.2214,0.5585,0.0067,-0.0005,0.0031,0.2761,3.9,3277.0,10000,10002689,510050C2012M03900,50ETF购12月3900,510050.SH,ETF期权,认购,0,3.9,10000,2020-12,2020/7/7 0:00:00,2020/12/23 0:00:00,2020-12-23,2020-12-24,0.1458,实物资产,上市,
2020/7/15 0:00:00,0.0911,0.0976,0.1011,0.0843,0.0852,2582,2409748,110,162,0.2043,0.5386,0.0063,-0.0005,0.0028,0.2817,3.9,3197.0,10000,10002689,510050C2012M03900,50ETF购12月3900,510050.SH,ETF期权,认购,0,3.9,10000,2020-12,2020/7/7 0:00:00,2020/12/23 0:00:00,2020-12-23,2020-12-24,0.1458,实物资产,上市,
2020/7/16 0:00:00,0.0852,0.088,0.0923,0.0526,0.0529,7708,5547126,109,161,0.1338,0.429,0.0046,-0.0004,0.0018,0.2796,3.9,2773.2,10000,10002689,510050C2012M03900,50ETF购12月3900,510050.SH,ETF期权,认购,0,3.9,10000,2020-12,2020/7/7 0:00:00,2020/12/23 0:00:00,2020-12-23,2020-12-24,0.1458,实物资产,上市,
2020/7/17 0:00:00,0.0529,0.0563,0.0643,0.0459,0.0459,8151,4436325,108,160,0.1645,0.4542,0.0053,-0.0005,0.0021,0.2587,3.9,2719.3,10000,10002689,510050C2012M03900,50ETF购12月3900,510050.SH,ETF期权,认购,0,3.9,10000,2020-12,2020/7/7 0:00:00,2020/12/23 0:00:00,2020-12-23,2020-12-24,0.1458,实物资产,上市,
2020/7/20 0:00:00,0.0459,0.0496,0.0625,0.0393,0.0586,5239,2707311,107,157,0.2097,0.5188,0.0063,-0.0005,0.0027,0.2504,3.9,2917.7,10000,10002689,510050C2012M03900,50ETF购12月3900,510050.SH,ETF期权,认购,0,3.9,10000,2020-12,2020/7/7 0:00:00,2020/12/23 0:00:00,2020-12-23,2020-12-24,0.1458,实物资产,上市,
