,date,pre_close,open,high,low,close,volume,amt,ptmtradeday,ptmday,delta,gamma,vega,theta,rho,us_impliedvol,exe_price,maint_margin,exe_ratio,wind_code,trade_coe,sec_name,option_mark_code,option_type,call_or_put,exercise_mode,exercise_price,contract_unit,limit_month,listed_date,expire_date,exercise_date,settlement_date,reference_price,settle_mode,contract_state
2019/12/2 0:00:00,,0.0061,0.0084,0.006,0.0069,30559,2117353,18,24,-0.1133,2.2114,0.0014,-0.0003,-0.0002,0.13,2.8,2575.4,10000,10002040,510050P1912M02800,50ETF沽2019年12月2800,510050.SH,ETF期权,认沽,0,2.8,10000,2019-12,2019/12/2 0:00:00,2019/12/25 0:00:00,2019-12-25,2019-12-26,0.0096,实物资产,退市,
2019/12/3 0:00:00,0.0069,0.0076,0.0105,0.0049,0.0055,44836,3212322,17,23,-0.0942,1.9182,0.0012,-0.0003,-0.0002,0.1323,2.8,2473.4,10000,10002040,510050P1912M02800,50ETF沽2019年12月2800,510050.SH,ETF期权,认沽,0,2.8,10000,2019-12,2019/12/2 0:00:00,2019/12/25 0:00:00,2019-12-25,2019-12-26,0.0096,实物资产,退市,
2019/12/4 0:00:00,0.0055,0.0062,0.0079,0.0047,0.0048,39705,2382757,16,22,-0.0999,2.0689,0.0012,-0.0003,-0.0002,0.1251,2.8,2519.2,10000,10002040,510050P1912M02800,50ETF沽2019年12月2800,510050.SH,ETF期权,认沽,0,2.8,10000,2019-12,2019/12/2 0:00:00,2019/12/25 0:00:00,2019-12-25,2019-12-26,0.0096,实物资产,退市,
2019/12/5 0:00:00,0.0048,0.0032,0.0042,0.0027,0.0032,38701,1348216,15,21,-0.0636,1.4955,0.0009,-0.0002,-0.0001,0.1292,2.8,2344.8,10000,10002040,510050P1912M02800,50ETF沽2019年12月2800,510050.SH,ETF期权,认沽,0,2.8,10000,2019-12,2019/12/2 0:00:00,2019/12/25 0:00:00,2019-12-25,2019-12-26,0.0096,实物资产,退市,
2019/12/6 0:00:00,0.0032,0.0028,0.0032,0.0025,0.0025,20514,588516,14,20,-0.0365,0.991,0.0005,-0.0002,-0.0001,0.137,2.8,2187.2,10000,10002040,510050P1912M02800,50ETF沽2019年12月2800,510050.SH,ETF期权,认沽,0,2.8,10000,2019-12,2019/12/2 0:00:00,2019/12/25 0:00:00,2019-12-25,2019-12-26,0.0096,实物资产,退市,
2019/12/9 0:00:00,0.0025,0.0022,0.0026,0.0018,0.002,14935,315323,13,17,-0.0294,0.913,0.0004,-0.0001,0.0,0.1382,2.8,2227.2,10000,10002040,510050P1912M02800,50ETF沽2019年12月2800,510050.SH,ETF期权,认沽,0,2.8,10000,2019-12,2019/12/2 0:00:00,2019/12/25 0:00:00,2019-12-25,2019-12-26,0.0096,实物资产,退市,
2019/12/10 0:00:00,0.002,0.002,0.0023,0.0013,0.0014,12245,197940,12,16,-0.0221,0.7545,0.0003,-0.0001,0.0,0.1314,2.8,2202.6,10000,10002040,510050P1912M02800,50ETF沽2019年12月2800,510050.SH,ETF期权,认沽,0,2.8,10000,2019-12,2019/12/2 0:00:00,2019/12/25 0:00:00,2019-12-25,2019-12-26,0.0096,实物资产,退市,
2019/12/11 0:00:00,0.0014,0.0015,0.0018,0.001,0.0013,13309,169576,11,15,-0.0112,0.4354,0.0002,-0.0001,0.0,0.1465,2.8,2078.4,10000,10002040,510050P1912M02800,50ETF沽2019年12月2800,510050.SH,ETF期权,认沽,0,2.8,10000,2019-12,2019/12/2 0:00:00,2019/12/25 0:00:00,2019-12-25,2019-12-26,0.0096,实物资产,退市,
2019/12/12 0:00:00,0.0013,0.001,0.0014,0.0009,0.0012,5880,66152,10,14,-0.0139,0.5432,0.0002,-0.0001,0.0,0.1404,2.8,2166.4,10000,10002040,510050P1912M02800,50ETF沽2019年12月2800,510050.SH,ETF期权,认沽,0,2.8,10000,2019-12,2019/12/2 0:00:00,2019/12/25 0:00:00,2019-12-25,2019-12-26,0.0096,实物资产,退市,
2019/12/13 0:00:00,0.0012,0.001,0.0011,0.0006,0.0007,21124,170891,9,13,-0.0005,0.0296,0.0,0.0,0.0,0.1797,2.8,1967.0,10000,10002040,510050P1912M02800,50ETF沽2019年12月2800,510050.SH,ETF期权,认沽,0,2.8,10000,2019-12,2019/12/2 0:00:00,2019/12/25 0:00:00,2019-12-25,2019-12-26,0.0096,实物资产,退市,
