date,pre_close,open,high,low,close,volume,amt,ptmtradeday,ptmday,delta,gamma,vega,theta,rho,us_impliedvol,exe_price,maint_margin,exe_ratio,wind_code,trade_coe,sec_name,option_mark_code,option_type,call_or_put,exercise_mode,exercise_price,contract_unit,limit_month,listed_date,expire_date,exercise_date,settlement_date,reference_price,settle_mode,contract_state
2015/4/13 0:00:00,非数字,0.1752,0.1752,0.1388,0.1444,457,712790,8,10,-0.725463962623219,1.9961940140957,0.00156584709716575,-1.05629684785931,-0.00056807740323723,0.420000708007813,3.1,5042.2,10000,10000152,510050P1504M03100,50ETF沽2015年4月3.10,510050.SH,ETF期权,认沽,欧式,3.1,10000,2015-04,2015/4/13 0:00:00,2015/4/22 0:00:00,2015-04-22,2015-04-23,0.1835,实物资产,退市,
2015/4/14 0:00:00,0.1444,0.145,0.1601,0.1159,0.1342,649,897628,7,9,-0.725543751176277,2.14281004955279,0.00148003113874465,-1.11098347700322,-0.000504188977585502,0.41428876953125,3.1,4940.8,10000,10000152,510050P1504M03100,50ETF沽2015年4月3.10,510050.SH,ETF期权,认沽,欧式,3.1,10000,2015-04,2015/4/13 0:00:00,2015/4/22 0:00:00,2015-04-22,2015-04-23,0.1835,实物资产,退市,
2015/4/15 0:00:00,0.1342,0.1331,0.1342,0.0755,0.1106,803,852521,6,8,-0.713560305655215,2.32928557224586,0.00141904062774236,-1.22619786624553,-0.000433648916917177,0.335932690429688,3.1,4751.2,10000,10000152,510050P1504M03100,50ETF沽2015年4月3.10,510050.SH,ETF期权,认沽,欧式,3.1,10000,2015-04,2015/4/13 0:00:00,2015/4/22 0:00:00,2015-04-22,2015-04-23,0.1835,实物资产,退市,
2015/4/16 0:00:00,0.1106,0.114,0.127,0.0367,0.0367,1367,876100,5,7,-0.364197914925804,2.59607123455863,0.00151451704022271,-1.61655517472665,-0.000194365669785242,0.35687646484375,3.1,3691,10000,10000152,510050P1504M03100,50ETF沽2015年4月3.10,510050.SH,ETF期权,认沽,欧式,3.1,10000,2015-04,2015/4/13 0:00:00,2015/4/22 0:00:00,2015-04-22,2015-04-23,0.1835,实物资产,退市,
2015/4/17 0:00:00,0.0367,0.0356,0.0356,0.0136,0.0224,3825,737979,4,6,-0.249631779214471,2.37474027237419,0.00118366849129933,-1.52388627126109,-0.000111699758822163,0.375916259765625,3.1,3185,10000,10000152,510050P1504M03100,50ETF沽2015年4月3.10,510050.SH,ETF期权,认沽,欧式,3.1,10000,2015-04,2015/4/13 0:00:00,2015/4/22 0:00:00,2015-04-22,2015-04-23,0.1835,实物资产,退市,
2015/4/20 0:00:00,0.0224,0.0061,0.0357,0.0056,0.0304,5075,903586,3,3,-0.477802498766866,4.76752449909507,0.000914929113449369,-2.99003935383017,-8.29698747059175E-05,0.350871606445313,3.1,3997.6,10000,10000152,510050P1504M03100,50ETF沽2015年4月3.10,510050.SH,ETF期权,认沽,欧式,3.1,10000,2015-04,2015/4/13 0:00:00,2015/4/22 0:00:00,2015-04-22,2015-04-23,0.1835,实物资产,退市,
2015/4/21 0:00:00,0.0304,0.027,0.0376,0.0052,0.0052,2297,484319,2,2,-0.237345709011046,5.24909742354195,0.000507997909130054,-3.29671332105184,-2.06515159548442E-05,0.2941916015625,3.1,3422.2,10000,10000152,510050P1504M03100,50ETF沽2015年4月3.10,510050.SH,ETF期权,认沽,欧式,3.1,10000,2015-04,2015/4/13 0:00:00,2015/4/22 0:00:00,2015-04-22,2015-04-23,0.1835,实物资产,退市,
2015/4/22 0:00:00,0.0052,0.0047,0.0047,0.0001,0.0001,439,7348,1,1,非数字,非数字,非数字,非数字,非数字,非数字,3.1,非数字,10000,10000152,510050P1504M03100,50ETF沽2015年4月3.10,510050.SH,ETF期权,认沽,欧式,3.1,10000,2015-04,2015/4/13 0:00:00,2015/4/22 0:00:00,2015-04-22,2015-04-23,0.1835,实物资产,退市,
