wind_code,trade_coe,sec_name,option_mark_code,option_type,call_or_put,exercise_mode,exercise_price,contract_unit,limit_month,listed_date,expire_date,exercise_date,settlement_date,reference_price,settle_mode,contract_state
10000019,510050P1504M02350,50ETF沽2015年4月2350,510050.SH,ETF期权,认沽,欧式,2.35,10000,2015-04,2015/2/9 0:00:00,2015/4/22 0:00:00,2015-04-22,2015-04-23,0.1823,实物资产,退市,
10000020,510050P1504M02400,50ETF沽2015年4月2400,510050.SH,ETF期权,认沽,欧式,2.4,10000,2015-04,2015/2/9 0:00:00,2015/4/22 0:00:00,2015-04-22,2015-04-23,0.2119,实物资产,退市,
10000021,510050C1506M02200,50ETF购2015年6月2200,510050.SH,ETF期权,认购,欧式,2.2,10000,2015-06,2015/2/9 0:00:00,2015/6/24 0:00:00,2015-06-24,2015-06-25,0.2815,实物资产,退市,
10000022,510050C1506M02250,50ETF购2015年6月2250,510050.SH,ETF期权,认购,欧式,2.25,10000,2015-06,2015/2/9 0:00:00,2015/6/24 0:00:00,2015-06-24,2015-06-25,0.2555,实物资产,退市,
10000023,510050C1506M02300,50ETF购2015年6月2300,510050.SH,ETF期权,认购,欧式,2.3,10000,2015-06,2015/2/9 0:00:00,2015/6/24 0:00:00,2015-06-24,2015-06-25,0.2314,实物资产,退市,
10000024,510050C1506M02350,50ETF购2015年6月2350,510050.SH,ETF期权,认购,欧式,2.35,10000,2015-06,2015/2/9 0:00:00,2015/6/24 0:00:00,2015-06-24,2015-06-25,0.2091,实物资产,退市,
10000025,510050C1506M02400,50ETF购2015年6月2400,510050.SH,ETF期权,认购,欧式,2.4,10000,2015-06,2015/2/9 0:00:00,2015/6/24 0:00:00,2015-06-24,2015-06-25,0.1885,实物资产,退市,
10000026,510050P1506M02200,50ETF沽2015年6月2200,510050.SH,ETF期权,认沽,欧式,2.2,10000,2015-06,2015/2/9 0:00:00,2015/6/24 0:00:00,2015-06-24,2015-06-25,0.156,实物资产,退市,
10000027,510050P1506M02250,50ETF沽2015年6月2250,510050.SH,ETF期权,认沽,欧式,2.25,10000,2015-06,2015/2/9 0:00:00,2015/6/24 0:00:00,2015-06-24,2015-06-25,0.1793,实物资产,退市,
10000028,510050P1506M02300,50ETF沽2015年6月2300,510050.SH,ETF期权,认沽,欧式,2.3,10000,2015-06,2015/2/9 0:00:00,2015/6/24 0:00:00,2015-06-24,2015-06-25,0.2044,实物资产,退市,
10000029,510050P1506M02350,50ETF沽2015年6月2350,510050.SH,ETF期权,认沽,欧式,2.35,10000,2015-06,2015/2/9 0:00:00,2015/6/24 0:00:00,2015-06-24,2015-06-25,0.2313,实物资产,退市,
10000030,510050P1506M02400,50ETF沽2015年6月2400,510050.SH,ETF期权,认沽,欧式,2.4,10000,2015-06,2015/2/9 0:00:00,2015/6/24 0:00:00,2015-06-24,2015-06-25,0.2599,实物资产,退市,
10000031,510050C1509M02200,50ETF购2015年9月2200,510050.SH,ETF期权,认购,欧式,2.2,10000,2015-09,2015/2/9 0:00:00,2015/9/23 0:00:00,2015-09-23,2015-09-24,0.3536,实物资产,退市,
10000032,510050C1509M02250,50ETF购2015年9月2250,510050.SH,ETF期权,认购,欧式,2.25,10000,2015-09,2015/2/9 0:00:00,2015/9/23 0:00:00,2015-09-23,2015-09-24,0.3288,实物资产,退市,
10000033,510050C1509M02300,50ETF购2015年9月2300,510050.SH,ETF期权,认购,欧式,2.3,10000,2015-09,2015/2/9 0:00:00,2015/9/23 0:00:00,2015-09-23,2015-09-24,0.3054,实物资产,退市,
10000034,510050C1509M02350,50ETF购2015年9月2350,510050.SH,ETF期权,认购,欧式,2.35,10000,2015-09,2015/2/9 0:00:00,2015/9/23 0:00:00,2015-09-23,2015-09-24,0.2833,实物资产,退市,
10000035,510050C1509M02400,50ETF购2015年9月2400,510050.SH,ETF期权,认购,欧式,2.4,10000,2015-09,2015/2/9 0:00:00,2015/9/23 0:00:00,2015-09-23,2015-09-24,0.2626,实物资产,退市,
10000036,510050P1509M02200,50ETF沽2015年9月2200,510050.SH,ETF期权,认沽,欧式,2.2,10000,2015-09,2015/2/9 0:00:00,2015/9/23 0:00:00,2015-09-23,2015-09-24,0.2055,实物资产,退市,
10000037,510050P1509M02250,50ETF沽2015年9月2250,510050.SH,ETF期权,认沽,欧式,2.25,10000,2015-09,2015/2/9 0:00:00,2015/9/23 0:00:00,2015-09-23,2015-09-24,0.2294,实物资产,退市,
10000038,510050P1509M02300,50ETF沽2015年9月2300,510050.SH,ETF期权,认沽,欧式,2.3,10000,2015-09,2015/2/9 0:00:00,2015/9/23 0:00:00,2015-09-23,2015-09-24,0.2546,实物资产,退市,
10000039,510050P1509M02350,50ETF沽2015年9月2350,510050.SH,ETF期权,认沽,欧式,2.35,10000,2015-09,2015/2/9 0:00:00,2015/9/23 0:00:00,2015-09-23,2015-09-24,0.2813,实物资产,退市,
10000040,510050P1509M02400,50ETF沽2015年9月2400,510050.SH,ETF期权,认沽,欧式,2.4,10000,2015-09,2015/2/9 0:00:00,2015/9/23 0:00:00,2015-09-23,2015-09-24,0.3092,实物资产,退市,
10000041,510050C1503M02450,50ETF购2015年3月2450,510050.SH,ETF期权,认购,欧式,2.45,10000,2015-03,2015/2/10 0:00:00,2015/3/25 0:00:00,2015-03-25,2015-03-26,0.0571,实物资产,退市,
10000042,510050P1503M02450,50ETF沽2015年3月2450,510050.SH,ETF期权,认沽,欧式,2.45,10000,2015-03,2015/2/10 0:00:00,2015/3/25 0:00:00,2015-03-25,2015-03-26,0.1861,实物资产,退市,
10000043,510050C1504M02450,50ETF购2015年4月2450,510050.SH,ETF期权,认购,欧式,2.45,10000,2015-04,2015/2/10 0:00:00,2015/4/22 0:00:00,2015-04-22,2015-04-23,0.0829,实物资产,退市,
10000044,510050P1504M02450,50ETF沽2015年4月2450,510050.SH,ETF期权,认沽,欧式,2.45,10000,2015-04,2015/2/10 0:00:00,2015/4/22 0:00:00,2015-04-22,2015-04-23,0.2213,实物资产,退市,
10000045,510050C1506M02450,50ETF购2015年6月2450,510050.SH,ETF期权,认购,欧式,2.45,10000,2015-06,2015/2/10 0:00:00,2015/6/24 0:00:00,2015-06-24,2015-06-25,0.1462,实物资产,退市,
10000046,510050P1506M02450,50ETF沽2015年6月2450,510050.SH,ETF期权,认沽,欧式,2.45,10000,2015-06,2015/2/10 0:00:00,2015/6/24 0:00:00,2015-06-24,2015-06-25,0.2632,实物资产,退市,
10000047,510050C1509M02450,50ETF购2015年9月2450,510050.SH,ETF期权,认购,欧式,2.45,10000,2015-09,2015/2/10 0:00:00,2015/9/23 0:00:00,2015-09-23,2015-09-24,0.1925,实物资产,退市,
10000048,510050P1509M02450,50ETF沽2015年9月2450,510050.SH,ETF期权,认沽,欧式,2.45,10000,2015-09,2015/2/10 0:00:00,2015/9/23 0:00:00,2015-09-23,2015-09-24,0.3229,实物资产,退市,
10000049,510050C1503M02500,50ETF购2015年3月2500,510050.SH,ETF期权,认购,欧式,2.5,10000,2015-03,2015/2/12 0:00:00,2015/3/25 0:00:00,2015-03-25,2015-03-26,0.043,实物资产,退市,
10000050,510050P1503M02500,50ETF沽2015年3月2500,510050.SH,ETF期权,认沽,欧式,2.5,10000,2015-03,2015/2/12 0:00:00,2015/3/25 0:00:00,2015-03-25,2015-03-26,0.1625,实物资产,退市,
10000051,510050C1504M02500,50ETF购2015年4月2500,510050.SH,ETF期权,认购,欧式,2.5,10000,2015-04,2015/2/12 0:00:00,2015/4/22 0:00:00,2015-04-22,2015-04-23,0.0672,实物资产,退市,
10000052,510050P1504M02500,50ETF沽2015年4月2500,510050.SH,ETF期权,认沽,欧式,2.5,10000,2015-04,2015/2/12 0:00:00,2015/4/22 0:00:00,2015-04-22,2015-04-23,0.1842,实物资产,退市,
10000053,510050C1506M02500,50ETF购2015年6月2500,510050.SH,ETF期权,认购,欧式,2.5,10000,2015-06,2015/2/12 0:00:00,2015/6/24 0:00:00,2015-06-24,2015-06-25,0.1169,实物资产,退市,
10000054,510050P1506M02500,50ETF沽2015年6月2500,510050.SH,ETF期权,认沽,欧式,2.5,10000,2015-06,2015/2/12 0:00:00,2015/6/24 0:00:00,2015-06-24,2015-06-25,0.2288,实物资产,退市,
10000055,510050C1509M02500,50ETF购2015年9月2500,510050.SH,ETF期权,认购,欧式,2.5,10000,2015-09,2015/2/12 0:00:00,2015/9/23 0:00:00,2015-09-23,2015-09-24,0.1712,实物资产,退市,
10000056,510050P1509M02500,50ETF沽2015年9月2500,510050.SH,ETF期权,认沽,欧式,2.5,10000,2015-09,2015/2/12 0:00:00,2015/9/23 0:00:00,2015-09-23,2015-09-24,0.2673,实物资产,退市,
10000057,510050C1503M02550,50ETF购2015年3月2550,510050.SH,ETF期权,认购,欧式,2.55,10000,2015-03,2015/2/27 0:00:00,2015/3/25 0:00:00,2015-03-25,2015-03-26,0.0279,实物资产,退市,
10000058,510050P1503M02550,50ETF沽2015年3月2550,510050.SH,ETF期权,认沽,欧式,2.55,10000,2015-03,2015/2/27 0:00:00,2015/3/25 0:00:00,2015-03-25,2015-03-26,0.1295,实物资产,退市,
10000059,510050C1504M02550,50ETF购2015年4月2550,510050.SH,ETF期权,认购,欧式,2.55,10000,2015-04,2015/2/27 0:00:00,2015/4/22 0:00:00,2015-04-22,2015-04-23,0.0554,实物资产,退市,
10000060,510050P1504M02550,50ETF沽2015年4月2550,510050.SH,ETF期权,认沽,欧式,2.55,10000,2015-04,2015/2/27 0:00:00,2015/4/22 0:00:00,2015-04-22,2015-04-23,0.1565,实物资产,退市,
10000061,510050C1506M02550,50ETF购2015年6月2550,510050.SH,ETF期权,认购,欧式,2.55,10000,2015-06,2015/2/27 0:00:00,2015/6/24 0:00:00,2015-06-24,2015-06-25,0.0979,实物资产,退市,
10000062,510050P1506M02550,50ETF沽2015年6月2550,510050.SH,ETF期权,认沽,欧式,2.55,10000,2015-06,2015/2/27 0:00:00,2015/6/24 0:00:00,2015-06-24,2015-06-25,0.1908,实物资产,退市,
10000063,510050C1509M02550,50ETF购2015年9月2550,510050.SH,ETF期权,认购,欧式,2.55,10000,2015-09,2015/2/27 0:00:00,2015/9/23 0:00:00,2015-09-23,2015-09-24,0.1515,实物资产,退市,
10000064,510050P1509M02550,50ETF沽2015年9月2550,510050.SH,ETF期权,认沽,欧式,2.55,10000,2015-09,2015/2/27 0:00:00,2015/9/23 0:00:00,2015-09-23,2015-09-24,0.2221,实物资产,退市,
10000065,510050C1503M02600,50ETF购2015年3月2600,510050.SH,ETF期权,认购,欧式,2.6,10000,2015-03,2015/3/17 0:00:00,2015/3/25 0:00:00,2015-03-25,2015-03-26,0.0059,实物资产,退市,
10000066,510050P1503M02600,50ETF沽2015年3月2600,510050.SH,ETF期权,认沽,欧式,2.6,10000,2015-03,2015/3/17 0:00:00,2015/3/25 0:00:00,2015-03-25,2015-03-26,0.0986,实物资产,退市,
10000067,510050C1504M02600,50ETF购2015年4月2600,510050.SH,ETF期权,认购,欧式,2.6,10000,2015-04,2015/3/17 0:00:00,2015/4/22 0:00:00,2015-04-22,2015-04-23,0.0411,实物资产,退市,
10000068,510050P1504M02600,50ETF沽2015年4月2600,510050.SH,ETF期权,认沽,欧式,2.6,10000,2015-04,2015/3/17 0:00:00,2015/4/22 0:00:00,2015-04-22,2015-04-23,0.1346,实物资产,退市,
10000069,510050C1506M02600,50ETF购2015年6月2600,510050.SH,ETF期权,认购,欧式,2.6,10000,2015-06,2015/3/17 0:00:00,2015/6/24 0:00:00,2015-06-24,2015-06-25,0.0897,实物资产,退市,
10000070,510050P1506M02600,50ETF沽2015年6月2600,510050.SH,ETF期权,认沽,欧式,2.6,10000,2015-06,2015/3/17 0:00:00,2015/6/24 0:00:00,2015-06-24,2015-06-25,0.1833,实物资产,退市,
10000071,510050C1509M02600,50ETF购2015年9月2600,510050.SH,ETF期权,认购,欧式,2.6,10000,2015-09,2015/3/17 0:00:00,2015/9/23 0:00:00,2015-09-23,2015-09-24,0.1464,实物资产,退市,
10000072,510050P1509M02600,50ETF沽2015年9月2600,510050.SH,ETF期权,认沽,欧式,2.6,10000,2015-09,2015/3/17 0:00:00,2015/9/23 0:00:00,2015-09-23,2015-09-24,0.2242,实物资产,退市,
10000073,510050C1503M02650,50ETF购2015年3月2650,510050.SH,ETF期权,认购,欧式,2.65,10000,2015-03,2015/3/18 0:00:00,2015/3/25 0:00:00,2015-03-25,2015-03-26,0.0035,实物资产,退市,
10000074,510050P1503M02650,50ETF沽2015年3月2650,510050.SH,ETF期权,认沽,欧式,2.65,10000,2015-03,2015/3/18 0:00:00,2015/3/25 0:00:00,2015-03-25,2015-03-26,0.1129,实物资产,退市,
10000075,510050C1504M02650,50ETF购2015年4月2650,510050.SH,ETF期权,认购,欧式,2.65,10000,2015-04,2015/3/18 0:00:00,2015/4/22 0:00:00,2015-04-22,2015-04-23,0.0336,实物资产,退市,
10000076,510050P1504M02650,50ETF沽2015年4月2650,510050.SH,ETF期权,认沽,欧式,2.65,10000,2015-04,2015/3/18 0:00:00,2015/4/22 0:00:00,2015-04-22,2015-04-23,0.1469,实物资产,退市,
