date,pre_close,open,high,low,close,volume,amt,ptmtradeday,ptmday,delta,gamma,vega,theta,rho,us_impliedvol,exe_price,maint_margin,exe_ratio,wind_code,trade_coe,sec_name,option_mark_code,option_type,call_or_put,exercise_mode,exercise_price,contract_unit,limit_month,listed_date,expire_date,exercise_date,settlement_date,reference_price,settle_mode,contract_state
2016/5/30 0:00:00,非数字,0.1454,0.1535,0.1343,0.1375,513,721499,41,59,-0.749329527847216,2.23791069401501,0.0026499920684492,-0.103212430796137,-0.00268362817850403,0.220741931152344,2.2,3887.8,10000,10000642,510050P1607M02200,50ETF沽2016年7月2.20,510050.SH,ETF期权,认沽,欧式,2.2,10000,2016-07,2016/5/30 0:00:00,2016/7/27 0:00:00,2016-07-27,2016-07-28,0.1403,实物资产,退市,
2016/5/31 0:00:00,0.1375,0.1331,0.1331,0.0868,0.0915,1295,1267452,40,58,-0.575917667540555,2.76197815447239,0.00334344970737369,-0.147267139291258,-0.00205889787639712,0.216897357177734,2.2,3507,10000,10000642,510050P1607M02200,50ETF沽2016年7月2.20,510050.SH,ETF期权,认沽,欧式,2.2,10000,2016-07,2016/5/30 0:00:00,2016/7/27 0:00:00,2016-07-27,2016-07-28,0.1403,实物资产,退市,
2016/6/1 0:00:00,0.0915,0.0915,0.094,0.0883,0.094,500,460589,39,57,-0.625670252214103,2.70231233242447,0.00317968829123546,-0.139803843664198,-0.00218679489920438,0.194781903076172,2.2,3510.4,10000,10000642,510050P1607M02200,50ETF沽2016年7月2.20,510050.SH,ETF期权,认沽,欧式,2.2,10000,2016-07,2016/5/30 0:00:00,2016/7/27 0:00:00,2016-07-27,2016-07-28,0.1403,实物资产,退市,
2016/6/2 0:00:00,0.094,0.0923,0.0991,0.0896,0.0982,863,816439,38,56,-0.64581301606136,2.91616931518352,0.00309014178724179,-0.122682991411697,-0.00220565607626592,0.205803015136719,2.2,3535,10000,10000642,510050P1607M02200,50ETF沽2016年7月2.20,510050.SH,ETF期权,认沽,欧式,2.2,10000,2016-07,2016/5/30 0:00:00,2016/7/27 0:00:00,2016-07-27,2016-07-28,0.1403,实物资产,退市,
2016/6/3 0:00:00,0.0982,0.0957,0.0988,0.0858,0.0907,794,736773,37,55,-0.605608574931134,3.0226018421995,0.00318876440534755,-0.132615223211019,-0.00203732054749472,0.2098306640625,2.2,3491.8,10000,10000642,510050P1607M02200,50ETF沽2016年7月2.20,510050.SH,ETF期权,认沽,欧式,2.2,10000,2016-07,2016/5/30 0:00:00,2016/7/27 0:00:00,2016-07-27,2016-07-28,0.1403,实物资产,退市,
2016/6/6 0:00:00,0.0907,0.0894,0.0974,0.0884,0.0947,458,431015,36,52,-0.649736819341544,3.00252418695627,0.00296513096176885,-0.128265761965413,-0.0020552461459437,0.203313195800781,2.2,3521.2,10000,10000642,510050P1607M02200,50ETF沽2016年7月2.20,510050.SH,ETF期权,认沽,欧式,2.2,10000,2016-07,2016/5/30 0:00:00,2016/7/27 0:00:00,2016-07-27,2016-07-28,0.1403,实物资产,退市,
2016/6/7 0:00:00,0.0947,0.0955,0.0961,0.0917,0.095,847,799097,35,51,-0.645979150289844,3.0453597649404,0.00294997179381311,-0.130725682775448,-0.00200336256087029,0.209977124023437,2.2,3521.6,10000,10000642,510050P1607M02200,50ETF沽2016年7月2.20,510050.SH,ETF期权,认沽,欧式,2.2,10000,2016-07,2016/5/30 0:00:00,2016/7/27 0:00:00,2016-07-27,2016-07-28,0.1403,实物资产,退市,
2016/6/8 0:00:00,0.095,0.0972,0.104,0.0961,0.0994,1087,1092922,34,50,-0.668872021156145,3.15792776704097,0.00284211650789817,-0.118827436859816,-0.00202571923658858,0.218398571777344,2.2,3560.8,10000,10000642,510050P1607M02200,50ETF沽2016年7月2.20,510050.SH,ETF期权,认沽,欧式,2.2,10000,2016-07,2016/5/30 0:00:00,2016/7/27 0:00:00,2016-07-27,2016-07-28,0.1403,实物资产,退市,
2016/6/13 0:00:00,0.0994,0.1039,0.1418,0.1039,0.1418,755,915242,33,45,-0.81392656710587,2.39037011035179,0.00194207652149307,-0.0806997114308098,-0.0021894161560498,0.262702709960937,2.2,3923.6,10000,10000642,510050P1607M02200,50ETF沽2016年7月2.20,510050.SH,ETF期权,认沽,欧式,2.2,10000,2016-07,2016/5/30 0:00:00,2016/7/27 0:00:00,2016-07-27,2016-07-28,0.1403,实物资产,退市,
2016/6/14 0:00:00,0.1418,0.1396,0.1444,0.1273,0.1307,2160,2902341,32,44,-0.784271604876553,2.62286984413255,0.00211121183485562,-0.096446251310508,-0.00206625101121468,0.256624621582031,2.2,3828.2,10000,10000642,510050P1607M02200,50ETF沽2016年7月2.20,510050.SH,ETF期权,认沽,欧式,2.2,10000,2016-07,2016/5/30 0:00:00,2016/7/27 0:00:00,2016-07-27,2016-07-28,0.1403,实物资产,退市,
2016/6/15 0:00:00,0.1307,0.1392,0.147,0.109,0.1195,2368,2988471,31,43,-0.767894874129681,2.77873831958592,0.00218340313732614,-0.104279088163445,-0.0019779060784235,0.236632836914063,2.2,3725.8,10000,10000642,510050P1607M02200,50ETF沽2016年7月2.20,510050.SH,ETF期权,认沽,欧式,2.2,10000,2016-07,2016/5/30 0:00:00,2016/7/27 0:00:00,2016-07-27,2016-07-28,0.1403,实物资产,退市,
2016/6/16 0:00:00,0.1195,0.1241,0.1306,0.1174,0.1285,2387,2929310,30,42,-0.796903262567537,2.68285942907602,0.00199056017388421,-0.0897533993776027,-0.0019981904554692,0.255892321777344,2.2,3792.4,10000,10000642,510050P1607M02200,50ETF沽2016年7月2.20,510050.SH,ETF期权,认沽,欧式,2.2,10000,2016-07,2016/5/30 0:00:00,2016/7/27 0:00:00,2016-07-27,2016-07-28,0.1403,实物资产,退市,
2016/6/17 0:00:00,0.1285,0.1214,0.1238,0.105,0.1198,2433,2788195,29,41,-0.780799697205612,2.82812369152341,0.0020629130618202,-0.0989917854054899,-0.0019120502905267,0.242857385253906,2.2,3723.8,10000,10000642,510050P1607M02200,50ETF沽2016年7月2.20,510050.SH,ETF期权,认沽,欧式,2.2,10000,2016-07,2016/5/30 0:00:00,2016/7/27 0:00:00,2016-07-27,2016-07-28,0.1403,实物资产,退市,
2016/6/20 0:00:00,0.1198,0.1146,0.1239,0.1074,0.1123,3120,3633016,28,38,-0.777142417328167,2.96392493226559,0.0020076730211997,-0.106294637334062,-0.0017599250780729,0.234216247558594,2.2,3659.8,10000,10000642,510050P1607M02200,50ETF沽2016年7月2.20,510050.SH,ETF期权,认沽,欧式,2.2,10000,2016-07,2016/5/30 0:00:00,2016/7/27 0:00:00,2016-07-27,2016-07-28,0.1403,实物资产,退市,
2016/6/21 0:00:00,0.1123,0.109,0.1141,0.0883,0.1121,4516,4630555,27,37,-0.801029243591074,2.98154287044181,0.00185118135294683,-0.0894711984024381,-0.00176027457274605,0.23033505859375,2.2,3655.4,10000,10000642,510050P1607M02200,50ETF沽2016年7月2.20,510050.SH,ETF期权,认沽,欧式,2.2,10000,2016-07,2016/5/30 0:00:00,2016/7/27 0:00:00,2016-07-27,2016-07-28,0.1403,实物资产,退市,
2016/6/22 0:00:00,0.1121,0.113,0.113,0.099,0.101,2805,2935595,26,36,-0.768844037891056,3.30226210712894,0.00200276233267262,-0.105184614655137,-0.00164558880693663,0.220668701171875,2.2,3558.8,10000,10000642,510050P1607M02200,50ETF沽2016年7月2.20,510050.SH,ETF期权,认沽,欧式,2.2,10000,2016-07,2016/5/30 0:00:00,2016/7/27 0:00:00,2016-07-27,2016-07-28,0.1403,实物资产,退市,
