date,pre_close,open,high,low,close,volume,amt,ptmtradeday,ptmday,delta,gamma,vega,theta,rho,us_impliedvol,exe_price,maint_margin,exe_ratio,wind_code,trade_coe,sec_name,option_mark_code,option_type,call_or_put,exercise_mode,exercise_price,contract_unit,limit_month,listed_date,expire_date,exercise_date,settlement_date,reference_price,settle_mode,contract_state
2019/3/28 0:00:00,NaN,0.1497,0.1508,0.1271,0.1428,3111,4398769,36,56,0.637,1.4331,0.004,-0.001,0.0024,0.2401,2.65,4689.6,10000,10001776,510050C1905M02650,50ETF购2019年5月2650,510050.SH,ETF期权,认购,欧式,2.65,10000,2019-05,2019/3/28 0:00:00,2019/5/22 0:00:00,2019-05-22,2019-05-23,0.1517,实物资产,退市,
2019/3/29 0:00:00,0.1428,0.1461,0.2351,0.1461,0.2248,1776,3556535,35,55,0.7689,1.1332,0.0033,-0.0009,0.0029,0.2662,2.65,5630.8,10000,10001776,510050C1905M02650,50ETF购2019年5月2650,510050.SH,ETF期权,认购,欧式,2.65,10000,2019-05,2019/3/28 0:00:00,2019/5/22 0:00:00,2019-05-22,2019-05-23,0.1517,实物资产,退市,
2019/4/1 0:00:00,0.2248,0.2313,0.4358,0.2313,0.2688,964,2682650,34,52,0.8241,0.939,0.0028,-0.0008,0.003,0.2838,2.65,3448.8,10000,10001776,510050C1905M02650,50ETF购2019年5月2650,510050.SH,ETF期权,认购,欧式,2.65,10000,2019-05,2019/3/28 0:00:00,2019/5/22 0:00:00,2019-05-22,2019-05-23,0.1517,实物资产,退市,
2019/4/2 0:00:00,0.2688,0.2801,0.2862,0.2639,0.267,317,869635,33,51,0.8225,0.9473,0.0028,-0.0008,0.0029,0.3016,2.65,6168.4,10000,10001776,510050C1905M02650,50ETF购2019年5月2650,510050.SH,ETF期权,认购,欧式,2.65,10000,2019-05,2019/3/28 0:00:00,2019/5/22 0:00:00,2019-05-22,2019-05-23,0.1517,实物资产,退市,
2019/4/3 0:00:00,0.267,0.2647,0.3035,0.2549,0.2965,386,1085837,32,50,0.8503,0.8471,0.0025,-0.0008,0.003,0.3189,2.65,6446.2,10000,10001776,510050C1905M02650,50ETF购2019年5月2650,510050.SH,ETF期权,认购,欧式,2.65,10000,2019-05,2019/3/28 0:00:00,2019/5/22 0:00:00,2019-05-22,2019-05-23,0.1517,实物资产,退市,
2019/4/4 0:00:00,0.2965,0.3028,0.335,0.2963,0.3269,816,2590353,31,49,0.884,0.7147,0.0021,-0.0007,0.0031,0.3141,2.65,6802.8,10000,10001776,510050C1905M02650,50ETF购2019年5月2650,510050.SH,ETF期权,认购,欧式,2.65,10000,2019-05,2019/3/28 0:00:00,2019/5/22 0:00:00,2019-05-22,2019-05-23,0.1517,实物资产,退市,
2019/4/8 0:00:00,0.3269,0.3417,0.3796,0.3196,0.3379,815,2812007,30,45,0.8949,0.6923,0.0019,-0.0007,0.0029,0.3439,2.65,6893.6,10000,10001776,510050C1905M02650,50ETF购2019年5月2650,510050.SH,ETF期权,认购,欧式,2.65,10000,2019-05,2019/3/28 0:00:00,2019/5/22 0:00:00,2019-05-22,2019-05-23,0.1517,实物资产,退市,
2019/4/9 0:00:00,0.3379,0.3367,0.3507,0.3191,0.3367,701,2365300,29,44,0.9032,0.6642,0.0018,-0.0007,0.0028,0.3206,2.65,6882.8,10000,10001776,510050C1905M02650,50ETF购2019年5月2650,510050.SH,ETF期权,认购,欧式,2.65,10000,2019-05,2019/3/28 0:00:00,2019/5/22 0:00:00,2019-05-22,2019-05-23,0.1517,实物资产,退市,
2019/4/10 0:00:00,0.3367,0.3158,0.3599,0.3114,0.3421,897,2934258,28,43,0.9151,0.6069,0.0016,-0.0006,0.0028,0.3036,2.65,6975.8,10000,10001776,510050C1905M02650,50ETF购2019年5月2650,510050.SH,ETF期权,认购,欧式,2.65,10000,2019-05,2019/3/28 0:00:00,2019/5/22 0:00:00,2019-05-22,2019-05-23,0.1517,实物资产,退市,
2019/4/11 0:00:00,0.3421,0.3428,0.363,0.2856,0.2959,1030,3244827,27,42,0.8814,0.7993,0.002,-0.0007,0.0026,0.3109,2.65,6462.4,10000,10001776,510050C1905M02650,50ETF购2019年5月2650,510050.SH,ETF期权,认购,欧式,2.65,10000,2019-05,2019/3/28 0:00:00,2019/5/22 0:00:00,2019-05-22,2019-05-23,0.1517,实物资产,退市,
2019/4/12 0:00:00,0.2959,0.2922,0.3033,0.2763,0.286,956,2744563,26,41,0.876,0.8249,0.002,-0.0008,0.0025,0.3021,2.65,6374.2,10000,10001776,510050C1905M02650,50ETF购2019年5月2650,510050.SH,ETF期权,认购,欧式,2.65,10000,2019-05,2019/3/28 0:00:00,2019/5/22 0:00:00,2019-05-22,2019-05-23,0.1517,实物资产,退市,
2019/4/15 0:00:00,0.286,0.3254,0.3594,0.2812,0.2812,1375,4486508,25,38,0.8835,0.8188,0.0018,-0.0008,0.0024,0.2858,2.65,6308.2,10000,10001776,510050C1905M02650,50ETF购2019年5月2650,510050.SH,ETF期权,认购,欧式,2.65,10000,2019-05,2019/3/28 0:00:00,2019/5/22 0:00:00,2019-05-22,2019-05-23,0.1517,实物资产,退市,
2019/4/16 0:00:00,0.2812,0.2771,0.3784,0.2703,0.3784,2008,6519041,24,37,0.9487,0.4307,0.001,-0.0005,0.0025,0.3361,2.65,7409.6,10000,10001776,510050C1905M02650,50ETF购2019年5月2650,510050.SH,ETF期权,认购,欧式,2.65,10000,2019-05,2019/3/28 0:00:00,2019/5/22 0:00:00,2019-05-22,2019-05-23,0.1517,实物资产,退市,
2019/4/17 0:00:00,0.3784,0.38,0.3927,0.3532,0.3714,855,3162277,23,36,0.942,0.472,0.0011,-0.0006,0.0024,0.3123,2.65,7276.4,10000,10001776,510050C1905M02650,50ETF购2019年5月2650,510050.SH,ETF期权,认购,欧式,2.65,10000,2019-05,2019/3/28 0:00:00,2019/5/22 0:00:00,2019-05-22,2019-05-23,0.1517,实物资产,退市,
2019/4/18 0:00:00,0.3714,0.366,0.3711,0.3527,0.355,990,3563592,22,35,0.9405,0.4924,0.0011,-0.0006,0.0024,0.3179,2.65,7134.4,10000,10001776,510050C1905M02650,50ETF购2019年5月2650,510050.SH,ETF期权,认购,欧式,2.65,10000,2019-05,2019/3/28 0:00:00,2019/5/22 0:00:00,2019-05-22,2019-05-23,0.1517,实物资产,退市,
2019/4/19 0:00:00,0.355,0.359,0.4047,0.3403,0.385,1562,5767580,21,34,0.9585,0.3694,0.0008,-0.0005,0.0023,0.2905,2.65,7495.8,10000,10001776,510050C1905M02650,50ETF购2019年5月2650,510050.SH,ETF期权,认购,欧式,2.65,10000,2019-05,2019/3/28 0:00:00,2019/5/22 0:00:00,2019-05-22,2019-05-23,0.1517,实物资产,退市,
2019/4/22 0:00:00,0.385,0.391,0.402,0.3084,0.3229,1948,6761215,20,31,0.9354,0.5623,0.0011,-0.0006,0.0021,0.292,2.65,6783.6,10000,10001776,510050C1905M02650,50ETF购2019年5月2650,510050.SH,ETF期权,认购,欧式,2.65,10000,2019-05,2019/3/28 0:00:00,2019/5/22 0:00:00,2019-05-22,2019-05-23,0.1517,实物资产,退市,
2019/4/23 0:00:00,0.3229,0.3157,0.3578,0.3157,0.3282,1793,5998214,19,30,0.9385,0.5418,0.001,-0.0006,0.002,0.2943,2.65,3555.6,10000,10001776,510050C1905M02650,50ETF购2019年5月2650,510050.SH,ETF期权,认购,欧式,2.65,10000,2019-05,2019/3/28 0:00:00,2019/5/22 0:00:00,2019-05-22,2019-05-23,0.1517,实物资产,退市,
2019/4/24 0:00:00,0.3282,0.3329,0.348,0.2818,0.3224,3090,9722016,18,29,0.9387,0.5504,0.001,-0.0006,0.002,0.2839,2.65,6773.6,10000,10001776,510050C1905M02650,50ETF购2019年5月2650,510050.SH,ETF期权,认购,欧式,2.65,10000,2019-05,2019/3/28 0:00:00,2019/5/22 0:00:00,2019-05-22,2019-05-23,0.1517,实物资产,退市,
2019/4/25 0:00:00,0.3224,0.3123,0.3202,0.2821,0.2841,2834,8629008,17,28,0.9142,0.7402,0.0013,-0.0008,0.0018,0.3035,2.65,6330.6,10000,10001776,510050C1905M02650,50ETF购2019年5月2650,510050.SH,ETF期权,认购,欧式,2.65,10000,2019-05,2019/3/28 0:00:00,2019/5/22 0:00:00,2019-05-22,2019-05-23,0.1517,实物资产,退市,
2019/4/26 0:00:00,0.2841,0.276,0.2854,0.2482,0.2492,4210,11245733,16,27,0.8886,0.9147,0.0015,-0.0009,0.0017,0.288,2.65,5949,10000,10001776,510050C1905M02650,50ETF购2019年5月2650,510050.SH,ETF期权,认购,欧式,2.65,10000,2019-05,2019/3/28 0:00:00,2019/5/22 0:00:00,2019-05-22,2019-05-23,0.1517,实物资产,退市,
2019/4/29 0:00:00,0.2492,0.2509,0.3135,0.2509,0.2841,3384,9569219,15,24,0.9311,0.6641,0.001,-0.0007,0.0016,0.2872,2.65,6346.2,10000,10001776,510050C1905M02650,50ETF购2019年5月2650,510050.SH,ETF期权,认购,欧式,2.65,10000,2019-05,2019/3/28 0:00:00,2019/5/22 0:00:00,2019-05-22,2019-05-23,0.1517,实物资产,退市,
2019/4/30 0:00:00,0.2841,0.2784,0.2985,0.2692,0.289,3054,8699302,14,23,0.9392,0.6138,0.0009,-0.0007,0.0016,0.2825,2.65,6403.6,10000,10001776,510050C1905M02650,50ETF购2019年5月2650,510050.SH,ETF期权,认购,欧式,2.65,10000,2019-05,2019/3/28 0:00:00,2019/5/22 0:00:00,2019-05-22,2019-05-23,0.1517,实物资产,退市,
2019/5/6 0:00:00,0.289,0.2119,0.2283,0.144,0.1608,13260,22314657,13,17,0.8229,1.6194,0.0016,-0.0014,0.001,0.2946,2.65,4952.4,10000,10001776,510050C1905M02650,50ETF购2019年5月2650,510050.SH,ETF期权,认购,欧式,2.65,10000,2019-05,2019/3/28 0:00:00,2019/5/22 0:00:00,2019-05-22,2019-05-23,0.1517,实物资产,退市,
2019/5/7 0:00:00,0.1608,0.1622,0.185,0.1357,0.1496,790,1329442,12,16,0.8175,1.5777,0.0015,-0.0015,0.0009,0.257,2.65,4864,10000,10001776,510050C1905M02650,50ETF购2019年5月2650,510050.SH,ETF期权,认购,欧式,2.65,10000,2019-05,2019/3/28 0:00:00,2019/5/22 0:00:00,2019-05-22,2019-05-23,0.1517,实物资产,退市,
2019/5/8 0:00:00,0.1496,0.128,0.1497,0.1155,0.1216,19023,24725985,11,15,0.7433,2.0182,0.0018,-0.0019,0.0008,0.277,2.65,4510,10000,10001776,510050C1905M02650,50ETF购2019年5月2650,510050.SH,ETF期权,认购,欧式,2.65,10000,2019-05,2019/3/28 0:00:00,2019/5/22 0:00:00,2019-05-22,2019-05-23,0.1517,实物资产,退市,
2019/5/9 0:00:00,0.1216,0.116,0.1217,0.0602,0.0675,1341,1127287,10,14,0.6124,2.5272,0.002,-0.0022,0.0006,0.225,2.65,3898.2,10000,10001776,510050C1905M02650,50ETF购2019年5月2650,510050.SH,ETF期权,认购,欧式,2.65,10000,2019-05,2019/3/28 0:00:00,2019/5/22 0:00:00,2019-05-22,2019-05-23,0.1517,实物资产,退市,
2019/5/10 0:00:00,0.0675,0.1036,0.151,0.0754,0.1425,48296,57660980,9,13,0.8146,1.7479,0.0014,-0.0017,0.0008,0.2676,2.65,4757.4,10000,10001776,510050C1905M02650,50ETF购2019年5月2650,510050.SH,ETF期权,认购,欧式,2.65,10000,2019-05,2019/3/28 0:00:00,2019/5/22 0:00:00,2019-05-22,2019-05-23,0.1517,实物资产,退市,
2019/5/13 0:00:00,0.1425,0.1155,0.1197,0.092,0.094,26573,28193395,8,10,0.7271,2.468,0.0015,-0.0024,0.0005,0.2542,2.65,4210,10000,10001776,510050C1905M02650,50ETF购2019年5月2650,510050.SH,ETF期权,认购,欧式,2.65,10000,2019-05,2019/3/28 0:00:00,2019/5/22 0:00:00,2019-05-22,2019-05-23,0.1517,实物资产,退市,
2019/5/14 0:00:00,0.094,0.0755,0.1135,0.0755,0.0803,52389,49957865,7,9,0.6897,2.753,0.0015,-0.0026,0.0004,0.2625,2.65,4052.6,10000,10001776,510050C1905M02650,50ETF购2019年5月2650,510050.SH,ETF期权,认购,欧式,2.65,10000,2019-05,2019/3/28 0:00:00,2019/5/22 0:00:00,2019-05-22,2019-05-23,0.1517,实物资产,退市,
