date,pre_close,open,high,low,close,volume,amt,ptmtradeday,ptmday,delta,gamma,vega,theta,rho,us_impliedvol,exe_price,maint_margin,exe_ratio,wind_code,trade_coe,sec_name,option_mark_code,option_type,call_or_put,exercise_mode,exercise_price,contract_unit,limit_month,listed_date,expire_date,exercise_date,settlement_date,reference_price,settle_mode,contract_state
2019/9/26 0:00:00,NaN,0.0344,0.0468,0.0339,0.0394,20929,9099255,40,63,0.2809,1.9314,0.0042,-0.0005,0.0014,0.1651,3.1,2747.6,10000,10001966,510050C1911M03100,50ETF购2019年11月3100,510050.SH,ETF期权,认购,欧式,3.1,10000,2019-11,2019/9/26 0:00:00,2019/11/27 0:00:00,2019-11-27,2019-11-28,0.0424,实物资产,退市,
2019/9/27 0:00:00,0.0394,0.041,0.0458,0.0383,0.0452,18759,8056270,39,62,0.2765,1.9512,0.0041,-0.0005,0.0014,0.179,3.1,2805.6,10000,10001966,510050C1911M03100,50ETF购2019年11月3100,510050.SH,ETF期权,认购,欧式,3.1,10000,2019-11,2019/9/26 0:00:00,2019/11/27 0:00:00,2019-11-27,2019-11-28,0.0424,实物资产,退市,
2019/9/30 0:00:00,0.0452,0.0443,0.0475,0.0313,0.0313,26395,11198477,38,59,0.208,1.7352,0.0034,-0.0004,0.001,0.1739,3.1,2374.5,10000,10001966,510050C1911M03100,50ETF购2019年11月3100,510050.SH,ETF期权,认购,欧式,3.1,10000,2019-11,2019/9/26 0:00:00,2019/11/27 0:00:00,2019-11-27,2019-11-28,0.0424,实物资产,退市,
2019/10/8 0:00:00,0.0313,0.03,0.0316,0.025,0.025,38200,10720940,37,51,0.2324,1.9508,0.0034,-0.0005,0.0009,0.1537,3.1,2491.6,10000,10001966,510050C1911M03100,50ETF购2019年11月3100,510050.SH,ETF期权,认购,欧式,3.1,10000,2019-11,2019/9/26 0:00:00,2019/11/27 0:00:00,2019-11-27,2019-11-28,0.0424,实物资产,退市,
2019/10/9 0:00:00,0.025,0.0217,0.0235,0.016,0.0204,44835,8666711,36,50,0.2252,2.0197,0.0033,-0.0005,0.0009,0.1397,3.1,2479.2,10000,10001966,510050C1911M03100,50ETF购2019年11月3100,510050.SH,ETF期权,认购,欧式,3.1,10000,2019-11,2019/9/26 0:00:00,2019/11/27 0:00:00,2019-11-27,2019-11-28,0.0424,实物资产,退市,
2019/10/10 0:00:00,0.0204,0.0215,0.0269,0.0184,0.0255,48484,11342869,35,49,0.2555,2.1772,0.0035,-0.0005,0.001,0.1445,3.1,2709.4,10000,10001966,510050C1911M03100,50ETF购2019年11月3100,510050.SH,ETF期权,认购,欧式,3.1,10000,2019-11,2019/9/26 0:00:00,2019/11/27 0:00:00,2019-11-27,2019-11-28,0.0424,实物资产,退市,
2019/10/11 0:00:00,0.0255,0.0305,0.047,0.0249,0.042,93046,33163773,34,48,0.3598,2.5161,0.0041,-0.0007,0.0014,0.1513,3.1,3378.4,10000,10001966,510050C1911M03100,50ETF购2019年11月3100,510050.SH,ETF期权,认购,欧式,3.1,10000,2019-11,2019/9/26 0:00:00,2019/11/27 0:00:00,2019-11-27,2019-11-28,0.0424,实物资产,退市,
2019/10/14 0:00:00,0.042,0.0472,0.0639,0.0438,0.0465,136984,73704126,33,45,0.4319,2.6447,0.0042,-0.0007,0.0016,0.1394,3.1,3748.2,10000,10001966,510050C1911M03100,50ETF购2019年11月3100,510050.SH,ETF期权,认购,欧式,3.1,10000,2019-11,2019/9/26 0:00:00,2019/11/27 0:00:00,2019-11-27,2019-11-28,0.0424,实物资产,退市,
2019/10/15 0:00:00,0.0465,0.0438,0.0484,0.0425,0.044,62011,27990639,32,44,0.4334,2.6639,0.0042,-0.0007,0.0015,0.1342,3.1,3734.4,10000,10001966,510050C1911M03100,50ETF购2019年11月3100,510050.SH,ETF期权,认购,欧式,3.1,10000,2019-11,2019/9/26 0:00:00,2019/11/27 0:00:00,2019-11-27,2019-11-28,0.0424,实物资产,退市,
2019/10/16 0:00:00,0.044,0.044,0.0582,0.0348,0.0355,152296,67125541,31,43,0.4021,2.6597,0.0041,-0.0007,0.0014,0.126,3.1,3526.2,10000,10001966,510050C1911M03100,50ETF购2019年11月3100,510050.SH,ETF期权,认购,欧式,3.1,10000,2019-11,2019/9/26 0:00:00,2019/11/27 0:00:00,2019-11-27,2019-11-28,0.0424,实物资产,退市,
