date,pre_close,open,high,low,close,volume,amt,ptmtradeday,ptmday,delta,gamma,vega,theta,rho,us_impliedvol,exe_price,maint_margin,exe_ratio,wind_code,trade_coe,sec_name,option_mark_code,option_type,call_or_put,exercise_mode,exercise_price,contract_unit,limit_month,listed_date,expire_date,exercise_date,settlement_date,reference_price,settle_mode,contract_state
2016/10/27 0:00:00,非数字,0.0715,0.0715,0.0634,0.0707,3627,2443999,164,245,0.408203975953071,1.8204692898752,0.00731854670250687,-0.0812367862118395,0.00589274537178403,0.128545385742187,2.4,2523,10000,10000731,510050C1706A02400,50ETF购2017年6月2.348A,510050.SH,ETF期权,认购,欧式,2.348,10220,2017-06,2016/10/27 0:00:00,2017/6/28 0:00:00,2017-06-28,2017-06-29,0.0705,实物资产,退市,
2016/10/28 0:00:00,0.0707,0.0714,0.0814,0.0714,0.0718,2318,1750818,163,244,0.411007414483308,1.82565993788675,0.00732193276581826,-0.081561884764807,0.00591359328857688,0.129314300537109,2.4,2556.4,10000,10000731,510050C1706A02400,50ETF购2017年6月2.348A,510050.SH,ETF期权,认购,欧式,2.348,10220,2017-06,2016/10/27 0:00:00,2017/6/28 0:00:00,2017-06-28,2017-06-29,0.0705,实物资产,退市,
2016/10/31 0:00:00,0.0718,0.071,0.071,0.0647,0.0685,1733,1186646,162,241,0.403166621487687,1.86626886223884,0.00723584021315893,-0.0800075204047651,0.00573676993552218,0.127025863647461,2.4,2504,10000,10000731,510050C1706A02400,50ETF购2017年6月2.348A,510050.SH,ETF期权,认购,欧式,2.348,10220,2017-06,2016/10/27 0:00:00,2017/6/28 0:00:00,2017-06-28,2017-06-29,0.0705,实物资产,退市,
2016/11/1 0:00:00,0.0685,0.0688,0.0751,0.0684,0.0747,1375,1003273,161,240,0.423005061324111,1.88836561493525,0.00733686843410126,-0.0819502376660999,0.00601606210726785,0.129350915527344,2.4,2687.2,10000,10000731,510050C1706A02400,50ETF购2017年6月2.348A,510050.SH,ETF期权,认购,欧式,2.348,10220,2017-06,2016/10/27 0:00:00,2017/6/28 0:00:00,2017-06-28,2017-06-29,0.0705,实物资产,退市,
2016/11/2 0:00:00,0.0747,0.0718,0.0749,0.0707,0.0724,1622,1181239,160,239,0.393254653013155,1.85582812489737,0.00714250424221902,-0.0794810746611479,0.00554054441244703,0.136033151245117,2.4,2484,10000,10000731,510050C1706A02400,50ETF购2017年6月2.348A,510050.SH,ETF期权,认购,欧式,2.348,10220,2017-06,2016/10/27 0:00:00,2017/6/28 0:00:00,2017-06-28,2017-06-29,0.0705,实物资产,退市,
2016/11/3 0:00:00,0.0724,0.0724,0.0853,0.0705,0.078,2402,1909514,159,238,0.444364266485666,1.86065880767783,0.00740769986554769,-0.0853814693177341,0.00627912440865174,0.128069390869141,2.4,2842.4,10000,10000731,510050C1706A02400,50ETF购2017年6月2.348A,510050.SH,ETF期权,认购,欧式,2.348,10220,2017-06,2016/10/27 0:00:00,2017/6/28 0:00:00,2017-06-28,2017-06-29,0.0705,实物资产,退市,
2016/11/4 0:00:00,0.078,0.0771,0.0838,0.0771,0.0805,1734,1397413,158,237,0.43754458423563,1.87131288582224,0.00736359370207752,-0.0845259831765045,0.00615466050060145,0.133708099365234,2.4,2833.8,10000,10000731,510050C1706A02400,50ETF购2017年6月2.348A,510050.SH,ETF期权,认购,欧式,2.348,10220,2017-06,2016/10/27 0:00:00,2017/6/28 0:00:00,2017-06-28,2017-06-29,0.0705,实物资产,退市,
2016/11/7 0:00:00,0.0805,0.0813,0.0868,0.08,0.0854,817,686007,157,234,0.447643932086425,1.88493671722749,0.00736267979197147,-0.0859358672906293,0.00623054291151078,0.137662518310547,2.4,2950,10000,10000731,510050C1706A02400,50ETF购2017年6月2.348A,510050.SH,ETF期权,认购,欧式,2.348,10220,2017-06,2016/10/27 0:00:00,2017/6/28 0:00:00,2017-06-28,2017-06-29,0.0705,实物资产,退市,
2016/11/8 0:00:00,0.0854,0.0899,0.0969,0.0875,0.0935,859,795209,156,233,0.462337834359272,1.88985035597002,0.00740305679271197,-0.0873346886451686,0.00642313489199904,0.143887066650391,2.4,3120.6,10000,10000731,510050C1706A02400,50ETF购2017年6月2.348A,510050.SH,ETF期权,认购,欧式,2.348,10220,2017-06,2016/10/27 0:00:00,2017/6/28 0:00:00,2017-06-28,2017-06-29,0.0705,实物资产,退市,
2016/11/9 0:00:00,0.0935,0.0919,0.0956,0.0835,0.0876,1843,1656730,155,232,0.428975700676867,1.86497979922783,0.00724605030499446,-0.0852443732228176,0.00589929056907645,0.147713333129883,2.4,2861,10000,10000731,510050C1706A02400,50ETF购2017年6月2.348A,510050.SH,ETF期权,认购,欧式,2.348,10220,2017-06,2016/10/27 0:00:00,2017/6/28 0:00:00,2017-06-28,2017-06-29,0.0705,实物资产,退市,
