date,pre_close,open,high,low,close,volume,amt,ptmtradeday,ptmday,delta,gamma,vega,theta,rho,us_impliedvol,exe_price,maint_margin,exe_ratio,wind_code,trade_coe,sec_name,option_mark_code,option_type,call_or_put,exercise_mode,exercise_price,contract_unit,limit_month,listed_date,expire_date,exercise_date,settlement_date,reference_price,settle_mode,contract_state
2018/12/3 0:00:00,非数字,0.2814,0.324,0.2814,0.292,190,567984,76,115,0.776059318933897,0.775321873143414,0.00414896122361123,-0.225016822274919,0.00506888752892115,0.250326843261719,2.25,5898.4,10000,10001579,510050C1903M02250,50ETF购2019年3月2.25,510050.SH,ETF期权,认购,欧式,2.25,10000,2019-03,2018/12/3 0:00:00,2019/3/27 0:00:00,2019-03-27,2019-03-28,0.255,实物资产,退市,
2018/12/4 0:00:00,0.292,0.2871,0.296,0.2842,0.2955,51,148003,75,114,0.783003253888571,0.76337858562048,0.00406989973948547,-0.222946218355131,0.00508058484112979,0.244468444824219,2.25,5950,10000,10001579,510050C1903M02250,50ETF购2019年3月2.25,510050.SH,ETF期权,认购,欧式,2.25,10000,2019-03,2018/12/3 0:00:00,2019/3/27 0:00:00,2019-03-27,2019-03-28,0.255,实物资产,退市,
2018/12/5 0:00:00,0.2955,0.2831,0.2971,0.2831,0.2926,70,201802,74,113,0.775177734773928,0.786024197932963,0.00411660520218573,-0.226212396250487,0.0049778810038095,0.260945190429687,2.25,5900.8,10000,10001579,510050C1903M02250,50ETF购2019年3月2.25,510050.SH,ETF期权,认购,欧式,2.25,10000,2019-03,2018/12/3 0:00:00,2019/3/27 0:00:00,2019-03-27,2019-03-28,0.255,实物资产,退市,
2018/12/6 0:00:00,0.2926,0.27,0.27,0.2565,0.2571,88,230451,73,112,0.736208336132528,0.869231228078143,0.00438445831008596,-0.239507017202993,0.00464119573213805,0.261897180175781,2.25,5451.6,10000,10001579,510050C1903M02250,50ETF购2019年3月2.25,510050.SH,ETF期权,认购,欧式,2.25,10000,2019-03,2018/12/3 0:00:00,2019/3/27 0:00:00,2019-03-27,2019-03-28,0.255,实物资产,退市,
2018/12/7 0:00:00,0.2571,0.2585,0.2585,0.2467,0.2467,194,495131,72,111,0.730652477014542,0.890629960536929,0.00439640789846082,-0.240408950921947,0.00456287710809007,0.252963122558594,2.25,5377,10000,10001579,510050C1903M02250,50ETF购2019年3月2.25,510050.SH,ETF期权,认购,欧式,2.25,10000,2019-03,2018/12/3 0:00:00,2019/3/27 0:00:00,2019-03-27,2019-03-28,0.255,实物资产,退市,
2018/12/10 0:00:00,0.2467,0.2397,0.2424,0.2255,0.232,184,432949,71,108,0.719099582510802,0.942557496658243,0.00439563059771889,-0.242694652598168,0.00436749350428157,0.251937902832031,2.25,5209.6,10000,10001579,510050C1903M02250,50ETF购2019年3月2.25,510050.SH,ETF期权,认购,欧式,2.25,10000,2019-03,2018/12/3 0:00:00,2019/3/27 0:00:00,2019-03-27,2019-03-28,0.255,实物资产,退市,
2018/12/11 0:00:00,0.232,0.2364,0.2377,0.2265,0.2314,78,180853,70,107,0.724538559187384,0.93772898257677,0.00434252101055508,-0.241964539274676,0.00436742044116867,0.243333380126953,2.25,5213.6,10000,10001579,510050C1903M02250,50ETF购2019年3月2.25,510050.SH,ETF期权,认购,欧式,2.25,10000,2019-03,2018/12/3 0:00:00,2019/3/27 0:00:00,2019-03-27,2019-03-28,0.255,实物资产,退市,
2018/12/12 0:00:00,0.2314,0.243,0.2431,0.2322,0.2353,25,59513,69,106,0.731031981506651,0.931239276109106,0.00428167000294652,-0.24068603487998,0.00437432127998192,0.243516455078125,2.25,5255.8,10000,10001579,510050C1903M02250,50ETF购2019年3月2.25,510050.SH,ETF期权,认购,欧式,2.25,10000,2019-03,2018/12/3 0:00:00,2019/3/27 0:00:00,2019-03-27,2019-03-28,0.255,实物资产,退市,
2018/12/13 0:00:00,0.2353,0.241,0.2676,0.2377,0.2613,367,927125,68,105,0.761788097502874,0.863523409123573,0.00405392736308936,-0.234077947616451,0.00454715071755266,0.244797979736328,2.25,5556.6,10000,10001579,510050C1903M02250,50ETF购2019年3月2.25,510050.SH,ETF期权,认购,欧式,2.25,10000,2019-03,2018/12/3 0:00:00,2019/3/27 0:00:00,2019-03-27,2019-03-28,0.255,实物资产,退市,
2018/12/14 0:00:00,0.2613,0.2545,0.2546,0.2386,0.2386,143,350564,67,104,0.735225423461062,0.926272685216572,0.00421411918054047,-0.243010732953093,0.00432139889930282,0.246885034179687,2.25,5293.6,10000,10001579,510050C1903M02250,50ETF购2019年3月2.25,510050.SH,ETF期权,认购,欧式,2.25,10000,2019-03,2018/12/3 0:00:00,2019/3/27 0:00:00,2019-03-27,2019-03-28,0.255,实物资产,退市,
2018/12/17 0:00:00,0.2386,0.2311,0.2381,0.2273,0.237,48,112585,66,101,0.734458657841782,0.943876535098152,0.00415324873753321,-0.245717143872507,0.00419646439455097,0.253072967529297,2.25,5274,10000,10001579,510050C1903M02250,50ETF购2019年3月2.25,510050.SH,ETF期权,认购,欧式,2.25,10000,2019-03,2018/12/3 0:00:00,2019/3/27 0:00:00,2019-03-27,2019-03-28,0.255,实物资产,退市,
2018/12/18 0:00:00,0.237,0.2337,0.2369,0.2099,0.2137,123,267107,65,100,0.707016540280999,1.00841815344302,0.00428288163292618,-0.252708640647844,0.00397754343310074,0.249594543457031,2.25,5001.2,10000,10001579,510050C1903M02250,50ETF购2019年3月2.25,510050.SH,ETF期权,认购,欧式,2.25,10000,2019-03,2018/12/3 0:00:00,2019/3/27 0:00:00,2019-03-27,2019-03-28,0.255,实物资产,退市,
2018/12/19 0:00:00,0.2137,0.2154,0.2183,0.1903,0.1939,180,365981,64,99,0.681681615503224,1.06023432383965,0.00437267841128534,-0.261603808505377,0.00377442263890477,0.245786584472656,2.25,4777,10000,10001579,510050C1903M02250,50ETF购2019年3月2.25,510050.SH,ETF期权,认购,欧式,2.25,10000,2019-03,2018/12/3 0:00:00,2019/3/27 0:00:00,2019-03-27,2019-03-28,0.255,实物资产,退市,
2018/12/20 0:00:00,0.1939,0.1943,0.1962,0.1602,0.1721,601,1043097,63,98,0.644447619215707,1.12513435346873,0.00447614715475518,-0.267505440947339,0.00350458535424847,0.249997308349609,2.25,4523.2,10000,10001579,510050C1903M02250,50ETF购2019年3月2.25,510050.SH,ETF期权,认购,欧式,2.25,10000,2019-03,2018/12/3 0:00:00,2019/3/27 0:00:00,2019-03-27,2019-03-28,0.255,实物资产,退市,
2018/12/21 0:00:00,0.1721,0.1667,0.1667,0.15,0.1576,415,647793,62,97,0.61188282104963,1.19440222229713,0.00452336853914895,-0.267049808263241,0.00327656706029507,0.260286120605469,2.25,4338.4,10000,10001579,510050C1903M02250,50ETF购2019年3月2.25,510050.SH,ETF期权,认购,欧式,2.25,10000,2019-03,2018/12/3 0:00:00,2019/3/27 0:00:00,2019-03-27,2019-03-28,0.255,实物资产,退市,
2018/12/24 0:00:00,0.1576,0.1463,0.1629,0.1432,0.1499,900,1355095,61,94,0.614950513941865,1.21365293927433,0.00444571455709933,-0.270224284097836,0.00319862464771743,0.244724749755859,2.25,4264.8,10000,10001579,510050C1903M02250,50ETF购2019年3月2.25,510050.SH,ETF期权,认购,欧式,2.25,10000,2019-03,2018/12/3 0:00:00,2019/3/27 0:00:00,2019-03-27,2019-03-28,0.255,实物资产,退市,
2018/12/25 0:00:00,0.1499,0.1412,0.151,0.0567,0.1469,2028,2662020,60,93,0.600366711148426,1.23908229069177,0.00444457206919838,-0.272029039558935,0.00308147246527333,0.256038781738281,2.25,4219.4,10000,10001579,510050C1903M02250,50ETF购2019年3月2.25,510050.SH,ETF期权,认购,欧式,2.25,10000,2019-03,2018/12/3 0:00:00,2019/3/27 0:00:00,2019-03-27,2019-03-28,0.255,实物资产,退市,
2018/12/26 0:00:00,0.1469,0.1402,0.1468,0.1298,0.1298,1337,1820116,59,92,0.579922255441257,1.32015735606833,0.00444050146026088,-0.264032249588741,0.00294486061993594,0.241868780517578,2.25,4028,10000,10001579,510050C1903M02250,50ETF购2019年3月2.25,510050.SH,ETF期权,认购,欧式,2.25,10000,2019-03,2018/12/3 0:00:00,2019/3/27 0:00:00,2019-03-27,2019-03-28,0.255,实物资产,退市,
2018/12/27 0:00:00,0.1298,0.1411,0.1486,0.1278,0.1323,1102,1517529,58,91,0.579650903477635,1.33177685804666,0.00441665291638249,-0.264183453963795,0.00291392381023144,0.249338238525391,2.25,4053,10000,10001579,510050C1903M02250,50ETF购2019年3月2.25,510050.SH,ETF期权,认购,欧式,2.25,10000,2019-03,2018/12/3 0:00:00,2019/3/27 0:00:00,2019-03-27,2019-03-28,0.255,实物资产,退市,
2018/12/28 0:00:00,0.1323,0.1348,0.1462,0.1295,0.1325,2717,3670057,57,90,0.594088621796909,1.33107818554094,0.00437750833199958,-0.263333840663164,0.00296591212490302,0.236998986816406,2.25,4068.2,10000,10001579,510050C1903M02250,50ETF购2019年3月2.25,510050.SH,ETF期权,认购,欧式,2.25,10000,2019-03,2018/12/3 0:00:00,2019/3/27 0:00:00,2019-03-27,2019-03-28,0.255,实物资产,退市,
