date,pre_close,open,high,low,close,volume,amt,ptmtradeday,ptmday,delta,gamma,vega,theta,rho,us_impliedvol,exe_price,maint_margin,exe_ratio,wind_code,trade_coe,sec_name,option_mark_code,option_type,call_or_put,exercise_mode,exercise_price,contract_unit,limit_month,listed_date,expire_date,exercise_date,settlement_date,reference_price,settle_mode,contract_state
2020/11/2 0:00:00,NaN,0.0913,0.1025,0.0872,0.1016,5262,5118771,159,234,-0.148,0.5048,0.0061,-0.0002,-0.0034,0.2616,2.95,3081,10000,10002896,510050P2106M02950,50ETF沽6月2950,510050.SH,ETF期权,认沽,欧式,2.95,10000,2021-06,2020/11/2 0:00:00,2021/6/23 0:00:00,2021-06-23,2021-06-24,0.0973,实物资产,上市,
2020/11/3 0:00:00,0.1016,0.097,0.097,0.0881,0.0936,3814,3508821,158,233,-0.1292,0.4562,0.0056,-0.0002,-0.003,0.261,2.95,3001,10000,10002896,510050P2106M02950,50ETF沽6月2950,510050.SH,ETF期权,认沽,欧式,2.95,10000,2021-06,2020/11/2 0:00:00,2021/6/23 0:00:00,2021-06-23,2021-06-24,0.0973,实物资产,上市,
2020/11/4 0:00:00,0.0936,0.0922,0.0931,0.081,0.0833,6342,5531572,157,232,-0.118,0.4251,0.0053,-0.0002,-0.0027,0.2556,2.95,2898,10000,10002896,510050P2106M02950,50ETF沽6月2950,510050.SH,ETF期权,认沽,欧式,2.95,10000,2021-06,2020/11/2 0:00:00,2021/6/23 0:00:00,2021-06-23,2021-06-24,0.0973,实物资产,上市,
2020/11/5 0:00:00,0.0833,0.0761,0.0773,0.0699,0.0743,3501,2563086,156,231,-0.1021,0.3806,0.0048,-0.0002,-0.0024,0.2513,2.95,2808,10000,10002896,510050P2106M02950,50ETF沽6月2950,510050.SH,ETF期权,认沽,欧式,2.95,10000,2021-06,2020/11/2 0:00:00,2021/6/23 0:00:00,2021-06-23,2021-06-24,0.0973,实物资产,上市,
2020/11/6 0:00:00,0.0743,0.0709,0.0742,0.07,0.0709,2536,1818959,155,230,-0.1066,0.3927,0.005,-0.0002,-0.0024,0.2472,2.95,2774,10000,10002896,510050P2106M02950,50ETF沽6月2950,510050.SH,ETF期权,认沽,欧式,2.95,10000,2021-06,2020/11/2 0:00:00,2021/6/23 0:00:00,2021-06-23,2021-06-24,0.0973,实物资产,上市,
2020/11/9 0:00:00,0.0709,0.068,0.068,0.0565,0.0586,9870,6035740,154,227,-0.0841,0.3259,0.0042,-0.0001,-0.0019,0.2439,2.95,2651,10000,10002896,510050P2106M02950,50ETF沽6月2950,510050.SH,ETF期权,认沽,欧式,2.95,10000,2021-06,2020/11/2 0:00:00,2021/6/23 0:00:00,2021-06-23,2021-06-24,0.0973,实物资产,上市,
2020/11/10 0:00:00,0.0586,0.056,0.0602,0.0555,0.0599,2807,1646986,153,226,-0.0868,0.3301,0.0043,-0.0001,-0.002,0.2465,2.95,2664,10000,10002896,510050P2106M02950,50ETF沽6月2950,510050.SH,ETF期权,认沽,欧式,2.95,10000,2021-06,2020/11/2 0:00:00,2021/6/23 0:00:00,2021-06-23,2021-06-24,0.0973,实物资产,上市,
2020/11/11 0:00:00,0.0599,0.06,0.06,0.0559,0.0559,3158,1808836,152,225,-0.0864,0.331,0.0043,-0.0001,-0.002,0.2423,2.95,2624,10000,10002896,510050P2106M02950,50ETF沽6月2950,510050.SH,ETF期权,认沽,欧式,2.95,10000,2021-06,2020/11/2 0:00:00,2021/6/23 0:00:00,2021-06-23,2021-06-24,0.0973,实物资产,上市,
2020/11/12 0:00:00,0.0559,0.0555,0.0587,0.054,0.0579,3989,2244473,151,224,-0.0909,0.348,0.0044,-0.0001,-0.0021,0.2407,2.95,2644,10000,10002896,510050P2106M02950,50ETF沽6月2950,510050.SH,ETF期权,认沽,欧式,2.95,10000,2021-06,2020/11/2 0:00:00,2021/6/23 0:00:00,2021-06-23,2021-06-24,0.0973,实物资产,上市,
