,call_or_put,date,ptmtradeday,k,rate,open,high,low,close,s,iv
0,put,2016-08-25,38,2.3,0.028221,0.0705,0.0859,0.0705,0.0757,2.269,0.21203125
1,put,2016-08-26,37,2.3,0.028366,0.0746,0.0783,0.0688,0.0765,2.267,0.2158203125
2,put,2016-08-29,36,2.3,0.028354,0.0775,0.0872,0.0775,0.0797,2.265,0.22718750000000001
3,put,2016-08-30,35,2.3,0.028363,0.0762,0.0796,0.0695,0.0742,2.276,0.22718750000000001
4,put,2016-08-31,34,2.3,0.028413,0.0736,0.0769,0.066,0.0693,2.284,0.22718750000000001
5,put,2016-09-01,33,2.3,0.028378999999999998,0.0711,0.0786,0.0687,0.0786,2.268,0.23476562500000003
6,put,2016-09-02,32,2.3,0.028262999999999996,0.0776,0.0787,0.07200000000000001,0.0755,2.279,0.24992187500000002
7,put,2016-09-05,31,2.3,0.028254,0.0712,0.0713,0.0616,0.0693,2.28,0.23476562500000003
8,put,2016-09-06,30,2.3,0.028266,0.0689,0.0769,0.0613,0.0663,2.286,0.23476562500000003
9,put,2016-09-07,29,2.3,0.028175,0.0622,0.0654,0.0588,0.064,2.29,0.24234375000000002
10,put,2016-09-08,28,2.3,0.028197,0.0637,0.0648,0.061,0.0632,2.29,0.24234375000000002
11,put,2016-09-09,27,2.3,0.028169,0.0614,0.0635,0.0586,0.0624,2.28,0.219609375
12,put,2016-09-12,26,2.3,0.028191,0.0724,0.0949,0.0724,0.087,2.25,0.2575
13,put,2016-09-13,25,2.3,0.02825,0.0834,0.0851,0.0799,0.0842,2.242,0.22718750000000001
14,put,2016-09-14,24,2.3,0.028288,0.087,0.0962,0.0858,0.0948,2.229,0.24234375000000002
15,put,2016-09-19,23,2.3,0.028288,0.0926,0.0926,0.0813,0.0832,2.242,0.22718750000000001
16,put,2016-09-20,22,2.3,0.028325999999999997,0.0831,0.086,0.0806,0.083,2.239,0.219609375
17,put,2016-09-21,21,2.3,0.028481,0.0839,0.0839,0.0769,0.079,2.243,0.219609375
18,put,2016-09-22,20,2.3,0.028409,0.0757,0.0757,0.0596,0.0671,2.255,0.204453125
19,put,2016-09-23,19,2.3,0.028374999999999997,0.0668,0.0692,0.065,0.0689,2.249,0.19687500000000002
20,put,2016-09-26,18,2.3,0.028325,0.0706,0.0891,0.0706,0.0868,2.222,0.19687500000000002
21,put,2016-09-27,17,2.3,0.028271,0.08800000000000001,0.0915,0.0792,0.0819,2.229,0.19687500000000002
22,put,2016-09-28,16,2.3,0.028259,0.0816,0.08900000000000001,0.0816,0.0872,2.219,0.18171875
23,put,2016-09-29,15,2.3,0.028291,0.084,0.0843,0.0704,0.0765,2.23,0.18171875
24,put,2016-09-30,14,2.3,0.028325,0.0796,0.0796,0.0708,0.0742,2.235,0.19687500000000002
25,put,2016-10-10,13,2.3,0.028313,0.066,0.066,0.0452,0.0499,2.262,0.1665625
26,put,2016-10-11,12,2.3,0.028329,0.0489,0.0511,0.0446,0.0473,2.265,0.1665625
27,put,2016-10-12,11,2.3,0.028334,0.05,0.054000000000000006,0.0492,0.051,2.257,0.1665625
28,put,2016-10-13,10,2.3,0.028334,0.0521,0.0542,0.045,0.052000000000000005,2.257,0.18171875
29,put,2016-10-14,9,2.3,0.028354,0.0518,0.0553,0.040999999999999995,0.043,2.266,0.1665625
30,put,2016-10-17,8,2.3,0.028359000000000002,0.0401,0.0605,0.0401,0.0577,2.25,0.19687500000000002
31,put,2016-10-18,7,2.3,0.028366,0.0581,0.059000000000000004,0.0291,0.0301,2.282,0.1665625
32,put,2016-10-19,6,2.3,0.028491,0.028999999999999998,0.0317,0.0243,0.03,2.279,0.15140625000000002
33,put,2016-10-20,5,2.3,0.028437,0.0294,0.0294,0.023,0.0267,2.28,0.13625
34,put,2016-10-21,4,2.3,0.028413,0.0256,0.0285,0.0127,0.0159,2.295,0.13625
35,put,2016-10-24,3,2.3,0.028525000000000002,0.0153,0.0153,0.002,0.0026,2.324,0.13625
36,put,2016-10-25,2,2.3,0.028571,0.0024,0.0027,0.0005,0.0005,2.319,0.075625
37,put,2016-10-26,1,2.3,0.028828999999999997,0.0007,0.0007,0.0001,0.0001,2.311,0.075625
