,call_or_put,date,ptmtradeday,k,rate,open,high,low,close,s,iv
0,put,2019-02-21,85,2.8,0.0281,0.2581,0.2618,0.233,0.255,2.566,0.22718750000000001
1,put,2019-02-22,84,2.8,0.0281,0.258,0.2661,0.2202,0.2211,2.618,0.23476562500000003
2,put,2019-02-25,83,2.8,0.0282,0.2181,0.2181,0.1623,0.1709,2.816,0.35222656250000006
3,put,2019-02-26,82,2.8,0.028863,0.17,0.1958,0.17,0.1911,2.728,0.3143359375
4,put,2019-02-27,81,2.8,0.028149999999999998,0.1831,0.1943,0.1623,0.1806,2.736,0.30296875
5,put,2019-02-28,80,2.8,0.028271,0.1795,0.184,0.1639,0.1714,2.736,0.28402343750000003
6,put,2019-03-01,79,2.8,0.028374999999999997,0.1598,0.16899999999999998,0.1413,0.1427,2.802,0.295390625
7,put,2019-03-04,78,2.8,0.028525000000000002,0.1368,0.1533,0.1282,0.139,2.815,0.2991796875
8,put,2019-03-05,77,2.8,0.028665,0.1427,0.1521,0.1363,0.1455,2.813,0.310546875
9,put,2019-03-06,76,2.8,0.0287,0.15,0.1686,0.1457,0.1542,2.82,0.33707031249999997
10,put,2019-03-07,75,2.8,0.028325,0.1602,0.1838,0.155,0.1786,2.773,0.34464843749999996
11,put,2019-03-08,74,2.8,0.028650000000000002,0.1915,0.2472,0.1915,0.2296,2.675,0.3484375
12,put,2019-03-11,73,2.8,0.0288,0.2,0.2249,0.1937,0.1991,2.69,0.30296875
13,put,2019-03-12,72,2.8,0.028775,0.1885,0.2038,0.1753,0.1945,2.701,0.3067578125
14,put,2019-03-13,71,2.8,0.028999999999999998,0.1917,0.2033,0.1792,0.1911,2.706,0.3067578125
15,put,2019-03-14,70,2.8,0.028779,0.1867,0.1907,0.1756,0.185,2.71,0.30296875
16,put,2019-03-15,69,2.8,0.028833,0.1758,0.1777,0.1543,0.1706,2.74,0.3067578125
17,put,2019-03-18,68,2.8,0.0288,0.1635,0.1663,0.139,0.1414,2.812,0.3219140625
18,put,2019-03-19,67,2.8,0.029175,0.142,0.1564,0.1359,0.1537,2.79,0.3294921875
19,put,2019-03-20,66,2.8,0.029125,0.1583,0.1604,0.1432,0.1486,2.794,0.3219140625
