,call_or_put,date,ptmtradeday,k,rate,open,high,low,close,s,iv
0,put,2016-05-26,43,2.15,0.029597000000000002,0.1127,0.1211,0.10300000000000001,0.1119,2.074,0.24992187500000002
1,put,2016-05-27,42,2.15,0.029672999999999998,0.1122,0.1142,0.1033,0.1055,2.078,0.24234375000000002
2,put,2016-05-30,41,2.15,0.029733999999999997,0.1059,0.1128,0.0935,0.0972,2.089,0.23476562500000003
3,put,2016-05-31,40,2.15,0.029697,0.0936,0.0936,0.0558,0.0624,2.16,0.24992187500000002
4,put,2016-06-01,39,2.15,0.029674,0.062,0.0642,0.0594,0.0635,2.142,0.22718750000000001
5,put,2016-06-02,38,2.15,0.029819,0.0619,0.0675,0.06,0.0652,2.14,0.22718750000000001
6,put,2016-06-03,37,2.15,0.029893,0.0645,0.067,0.0572,0.0602,2.154,0.24234375000000002
7,put,2016-06-06,36,2.15,0.0298,0.06,0.0665,0.0587,0.0637,2.141,0.23476562500000003
8,put,2016-06-07,35,2.15,0.029786,0.0632,0.0639,0.06,0.0624,2.143,0.23476562500000003
9,put,2016-06-08,34,2.15,0.029759,0.0646,0.0713,0.0637,0.0685,2.139,0.24992187500000002
10,put,2016-06-13,33,2.15,0.029752999999999998,0.0704,0.10400000000000001,0.0704,0.10400000000000001,2.088,0.2878125
11,put,2016-06-14,32,2.15,0.029438,0.1019,0.1071,0.0893,0.092,2.101,0.27265625000000004
12,put,2016-06-15,31,2.15,0.029459,0.0966,0.1068,0.073,0.0824,2.109,0.2575
13,put,2016-06-16,30,2.15,0.029479,0.085,0.0899,0.0786,0.0878,2.102,0.26507812500000005
14,put,2016-06-17,29,2.15,0.029596,0.0841,0.0846,0.0674,0.0797,2.109,0.24992187500000002
15,put,2016-06-20,28,2.15,0.0296,0.0767,0.0838,0.07,0.073,2.114,0.24234375000000002
16,put,2016-06-21,27,2.15,0.029620999999999998,0.0693,0.0749,0.0547,0.0732,2.112,0.24234375000000002
17,put,2016-06-22,26,2.15,0.029588,0.0727,0.0741,0.0623,0.0644,2.124,0.23476562500000003
18,put,2016-06-23,25,2.15,0.029697,0.063,0.0739,0.0615,0.0696,2.116,0.24234375000000002
19,put,2016-06-24,24,2.15,0.029529,0.071,0.1066,0.0605,0.0834,2.09,0.23476562500000003
20,put,2016-06-27,23,2.15,0.029254,0.0855,0.0862,0.066,0.0669,2.111,0.219609375
21,put,2016-06-28,22,2.15,0.029313,0.07,0.0736,0.0588,0.0591,2.117,0.204453125
22,put,2016-06-29,21,2.15,0.029491,0.0578,0.0578,0.046,0.0473,2.135,0.204453125
23,put,2016-06-30,20,2.15,0.029390999999999997,0.0438,0.0457,0.0383,0.0418,2.136,0.18171875
24,put,2016-07-01,19,2.15,0.029209,0.0405,0.0405,0.0358,0.0386,2.142,0.18171875
25,put,2016-07-04,18,2.15,0.029291,0.0404,0.0416,0.0202,0.0216,2.177,0.18171875
26,put,2016-07-05,17,2.15,0.029337,0.0224,0.0224,0.0181,0.0193,2.185,0.18929687500000003
27,put,2016-07-06,16,2.15,0.029167000000000002,0.0218,0.0255,0.0182,0.0195,2.184,0.19687500000000002
28,put,2016-07-07,15,2.15,0.02907,0.0196,0.0219,0.0161,0.0192,2.189,0.21203125
29,put,2016-07-08,14,2.15,0.028988,0.0197,0.0218,0.0173,0.0194,2.177,0.18929687500000003
30,put,2016-07-11,13,2.15,0.029013,0.0161,0.0167,0.0093,0.0127,2.188,0.174140625
31,put,2016-07-12,12,2.15,0.029017,0.0127,0.0135,0.0033,0.0041,2.233,0.1665625
32,put,2016-07-13,11,2.15,0.028896,0.0043,0.005,0.0025,0.0042,2.236,0.19687500000000002
33,put,2016-07-14,10,2.15,0.02883,0.0042,0.0045,0.0031,0.0033,2.233,0.19687500000000002
34,put,2016-07-15,9,2.15,0.028825,0.0031,0.0033,0.002,0.0021,2.236,0.1665625
35,put,2016-07-18,8,2.15,0.028581,0.0024,0.0029,0.0016,0.0022,2.228,0.1665625
36,put,2016-07-19,7,2.15,0.028613,0.0024,0.0034,0.0015,0.0025,2.216,0.1665625
37,put,2016-07-20,6,2.15,0.028538,0.0024,0.0028,0.0018,0.0021,2.209,0.1665625
38,put,2016-07-21,5,2.15,0.028513,0.0016,0.0017,0.0008,0.001,2.22,0.13625
39,put,2016-07-22,4,2.15,0.028388,0.001,0.0013,0.0006,0.0013,2.2,0.13625
40,put,2016-07-25,3,2.15,0.028473000000000002,0.0011,0.0013,0.0001,0.0003,2.201,0.13625
41,put,2016-07-26,2,2.15,0.028475,0.0001,0.0002,0.0001,0.0001,2.227,0.2575
42,put,2016-07-27,1,2.15,0.02842,0.0001,0.0009,0.0001,0.0001,2.215,0.2575
