,call_or_put,date,ptmtradeday,k,rate,open,high,low,close,s,iv
0,call,2018-06-05,36,2.9,0.0429,0.0135,0.0148,0.0122,0.0147,2.696,0.21203125
1,call,2018-06-06,35,2.9,0.04295,0.0148,0.0148,0.0116,0.0125,2.686,0.21203125
2,call,2018-06-07,34,2.9,0.043,0.0125,0.0144,0.0112,0.0118,2.694,0.204453125
3,call,2018-06-08,33,2.9,0.04295,0.0113,0.0118,0.0078,0.0082,2.652,0.21203125
4,call,2018-06-11,32,2.9,0.0429,0.0072,0.0093,0.006999999999999999,0.0092,2.663,0.219609375
5,call,2018-06-12,31,2.9,0.043250000000000004,0.0095,0.0107,0.0077,0.0095,2.688,0.21203125
6,call,2018-06-13,30,2.9,0.043274999999999994,0.0087,0.0092,0.0068,0.0073,2.672,0.21203125
7,call,2018-06-14,29,2.9,0.043125,0.006999999999999999,0.0097,0.0067,0.0078,2.675,0.21203125
8,call,2018-06-15,28,2.9,0.043,0.008,0.0091,0.0076,0.0083,2.678,0.21203125
9,call,2018-06-19,27,2.9,0.04295,0.0071,0.0096,0.0058,0.0062,2.612,0.2575
10,call,2018-06-20,26,2.9,0.0425,0.0063,0.0069,0.004,0.0042,2.61,0.24234375000000002
11,call,2018-06-21,25,2.9,0.042074999999999994,0.0043,0.0043,0.0023,0.0025,2.592,0.22718750000000001
12,call,2018-06-22,24,2.9,0.041911,0.0025,0.003,0.0023,0.0027,2.598,0.22718750000000001
13,call,2018-06-25,23,2.9,0.041727,0.0028,0.003,0.0017,0.0019,2.548,0.2575
14,call,2018-06-26,22,2.9,0.041363000000000004,0.0019,0.0025,0.0017,0.0019,2.52,0.2878125
15,call,2018-06-27,21,2.9,0.041550000000000004,0.002,0.0024,0.0013,0.0017,2.465,0.318125
16,call,2018-06-28,20,2.9,0.04125,0.0016,0.0019,0.0011,0.0011,2.441,0.2575
17,call,2018-06-29,19,2.9,0.0406,0.0016,0.0016,0.001,0.0011,2.495,0.2575
18,call,2018-07-02,18,2.9,0.04,0.0009,0.0011,0.0008,0.0009,2.402,0.2575
19,call,2018-07-03,17,2.9,0.0393,0.001,0.0013,0.0008,0.001,2.41,0.2575
20,call,2018-07-04,16,2.9,0.039067,0.0011,0.0011,0.0008,0.001,2.39,0.2575
21,call,2018-07-05,15,2.9,0.037982999999999996,0.0009,0.0011,0.0004,0.001,2.391,0.2575
22,call,2018-07-06,14,2.9,0.036699999999999997,0.001,0.0013,0.0007,0.0008,2.425,0.2575
23,call,2018-07-09,13,2.9,0.036699999999999997,0.001,0.0012,0.0007,0.001,2.496,0.2575
24,call,2018-07-10,12,2.9,0.037067,0.001,0.001,0.0005,0.0005,2.493,0.2575
25,call,2018-07-11,11,2.9,0.037413,0.0007,0.0007,0.0003,0.0003,2.454,0.2575
26,call,2018-07-12,10,2.9,0.03755,0.0006,0.0006,0.0003,0.0003,2.505,0.2575
27,call,2018-07-13,9,2.9,0.037149999999999996,0.0001,0.0005,0.0001,0.0004,2.509,0.2575
28,call,2018-07-16,8,2.9,0.03719,0.0004,0.0005,0.0002,0.0003,2.49,0.2575
29,call,2018-07-17,7,2.9,0.0373,0.0004,0.0004,0.0002,0.0002,2.475,0.25631761777425804
30,call,2018-07-18,6,2.9,0.036883,0.0002,0.0004,0.0002,0.0002,2.463,0.25410412450861897
31,call,2018-07-19,5,2.9,0.036216,0.0003,0.0003,0.0001,0.0002,2.474,0.2540185617211374
32,call,2018-07-20,4,2.9,0.035215,0.0003,0.0004,0.0001,0.0001,2.54,0.25158065612484465
33,call,2018-07-23,3,2.9,0.035311,0.0002,0.0002,0.0001,0.0002,2.569,0.2509277288938801
34,call,2018-07-24,2,2.9,0.034775,0.0001,0.0004,0.0001,0.0001,2.61,0.24913819814862903
35,call,2018-07-25,1,2.9,0.03443,0.0001,0.0001,0.0001,0.0001,2.609,0.24958687323656675
