,call_or_put,date,ptmtradeday,k,rate,open,high,low,close,s,iv
0,call,2018-05-24,44,2.7,0.042575,0.0745,0.076,0.0642,0.0649,2.655,0.2158203125
1,call,2018-05-25,43,2.7,0.042575,0.0649,0.0735,0.0595,0.0617,2.654,0.21203125
2,call,2018-05-28,42,2.7,0.042649999999999993,0.0636,0.0716,0.0589,0.067,2.668,0.21203125
3,call,2018-05-29,41,2.7,0.0429,0.067,0.0678,0.0526,0.0602,2.655,0.21203125
4,call,2018-05-30,40,2.7,0.0433,0.053,0.0555,0.0467,0.0488,2.601,0.24234375000000002
5,call,2018-05-31,39,2.7,0.043525,0.0517,0.0653,0.0491,0.0635,2.651,0.23097656250000004
6,call,2018-06-01,38,2.7,0.043,0.0608,0.0653,0.0547,0.0588,2.643,0.23097656250000004
7,call,2018-06-04,37,2.7,0.0429,0.0665,0.0758,0.0602,0.0733,2.686,0.219609375
8,call,2018-06-05,36,2.7,0.0429,0.0733,0.0804,0.0685,0.078,2.696,0.219609375
9,call,2018-06-06,35,2.7,0.04295,0.0758,0.0762,0.0689,0.0706,2.686,0.219609375
10,call,2018-06-07,34,2.7,0.043,0.0766,0.0845,0.0693,0.0703,2.694,0.204453125
11,call,2018-06-08,33,2.7,0.04295,0.0689,0.0689,0.051,0.0546,2.652,0.22718750000000001
12,call,2018-06-11,32,2.7,0.0429,0.053,0.0598,0.0492,0.0592,2.663,0.22718750000000001
13,call,2018-06-12,31,2.7,0.043250000000000004,0.0588,0.0718,0.0543,0.0675,2.688,0.219609375
14,call,2018-06-13,30,2.7,0.043274999999999994,0.0648,0.0665,0.0569,0.0587,2.672,0.219609375
15,call,2018-06-14,29,2.7,0.043125,0.0565,0.07200000000000001,0.0551,0.0631,2.675,0.23476562500000003
16,call,2018-06-15,28,2.7,0.043,0.0631,0.0704,0.0611,0.0645,2.678,0.23855468750000003
17,call,2018-06-19,27,2.7,0.04295,0.0557,0.061,0.04,0.0431,2.612,0.26507812500000005
18,call,2018-06-20,26,2.7,0.0425,0.0428,0.0478,0.0358,0.0366,2.61,0.24992187500000002
19,call,2018-06-21,25,2.7,0.042074999999999994,0.0381,0.0406,0.0236,0.0249,2.592,0.22718750000000001
20,call,2018-06-22,24,2.7,0.041911,0.025,0.0278,0.0219,0.0251,2.598,0.22718750000000001
21,call,2018-06-25,23,2.7,0.041727,0.027999999999999997,0.0293,0.015,0.016,2.548,0.24234375000000002
22,call,2018-06-26,22,2.7,0.041363000000000004,0.0156,0.0164,0.011000000000000001,0.0128,2.52,0.2575
23,call,2018-06-27,21,2.7,0.041550000000000004,0.013000000000000001,0.0135,0.0073,0.008,2.465,0.2878125
24,call,2018-06-28,20,2.7,0.04125,0.008,0.0085,0.0049,0.0054,2.441,0.2878125
25,call,2018-06-29,19,2.7,0.0406,0.0056,0.0073,0.0055,0.0068,2.495,0.2575
26,call,2018-07-02,18,2.7,0.04,0.0065,0.0066,0.0033,0.0038,2.402,0.318125
27,call,2018-07-03,17,2.7,0.0393,0.0043,0.0051,0.0034,0.0042,2.41,0.318125
28,call,2018-07-04,16,2.7,0.039067,0.0041,0.0049,0.0031,0.0033,2.39,0.318125
29,call,2018-07-05,15,2.7,0.037982999999999996,0.0032,0.0038,0.0028,0.0031,2.391,0.3484375
30,call,2018-07-06,14,2.7,0.036699999999999997,0.0031,0.0048,0.0028,0.0031,2.425,0.318125
31,call,2018-07-09,13,2.7,0.036699999999999997,0.0032,0.0038,0.0024,0.0029,2.496,0.2575
32,call,2018-07-10,12,2.7,0.037067,0.0031,0.0039,0.0022,0.0025,2.493,0.2575
33,call,2018-07-11,11,2.7,0.037413,0.0024,0.0026,0.0013,0.0016,2.454,0.2575
34,call,2018-07-12,10,2.7,0.03755,0.0017,0.0033,0.0014,0.0024,2.505,0.2575
35,call,2018-07-13,9,2.7,0.037149999999999996,0.003,0.0034,0.0023,0.0024,2.509,0.2575
36,call,2018-07-16,8,2.7,0.03719,0.0021,0.0028,0.0012,0.0012,2.49,0.2575
37,call,2018-07-17,7,2.7,0.0373,0.0012,0.0012,0.0005,0.0006,2.475,0.2575
38,call,2018-07-18,6,2.7,0.036883,0.0006,0.0006,0.0003,0.0003,2.463,0.2575
39,call,2018-07-19,5,2.7,0.036216,0.0004,0.0006,0.0002,0.0003,2.474,0.2575
40,call,2018-07-20,4,2.7,0.035215,0.0005,0.0013,0.0002,0.0008,2.54,0.2575
41,call,2018-07-23,3,2.7,0.035311,0.0006,0.0009,0.0001,0.0004,2.569,0.2575
42,call,2018-07-24,2,2.7,0.034775,0.0003,0.0025,0.0003,0.0006,2.61,0.2575
43,call,2018-07-25,1,2.7,0.03443,0.0005,0.0006,0.0001,0.0001,2.609,0.2575
