,call_or_put,date,ptmtradeday,k,rate,open,high,low,close,s,iv
0,put,2019-07-25,162,2.85,0.027450000000000002,0.1283,0.1283,0.111,0.1118,2.977,0.23476562500000003
1,put,2019-07-26,161,2.85,0.02735,0.1159,0.1159,0.1044,0.106,2.982,0.23097656250000004
2,put,2019-07-29,160,2.85,0.0276,0.1054,0.1095,0.1054,0.109,2.978,0.23476562500000003
3,put,2019-07-30,159,2.85,0.027625,0.1029,0.1082,0.0992,0.1077,2.988,0.23666015625000003
4,put,2019-07-31,158,2.85,0.027525,0.10800000000000001,0.1177,0.1071,0.1168,2.96,0.23855468750000003
5,put,2019-08-01,157,2.85,0.027525,0.12,0.12,0.1105,0.113,2.935,0.219609375
6,put,2019-08-02,156,2.85,0.02725,0.1283,0.1425,0.1252,0.1341,2.89,0.22718750000000001
7,put,2019-08-05,155,2.85,0.027149999999999997,0.1407,0.158,0.1337,0.158,2.835,0.22718750000000001
8,put,2019-08-06,154,2.85,0.0271,0.1785,0.2033,0.1662,0.1832,2.805,0.24234375000000002
9,put,2019-08-07,153,2.85,0.026949999999999998,0.1768,0.1899,0.1732,0.1894,2.791,0.24234375000000002
10,put,2019-08-08,152,2.85,0.027000000000000003,0.1827,0.18600000000000003,0.1679,0.1833,2.831,0.26128906250000006
11,put,2019-08-09,151,2.85,0.02702,0.175,0.1941,0.1745,0.1908,2.82,0.26507812500000005
12,put,2019-08-12,150,2.85,0.0273,0.185,0.1874,0.1766,0.1771,2.869,0.27644531250000004
13,put,2019-08-13,149,2.85,0.0274,0.1807,0.1921,0.1807,0.1863,2.84,0.27265625000000004
14,put,2019-08-14,148,2.85,0.027407,0.1702,0.1777,0.1678,0.1777,2.849,0.26886718750000005
15,put,2019-08-15,147,2.85,0.027525,0.1923,0.2023,0.1768,0.1784,2.858,0.27644531250000004
16,put,2019-08-16,146,2.85,0.027587,0.1786,0.1818,0.1657,0.1788,2.87,0.28402343750000003
17,put,2019-08-19,145,2.85,0.027450000000000002,0.1682,0.1729,0.151,0.1526,2.927,0.28023437500000004
18,put,2019-08-20,144,2.85,0.027325,0.1482,0.1547,0.1481,0.1509,2.921,0.27644531250000004
19,put,2019-08-21,143,2.85,0.0274,0.1519,0.152,0.1384,0.1439,2.919,0.26507812500000005
20,put,2019-08-22,142,2.85,0.0276,0.1398,0.142,0.133,0.133,2.923,0.25181640625
21,put,2019-08-23,141,2.85,0.0277,0.1308,0.1337,0.122,0.1253,2.963,0.26318359375000006
22,put,2019-08-26,140,2.85,0.0276,0.1367,0.1507,0.136,0.1465,2.914,0.26886718750000005
23,put,2019-08-27,139,2.85,0.02785,0.1373,0.1373,0.1208,0.13,2.934,0.2575
24,put,2019-08-28,138,2.85,0.028025,0.1291,0.1382,0.1291,0.136,2.912,0.2537109375
25,put,2019-08-29,137,2.85,0.028025,0.1346,0.146,0.1346,0.1408,2.901,0.25560546875
26,put,2019-08-30,136,2.85,0.0282,0.1336,0.1405,0.1244,0.1356,2.916,0.2575
27,put,2019-09-02,135,2.85,0.028175,0.1348,0.1348,0.1197,0.1225,2.94,0.25181640625
28,put,2019-09-03,134,2.85,0.028175,0.1204,0.1244,0.1171,0.1217,2.939,0.24992187500000002
29,put,2019-09-04,133,2.85,0.02825,0.1185,0.1185,0.1086,0.1086,2.973,0.24992187500000002
30,put,2019-09-05,132,2.85,0.027975,0.1038,0.1038,0.0945,0.0994,3.004,0.25181640625
31,put,2019-09-06,131,2.85,0.028224999999999997,0.0942,0.0977,0.0914,0.0939,3.037,0.26128906250000006
32,put,2019-09-09,130,2.85,0.0281,0.0889,0.1001,0.0789,0.0985,3.032,0.26507812500000005
33,put,2019-09-10,129,2.85,0.02835,0.0995,0.1016,0.0954,0.1011,3.021,0.26507812500000005
34,put,2019-09-11,128,2.85,0.028300000000000002,0.0981,0.1045,0.0981,0.1028,3.007,0.26128906250000006
35,put,2019-09-12,127,2.85,0.028201999999999998,0.0991,0.1009,0.0917,0.0926,3.047,0.26507812500000005
36,put,2019-09-16,126,2.85,0.028224999999999997,0.0929,0.0962,0.0901,0.09300000000000001,3.034,0.26128906250000006
37,put,2019-09-17,125,2.85,0.028224999999999997,0.0938,0.10300000000000001,0.0913,0.1003,2.987,0.24992187500000002
38,put,2019-09-18,124,2.85,0.028302,0.0963,0.0964,0.0912,0.0947,3.003,0.24992187500000002
39,put,2019-09-19,123,2.85,0.028275,0.0907,0.0966,0.0895,0.0923,3.007,0.24992187500000002
40,put,2019-09-20,122,2.85,0.028849999999999997,0.0887,0.0919,0.0881,0.0915,3.013,0.2537109375
