,call_or_put,date,ptmtradeday,k,rate,open,high,low,close,s,iv
0,put,2016-11-29,41,2.3,0.03205,0.0177,0.0199,0.0121,0.0152,2.446,0.204453125
1,put,2016-11-30,40,2.3,0.032440000000000004,0.0146,0.0197,0.0134,0.0181,2.419,0.19687500000000002
2,put,2016-12-01,39,2.3,0.033125,0.0177,0.0194,0.0126,0.0163,2.433,0.204453125
3,put,2016-12-02,38,2.3,0.033163,0.017,0.0195,0.0155,0.0181,2.416,0.204453125
4,put,2016-12-05,37,2.3,0.033111,0.0209,0.0272,0.0209,0.0269,2.373,0.19687500000000002
5,put,2016-12-06,36,2.3,0.0332,0.0268,0.027000000000000003,0.0246,0.0257,2.368,0.18929687500000003
6,put,2016-12-07,35,2.3,0.032775,0.0253,0.0269,0.0224,0.0232,2.375,0.18929687500000003
7,put,2016-12-08,34,2.3,0.032799999999999996,0.0228,0.0228,0.0188,0.0204,2.38,0.18171875
8,put,2016-12-09,33,2.3,0.032838,0.0204,0.0219,0.0109,0.0125,2.413,0.18171875
9,put,2016-12-12,32,2.3,0.033213,0.012,0.0215,0.0103,0.0186,2.386,0.18929687500000003
10,put,2016-12-13,31,2.3,0.033475000000000005,0.0196,0.0244,0.0186,0.02,2.371,0.18171875
11,put,2016-12-14,30,2.3,0.033578000000000004,0.0207,0.0253,0.0175,0.025,2.36,0.19687500000000002
12,put,2016-12-15,29,2.3,0.034821,0.0256,0.0524,0.0252,0.051,2.308,0.22718750000000001
13,put,2016-12-16,28,2.3,0.034938,0.0506,0.0517,0.0434,0.0497,2.301,0.21203125
14,put,2016-12-19,27,2.3,0.035291,0.05,0.055999999999999994,0.0472,0.0539,2.293,0.21203125
15,put,2016-12-20,26,2.3,0.035804,0.0539,0.0779,0.0514,0.066,2.281,0.24234375000000002
16,put,2016-12-21,25,2.3,0.035056,0.0666,0.0666,0.0452,0.0475,2.298,0.204453125
17,put,2016-12-22,24,2.3,0.034411,0.0482,0.0593,0.0474,0.0534,2.292,0.219609375
18,put,2016-12-23,23,2.3,0.034175,0.0529,0.0655,0.0529,0.0629,2.279,0.24234375000000002
19,put,2016-12-26,22,2.3,0.034675,0.069,0.0809,0.0453,0.0474,2.298,0.219609375
20,put,2016-12-27,21,2.3,0.034344,0.0463,0.0549,0.0424,0.054000000000000006,2.289,0.22718750000000001
21,put,2016-12-28,20,2.3,0.0347,0.0521,0.0605,0.0506,0.0586,2.278,0.22718750000000001
22,put,2016-12-29,19,2.3,0.034788,0.0596,0.0607,0.0469,0.0529,2.278,0.21203125
23,put,2016-12-30,18,2.3,0.034688,0.0522,0.0543,0.0455,0.049,2.287,0.219609375
24,put,2017-01-03,17,2.3,0.034977,0.0481,0.049,0.03,0.032,2.307,0.18929687500000003
25,put,2017-01-04,16,2.3,0.035213999999999995,0.0322,0.033,0.0224,0.0237,2.325,0.18929687500000003
26,put,2017-01-05,15,2.3,0.035613,0.0237,0.0238,0.0197,0.0227,2.322,0.18171875
27,put,2017-01-06,14,2.3,0.036275,0.0228,0.0244,0.0198,0.0244,2.314,0.18171875
28,put,2017-01-09,13,2.3,0.037113,0.0242,0.0244,0.016,0.0175,2.319,0.15140625000000002
29,put,2017-01-10,12,2.3,0.036891,0.0173,0.0202,0.0151,0.0195,2.313,0.158984375
30,put,2017-01-11,11,2.3,0.036983999999999996,0.0195,0.023,0.0161,0.0219,2.303,0.15140625000000002
31,put,2017-01-12,10,2.3,0.036973,0.0227,0.0256,0.0189,0.0253,2.296,0.1665625
32,put,2017-01-13,9,2.3,0.037304,0.026000000000000002,0.026000000000000002,0.0133,0.0172,2.31,0.15140625000000002
33,put,2017-01-16,8,2.3,0.03775,0.0175,0.0258,0.0088,0.0092,2.339,0.18171875
34,put,2017-01-17,7,2.3,0.037929,0.01,0.0102,0.0047,0.005,2.329,0.12109375
35,put,2017-01-18,6,2.3,0.038159,0.005,0.0057,0.002,0.0027,2.344,0.13625
36,put,2017-01-19,5,2.3,0.038121999999999996,0.0025,0.0032,0.0018,0.0024,2.334,0.13625
37,put,2017-01-20,4,2.3,0.038259,0.0026,0.0026,0.0006,0.0008,2.349,0.13625
38,put,2017-01-23,3,2.3,0.03853,0.0006,0.0009,0.0002,0.0005,2.348,0.13625
39,put,2017-01-24,2,2.3,0.038234,0.0003,0.0006,0.0001,0.0001,2.354,0.13625
40,put,2017-01-25,1,2.3,0.039663,0.0002,0.0004,0.0001,0.0001,2.357,0.2575
