,call_or_put,date,ptmtradeday,k,rate,open,high,low,close,s,iv
0,call,2017-08-03,159,2.85,0.0433,0.1145,0.1205,0.0983,0.0994,2.689,0.204453125
1,call,2017-08-04,158,2.85,0.0433,0.0992,0.1033,0.0912,0.0912,2.671,0.204453125
2,call,2017-08-07,157,2.85,0.0435,0.0915,0.0964,0.0853,0.0927,2.679,0.20066406250000002
3,call,2017-08-08,156,2.85,0.04335,0.0925,0.0926,0.0835,0.08800000000000001,2.682,0.19308593750000003
4,call,2017-08-09,155,2.85,0.04335,0.08800000000000001,0.08800000000000001,0.076,0.0768,2.664,0.18929687500000003
5,call,2017-08-10,154,2.85,0.0435,0.076,0.081,0.063,0.0695,2.655,0.18171875
6,call,2017-08-11,153,2.85,0.043449999999999996,0.0659,0.0659,0.0565,0.0579,2.613,0.18550781250000004
7,call,2017-08-14,152,2.85,0.0436,0.0576,0.0604,0.051,0.059000000000000004,2.635,0.1779296875
8,call,2017-08-15,151,2.85,0.04375,0.0617,0.0706,0.0617,0.0674,2.651,0.18171875
9,call,2017-08-16,150,2.85,0.043899999999999995,0.0651,0.0653,0.057999999999999996,0.0603,2.64,0.1779296875
10,call,2017-08-17,149,2.85,0.0441,0.0608,0.0662,0.0592,0.0641,2.652,0.1779296875
11,call,2017-08-18,148,2.85,0.043899999999999995,0.0631,0.0718,0.0562,0.0695,2.664,0.18171875
12,call,2017-08-21,147,2.85,0.04385,0.0689,0.0751,0.065,0.0673,2.663,0.1779296875
13,call,2017-08-22,146,2.85,0.0438,0.0673,0.0734,0.0673,0.0731,2.689,0.174140625
14,call,2017-08-23,145,2.85,0.0438,0.0738,0.0909,0.0728,0.0861,2.708,0.18361328125000004
15,call,2017-08-24,144,2.85,0.0441,0.0861,0.0934,0.078,0.0806,2.698,0.18171875
16,call,2017-08-25,143,2.85,0.0441,0.0806,0.1162,0.0806,0.1159,2.757,0.19687500000000002
17,call,2017-08-28,142,2.85,0.0441,0.1151,0.1592,0.1151,0.1379,2.788,0.2082421875
18,call,2017-08-29,141,2.85,0.044175000000000006,0.1355,0.1408,0.1314,0.1368,2.789,0.20634765625
19,call,2017-08-30,140,2.85,0.044199999999999996,0.1371,0.1511,0.1283,0.1308,2.774,0.21013671875
20,call,2017-08-31,139,2.85,0.044025,0.1291,0.1355,0.1206,0.1256,2.766,0.2082421875
21,call,2017-09-01,138,2.85,0.04391,0.1252,0.1375,0.1186,0.1228,2.76,0.21013671875
22,call,2017-09-04,137,2.85,0.044199999999999996,0.1218,0.1275,0.1168,0.1239,2.764,0.21013671875
23,call,2017-09-05,136,2.85,0.044488,0.1269,0.1428,0.1255,0.1348,2.782,0.21392578125
24,call,2017-09-06,135,2.85,0.044480000000000006,0.1306,0.1315,0.1213,0.1255,2.764,0.21392578125
25,call,2017-09-07,134,2.85,0.043899999999999995,0.1254,0.1305,0.1144,0.1152,2.743,0.2158203125
26,call,2017-09-08,133,2.85,0.043819,0.1147,0.1211,0.1098,0.1116,2.738,0.21392578125
27,call,2017-09-11,132,2.85,0.0437,0.1109,0.12300000000000001,0.1103,0.1128,2.73,0.2233984375
28,call,2017-09-12,131,2.85,0.0437,0.1174,0.1204,0.1126,0.1187,2.746,0.22150390625
29,call,2017-09-13,130,2.85,0.0438,0.1167,0.1176,0.1114,0.1158,2.739,0.2233984375
30,call,2017-09-14,129,2.85,0.0437,0.1146,0.1164,0.09699999999999999,0.1003,2.722,0.21203125
31,call,2017-09-15,128,2.85,0.043613,0.0993,0.1049,0.0968,0.1012,2.722,0.21392578125
32,call,2017-09-18,127,2.85,0.0436,0.102,0.1148,0.102,0.1079,2.729,0.219609375
33,call,2017-09-19,126,2.85,0.044050000000000006,0.1082,0.1089,0.0971,0.0999,2.72,0.2158203125
34,call,2017-09-20,125,2.85,0.043945,0.0966,0.1016,0.0956,0.0975,2.717,0.21392578125
35,call,2017-09-21,124,2.85,0.044000000000000004,0.0963,0.1077,0.0957,0.1006,2.728,0.21203125
36,call,2017-09-22,123,2.85,0.044000000000000004,0.0993,0.1041,0.0931,0.0996,2.729,0.21203125
37,call,2017-09-25,122,2.85,0.043675,0.0944,0.1002,0.0939,0.0974,2.729,0.2082421875
38,call,2017-09-26,121,2.85,0.0437,0.0972,0.0987,0.0953,0.0956,2.731,0.204453125
39,call,2017-09-27,120,2.85,0.0437,0.0948,0.0948,0.09,0.09,2.711,0.21203125
40,call,2017-09-28,119,2.85,0.0437,0.0899,0.0911,0.0801,0.084,2.715,0.20066406250000002
41,call,2017-09-29,118,2.85,0.0436,0.0865,0.0936,0.0863,0.0905,2.726,0.204453125
42,call,2017-10-09,117,2.85,0.0438,0.1066,0.13,0.0877,0.091,2.75,0.18929687500000003
43,call,2017-10-10,116,2.85,0.0438,0.0922,0.0981,0.0851,0.0918,2.746,0.19308593750000003
