,call_or_put,date,ptmtradeday,k,rate,open,high,low,close,s,iv
0,put,2018-10-19,29,2.2,0.030074,0.0201,0.0215,0.0062,0.0075,2.491,0.318125
1,put,2018-10-22,28,2.2,0.030875,0.0068,0.0071,0.0022,0.0034,2.599,0.3484375
2,put,2018-10-23,27,2.2,0.031025,0.0033,0.0062,0.0024,0.0055,2.511,0.318125
3,put,2018-10-24,26,2.2,0.03105,0.0047,0.0066,0.0039,0.0059,2.525,0.3484375
4,put,2018-10-25,25,2.2,0.031075,0.0104,0.0133,0.0056,0.0068,2.531,0.36359375000000005
5,put,2018-10-26,24,2.2,0.03074,0.0056,0.0084,0.005,0.0066,2.516,0.3484375
6,put,2018-10-29,23,2.2,0.030899999999999997,0.0068,0.0129,0.0066,0.012,2.431,0.3484375
7,put,2018-10-30,22,2.2,0.030785,0.0128,0.0135,0.0071,0.0104,2.463,0.37875000000000003
8,put,2018-10-31,21,2.2,0.030950000000000002,0.0095,0.0109,0.0072,0.0081,2.496,0.37875000000000003
9,put,2018-11-01,20,2.2,0.03115,0.006999999999999999,0.0073,0.0048,0.0066,2.507,0.37875000000000003
10,put,2018-11-02,19,2.2,0.03125,0.0043,0.005,0.0031,0.0036,2.594,0.4090625
11,put,2018-11-05,18,2.2,0.0313,0.0037,0.0043,0.003,0.0034,2.558,0.37875000000000003
12,put,2018-11-06,17,2.2,0.031275,0.0035,0.0037,0.0027,0.0031,2.546,0.37875000000000003
13,put,2018-11-07,16,2.2,0.03145,0.0031,0.0032,0.0022,0.003,2.528,0.37875000000000003
14,put,2018-11-08,15,2.2,0.031421000000000004,0.0025,0.0029,0.0019,0.0023,2.537,0.37875000000000003
15,put,2018-11-09,14,2.2,0.031400000000000004,0.0023,0.0032,0.0022,0.0029,2.48,0.37875000000000003
16,put,2018-11-12,13,2.2,0.031200000000000002,0.003,0.0033,0.0018,0.002,2.49,0.37875000000000003
17,put,2018-11-13,12,2.2,0.0313,0.0026,0.0036,0.0011,0.0014,2.509,0.37875000000000003
18,put,2018-11-14,11,2.2,0.031,0.0014,0.0018,0.0012,0.0015,2.475,0.37875000000000003
19,put,2018-11-15,10,2.2,0.031,0.0016,0.0016,0.0009,0.001,2.505,0.2575
20,put,2018-11-16,9,2.2,0.031200000000000002,0.0009,0.001,0.0005,0.0007,2.507,0.2575
21,put,2018-11-19,8,2.2,0.0311,0.0007,0.0007,0.0003,0.0003,2.54,0.2575
22,put,2018-11-20,7,2.2,0.0313,0.0003,0.0006,0.0003,0.0003,2.498,0.2575
23,put,2018-11-21,6,2.2,0.0313,0.0006,0.0007,0.0003,0.0005,2.497,0.25633278784691893
24,put,2018-11-22,5,2.2,0.031349999999999996,0.0003,0.0004,0.0001,0.0003,2.483,0.25732546501068043
25,put,2018-11-23,4,2.2,0.03165,0.0003,0.0004,0.0002,0.0003,2.442,0.25673033337392814
26,put,2018-11-26,3,2.2,0.031400000000000004,0.0002,0.0003,0.0001,0.0001,2.45,0.2534070124956292
27,put,2018-11-27,2,2.2,0.03175,0.0001,0.0002,0.0001,0.0001,2.439,0.2540097647047393
28,put,2018-11-28,1,2.2,0.0318,0.0001,0.0001,0.0001,0.0001,2.466,0.2538133513109604
