,call_or_put,date,ptmtradeday,k,rate,open,high,low,close,s,iv
0,call,2015-08-26,138,1.85,0.031121,0.2511,0.3072,0.25,0.2696,1.946,0.44695312500000006
1,call,2015-08-27,137,1.85,0.030838,0.2871,0.33,0.2867,0.33,2.11,0.310546875
2,call,2015-08-28,136,1.85,0.030878000000000003,0.3581,0.3581,0.3581,0.3581,2.168,0.24234375000000002
3,call,2015-08-31,135,1.85,0.030910000000000003,0.3804,0.3804,0.34,0.3712,2.209,0.2375576281620183
4,call,2015-09-01,134,1.85,0.030938,0.3606,0.3669,0.3606,0.3653,2.228,0.2424087297103241
5,call,2015-09-02,133,1.85,0.031075,0.4229,0.4229,0.4214,0.4214,2.236,0.2575
6,call,2015-09-07,132,1.85,0.031018,0.4374,0.4391,0.3749,0.387,2.14,0.4090625
7,call,2015-09-08,131,1.85,0.031063,0.3913,0.4018,0.387,0.396,2.177,0.35222656250000006
8,call,2015-09-09,130,1.85,0.03104,0.4641,0.4765,0.3884,0.4327,2.209,0.386328125
9,call,2015-09-10,129,1.85,0.031386,0.42,0.42,0.42,0.42,2.206,0.35601562500000006
10,call,2015-09-11,128,1.85,0.031366,0.4366,0.4366,0.4108,0.4193,2.193,0.386328125
11,call,2015-09-14,127,1.85,0.031189,0.4303,0.4303,0.3945,0.4004,2.223,0.21203125
12,call,2015-09-15,126,1.85,0.031175,0.4006,0.4006,0.3658,0.3658,2.167,0.2878125
13,call,2015-09-16,125,1.85,0.031325,0.3966,0.4272,0.3966,0.4272,2.242,0.27265625000000004
14,call,2015-09-17,124,1.85,0.031559,0.4432,0.4432,0.415,0.415,2.198,0.37117187500000004
15,call,2015-09-18,123,1.85,0.031611,0.4248,0.4266,0.3992,0.3992,2.198,0.318125
16,call,2015-09-22,121,1.85,0.031733,0.4188,0.42,0.4,0.41,2.237,0.19687500000000002
17,call,2015-09-23,120,1.85,0.03195,0.3843,0.3948,0.384,0.3948,2.18,0.35980468750000005
18,call,2015-09-24,119,1.85,0.03195,0.3921,0.4,0.38,0.38,2.187,0.2878125
19,call,2015-09-25,118,1.85,0.031916,0.3652,0.3652,0.3652,0.3652,2.171,0.2878125
20,call,2015-09-28,117,1.85,0.031913,0.3701,0.3701,0.3701,0.3701,2.174,0.295390625
21,call,2015-09-29,116,1.85,0.031959,0.3511,0.3511,0.3056,0.3056,2.127,0.19687500000000002
22,call,2015-09-30,115,1.85,0.0319,0.3267,0.3267,0.3131,0.3229,2.147,0.19687500000000002
23,call,2015-10-08,114,1.85,0.031920000000000004,0.3722,0.3722,0.3722,0.3722,2.196,0.22718750000000001
24,call,2015-10-09,113,1.85,0.031997,0.3996,0.3996,0.388,0.38799999999999996,2.221,0.22830806764032924
25,call,2015-10-12,112,1.85,0.032046,0.4087,0.4653,0.403,0.4653,2.288,0.27265625000000004
26,call,2015-10-13,111,1.85,0.032132999999999995,0.4524,0.4524,0.4524,0.4524,2.279,0.24234375000000002
27,call,2015-10-14,110,1.85,0.032325,0.4512,0.4512,0.4512,0.4512,2.258,0.34085937499999996
28,call,2015-10-15,109,1.85,0.0322,0.4378,0.4378,0.4378,0.4378,2.304,0.3434798959241578
29,call,2015-10-16,108,1.85,0.032188,0.4866,0.4866,0.4654,0.4807,2.322,0.34389748909241713
30,call,2015-10-19,107,1.85,0.032126999999999996,0.4998,0.4998,0.453,0.4734,2.32,0.34022090116264087
31,call,2015-10-20,106,1.85,0.03225,0.4901,0.4901,0.4275,0.4516,2.341,0.34045928730259994
32,call,2015-10-21,105,1.85,0.032075,0.4753,0.4753,0.4302,0.4302,2.32,0.3381413716861317
33,call,2015-10-22,104,1.85,0.03195,0.4635,0.4635,0.4254,0.4472,2.333,0.33365805026093664
34,call,2015-10-23,103,1.85,0.031932999999999996,0.4789,0.4789,0.4495,0.456,2.35,0.33650704311558327
35,call,2015-10-26,102,1.85,0.030604,0.494,0.494,0.4695,0.474,2.35,0.33773399764084655
36,call,2015-10-27,101,1.85,0.030255999999999998,0.475,0.475,0.435,0.4665,2.348,0.3361741633760461
37,call,2015-10-28,100,1.85,0.030240999999999997,0.47,0.47,0.4361,0.4445,2.308,0.33343915287730647
38,call,2015-10-29,99,1.85,0.030527000000000002,0.4599,0.4599,0.4599,0.4599,2.311,0.33430549668284165
39,call,2015-10-30,98,1.85,0.030488,0.455,0.455,0.425,0.4515,2.31,0.33699084053104394
40,call,2015-11-02,97,1.85,0.03065,0.445,0.445,0.4331,0.4331,2.283,0.33570033478567657
41,call,2015-11-03,96,1.85,0.030673,0.442,0.442,0.412,0.41200000000000003,2.272,0.33584728091566285
42,call,2015-11-04,95,1.85,0.030875,0.4273,0.5,0.4209,0.5,2.386,0.3399617653776872
43,call,2015-11-05,94,1.85,0.030924999999999998,0.5099,0.56,0.4936,0.5539999999999999,2.445,0.3433387543486865
44,call,2015-11-06,93,1.85,0.030722,0.5644,0.6167,0.5573,0.6167,2.499,0.34207081199464706
45,call,2015-11-09,92,1.85,0.031,0.6272,0.6832,0.6272,0.67,2.532,0.339603801005014
46,call,2015-11-10,91,1.85,0.030983999999999998,0.668,0.698,0.6588,0.698,2.521,0.42421875
47,call,2015-11-11,90,1.85,0.031002000000000002,0.6935,0.6969,0.6498,0.6679999999999999,2.504,0.2575
48,call,2015-11-12,89,1.85,0.031096,0.6717,0.6732,0.637,0.637,2.47,0.318125
49,call,2015-11-13,88,1.85,0.030909,0.6352,0.6352,0.6113,0.6135,2.444,0.33328125
50,call,2015-11-16,87,1.85,0.031057,0.589,0.6052,0.589,0.6052,2.449,0.334597957551584
51,call,2015-11-17,86,1.85,0.030962999999999997,0.6462,0.6462,0.6029,0.6029,2.45,0.3391849993249773
52,call,2015-11-18,85,1.85,0.030950000000000002,0.5917,0.5948,0.5761,0.59,2.438,0.34271835034416775
53,call,2015-11-19,84,1.85,0.03093,0.5838,0.6101,0.5765,0.6101,2.471,0.34184918167969686
54,call,2015-11-20,83,1.85,0.030640999999999998,0.5964,0.5968,0.5964,0.5967,2.459,0.338573481464553
55,call,2015-11-23,82,1.85,0.030721,0.59,0.598,0.5594,0.5594,2.45,0.33812717569561695
56,call,2015-11-24,81,1.85,0.030692,0.5775,0.5775,0.5391,0.5572,2.444,0.33897166835076814
57,call,2015-11-25,80,1.85,0.030692,0.5684,0.576,0.5532,0.5760000000000001,2.454,0.3346430202434268
58,call,2015-11-26,79,1.85,0.030752,0.58,0.5976,0.5729,0.5801,2.447,0.33331077783516017
59,call,2015-11-27,78,1.85,0.030763,0.5706,0.5706,0.4687,0.4858,2.318,0.30296875
60,call,2015-11-30,77,1.85,0.030716,0.4813,0.4945,0.4566,0.4945,2.329,0.2878125
61,call,2015-12-01,76,1.85,0.030625,0.4816,0.5109,0.4782,0.5109,2.339,0.3484375
62,call,2015-12-02,75,1.85,0.030546000000000004,0.5026,0.5935,0.4977,0.5881,2.462,0.3485120505675522
63,call,2015-12-03,74,1.85,0.030341,0.587,0.6008,0.5743,0.5877,2.46,0.35268470423431914
64,call,2015-12-04,73,1.85,0.030112999999999997,0.5844,0.5844,0.5343,0.5425,2.398,0.35328895289335005
65,call,2015-12-07,72,1.85,0.030125000000000002,0.5405,0.5498,0.526,0.5317,2.39,0.34876205217921885
66,call,2015-12-08,71,1.85,0.030125000000000002,0.5225,0.5225,0.4834,0.4834,2.366,0.35246613005391664
67,call,2015-12-09,70,1.85,0.030074999999999998,0.5036,0.5216,0.4896,0.5031,2.369,0.34901485343292754
68,call,2015-12-10,69,1.85,0.030125000000000002,0.5014,0.5319,0.4899,0.4958,2.355,0.3449745099135431
69,call,2015-12-11,68,1.85,0.030125000000000002,0.4837,0.5183,0.4794,0.502,2.344,0.34718922059923735
70,call,2015-12-14,67,1.85,0.030025,0.4916,0.5539,0.4904,0.5539,2.415,0.3501630856098433
71,call,2015-12-15,66,1.85,0.030038,0.543,0.551,0.5233,0.5274,2.382,0.3540477670766272
72,call,2015-12-16,65,1.85,0.03,0.5297,0.5389,0.5153,0.516,2.372,0.34915745546012544
73,call,2015-12-17,64,1.85,0.03005,0.5305,0.5707,0.5305,0.5391,2.401,0.3448533603001775
74,call,2015-12-18,63,1.85,0.029988,0.5441,0.5791,0.5441,0.5515,2.422,0.34777316397767505
75,call,2015-12-21,62,1.85,0.029925,0.5536,0.6119,0.5536,0.6119,2.499,0.352504501306302
76,call,2015-12-22,61,1.85,0.029934,0.614,0.614,0.5962,0.6009,2.49,0.34943013265276246
77,call,2015-12-23,60,1.85,0.030009,0.6157,0.6421,0.6148,0.6161,2.499,0.3453882862427388
78,call,2015-12-24,59,1.85,0.029959,0.6062,0.6138,0.5911,0.608,2.478,0.34937758186235474
79,call,2015-12-25,58,1.85,0.03,0.61,0.61,0.6,0.6079,2.486,0.34713546825861785
80,call,2015-12-28,57,1.85,0.030013,0.6072,0.6072,0.5494,0.5494,2.412,0.3433574423898821
81,call,2015-12-29,56,1.85,0.030063,0.5593,0.5622,0.5489,0.562,2.432,0.3391132567636852
82,call,2015-12-30,55,1.85,0.03005,0.5562,0.5567,0.535,0.5443,2.424,0.3393595780139918
83,call,2015-12-31,54,1.85,0.030137999999999998,0.5581,0.5581,0.5369,0.5431,2.416,0.33614684883134766
84,call,2016-01-04,53,1.85,0.030299999999999997,0.54,0.54,0.4442,0.44799999999999995,2.278,0.4090625
85,call,2016-01-05,52,1.85,0.030421,0.4086,0.4423,0.3705,0.4237,2.286,0.40430047332257707
86,call,2016-01-06,51,1.85,0.030363,0.4246,0.4357,0.4035,0.4224,2.317,0.40915852755639065
87,call,2016-01-07,50,1.85,0.030237,0.4329,0.4329,0.3553,0.3558,2.177,0.4090625
88,call,2016-01-08,49,1.85,0.03,0.3595,0.3762,0.3042,0.3542,2.219,0.40430280157051474
89,call,2016-01-11,48,1.85,0.02997,0.3351,0.3386,0.28,0.28,2.125,0.40819482720856193
90,call,2016-01-12,47,1.85,0.029775,0.2927,0.3195,0.2846,0.295,2.131,0.2878125
91,call,2016-01-13,46,1.85,0.029436,0.3162,0.321,0.2795,0.2809,2.112,0.318125
92,call,2016-01-14,45,1.85,0.029279000000000003,0.2652,0.3013,0.25,0.3013,2.131,0.3484375
93,call,2016-01-15,44,1.85,0.029283,0.2862,0.2957,0.2301,0.2301,2.07,0.21203125
94,call,2016-01-18,43,1.85,0.029249999999999998,0.2208,0.2595,0.2208,0.2377,2.07,0.2878125
95,call,2016-01-19,42,1.85,0.029195000000000002,0.235,0.279,0.2285,0.2653,2.13,0.2922515842475992
96,call,2016-01-20,41,1.85,0.028852000000000003,0.2639,0.2642,0.2234,0.2339,2.091,0.28758647083447064
97,call,2016-01-21,40,1.85,0.028849999999999997,0.0532,0.2485,0.0532,0.1872,2.043,0.2878299581316583
98,call,2016-01-22,39,1.85,0.029056000000000002,0.217,0.2211,0.1888,0.2131,2.067,0.28497918034147923
99,call,2016-01-25,38,1.85,0.029257,0.2133,0.2227,0.2001,0.2066,2.065,0.28841723110071676
100,call,2016-01-26,37,1.85,0.029363,0.2035,0.2035,0.137,0.1385,1.958,0.27265625000000004
101,call,2016-01-27,36,1.85,0.030063,0.141,0.1528,0.1189,0.1431,1.957,0.310546875
102,call,2016-01-28,35,1.85,0.030071,0.1414,0.1503,0.1283,0.1288,1.915,0.386328125
103,call,2016-01-29,34,1.85,0.029859,0.1265,0.1684,0.1265,0.1597,1.975,0.33328125
104,call,2016-02-01,33,1.85,0.02981,0.1643,0.1665,0.1276,0.1376,1.942,0.3484375
105,call,2016-02-02,32,1.85,0.029845999999999998,0.1449,0.1654,0.1442,0.1532,1.975,0.310546875
106,call,2016-02-03,31,1.85,0.029896,0.1475,0.1475,0.1298,0.1392,1.953,0.33328125
107,call,2016-02-04,30,1.85,0.029750000000000002,0.1438,0.1607,0.139,0.1508,1.978,0.2878125
108,call,2016-02-05,29,1.85,0.029679,0.1516,0.1519,0.1424,0.1424,1.968,0.295390625
109,call,2016-02-15,28,1.85,0.029559000000000002,0.135,0.136,0.1163,0.1221,1.949,0.27265625000000004
110,call,2016-02-16,27,1.85,0.029588,0.1255,0.161,0.1255,0.1578,2.001,0.19687500000000002
111,call,2016-02-17,26,1.85,0.029559000000000002,0.1586,0.17,0.1514,0.1635,2.013,0.19921455542096475
112,call,2016-02-18,25,1.85,0.029508999999999997,0.1645,0.1795,0.1558,0.1585,2.011,0.19961047170077517
113,call,2016-02-19,24,1.85,0.029179,0.16,0.163,0.1495,0.1558,2.006,0.1957630595322107
114,call,2016-02-22,23,1.85,0.029088,0.168,0.1946,0.1614,0.1849,2.054,0.19743410138225162
115,call,2016-02-23,22,1.85,0.028999999999999998,0.1965,0.1965,0.1602,0.1736,2.03,0.20063424200066912
116,call,2016-02-24,21,1.85,0.029037999999999998,0.1744,0.1839,0.1555,0.1766,2.039,0.19578357611203304
117,call,2016-02-25,20,1.85,0.02904,0.1819,0.1819,0.0946,0.1097,1.936,0.30296875
118,call,2016-02-26,19,1.85,0.02895,0.1137,0.1266,0.103,0.1159,1.956,0.22718750000000001
119,call,2016-02-29,18,1.85,0.028913,0.1123,0.1147,0.0758,0.0975,1.937,0.21203125
120,call,2016-03-01,17,1.85,0.02891,0.1008,0.1358,0.0924,0.1213,1.971,0.2077228300701666
121,call,2016-03-02,16,1.85,0.028650000000000002,0.1282,0.1919,0.1281,0.1869,2.049,0.20567451698577782
122,call,2016-03-03,15,1.85,0.028575,0.1924,0.2039,0.1829,0.1931,2.053,0.2089411932483733
123,call,2016-03-04,14,1.85,0.028567,0.1933,0.2508,0.1874,0.25,2.122,0.21257094782657385
124,call,2016-03-07,13,1.85,0.028475,0.2554,0.2841,0.244,0.253,2.111,0.21661175251975254
125,call,2016-03-08,12,1.85,0.028411,0.2511,0.2538,0.1928,0.2538,2.115,0.2122581641728978
126,call,2016-03-09,11,1.85,0.028388,0.245,0.245,0.2067,0.2319,2.107,0.2151605977925663
127,call,2016-03-10,10,1.85,0.028062999999999998,0.2303,0.2495,0.2091,0.2108,2.059,0.2575
128,call,2016-03-11,9,1.85,0.028079999999999997,0.1963,0.2161,0.1888,0.2059,2.066,0.25629495056979124
129,call,2016-03-14,8,1.85,0.028010999999999998,0.2195,0.2692,0.2195,0.2247,2.076,0.2584152440168653
130,call,2016-03-15,7,1.85,0.028037999999999997,0.2249,0.233,0.203,0.2322,2.098,0.2560147666559112
131,call,2016-03-16,6,1.85,0.028050000000000002,0.2356,0.2625,0.228,0.249,2.135,0.2538037244235134
132,call,2016-03-17,5,1.85,0.027212999999999998,0.2588,0.3,0.255,0.2749,2.132,0.24883616788377633
133,call,2016-03-18,4,1.85,0.027359,0.2905,0.3098,0.2779,0.2879,2.14,0.24957570725749034
