,call_or_put,date,ptmtradeday,k,rate,open,high,low,close,s,iv
0,put,2019-04-02,33,3.1,0.0285,0.2557,0.2653,0.2552,0.2589,2.872,0.325703125
1,put,2019-04-03,32,3.1,0.02834,0.2679,0.2876,0.2324,0.2377,2.901,0.33328125
2,put,2019-04-04,31,3.1,0.028300000000000002,0.2345,0.2432,0.2153,0.222,2.939,0.37496093750000004
3,put,2019-04-08,30,3.1,0.02835,0.215,0.2281,0.1782,0.2142,2.943,0.36359375000000005
4,put,2019-04-09,29,3.1,0.0286,0.2148,0.2161,0.1933,0.2039,2.949,0.3484375
5,put,2019-04-10,28,3.1,0.029300000000000003,0.2112,0.22,0.1853,0.1999,2.964,0.37117187500000004
6,put,2019-04-11,27,3.1,0.02875,0.1993,0.2412,0.1815,0.2324,2.912,0.37117187500000004
7,put,2019-04-12,26,3.1,0.02875,0.23,0.2383,0.2188,0.2236,2.906,0.325703125
8,put,2019-04-15,25,3.1,0.029300000000000003,0.196,0.226,0.1675,0.2224,2.906,0.325703125
9,put,2019-04-16,24,3.1,0.0298,0.2319,0.2319,0.1479,0.1486,3.008,0.318125
10,put,2019-04-17,23,3.1,0.029981,0.1515,0.1696,0.1427,0.1589,2.997,0.34085937499999996
11,put,2019-04-18,22,3.1,0.029875,0.1568,0.1711,0.1568,0.1653,2.987,0.3484375
12,put,2019-04-19,21,3.1,0.029571999999999998,0.1667,0.1785,0.1304,0.1394,3.024,0.34085937499999996
13,put,2019-04-22,20,3.1,0.0298,0.131,0.1953,0.1282,0.1815,2.958,0.3484375
14,put,2019-04-23,19,3.1,0.030275,0.1848,0.1877,0.1508,0.17,2.963,0.318125
15,put,2019-04-24,18,3.1,0.030699999999999998,0.1594,0.21,0.153,0.1719,2.958,0.318125
16,put,2019-04-25,17,3.1,0.0308,0.18,0.2023,0.1699,0.2012,2.913,0.30296875
17,put,2019-04-26,16,3.1,0.03105,0.2061,0.2298,0.1962,0.228,2.88,0.30296875
18,put,2019-04-29,15,3.1,0.030899999999999997,0.2201,0.2202,0.1652,0.1891,2.921,0.2878125
19,put,2019-04-30,14,3.1,0.03055,0.1891,0.2063,0.1769,0.1848,2.928,0.30296875
20,put,2019-05-06,13,3.1,0.0298,0.245,0.3446,0.2437,0.3149,2.787,0.3484375
21,put,2019-05-07,12,3.1,0.0298,0.3002,0.3349,0.2804,0.303,2.79,0.3464861551565779
22,put,2019-05-08,11,3.1,0.029251999999999997,0.3475,0.38,0.3177,0.3535,2.745,0.318125
23,put,2019-05-09,10,3.1,0.02955,0.3681,0.4299,0.3413,0.4141,2.686,0.439375
24,put,2019-05-10,9,3.1,0.029425,0.375,0.4257,0.3176,0.3294,2.777,0.4388395752660414
25,put,2019-05-13,8,3.1,0.029449999999999997,0.359,0.3799,0.3487,0.3768,2.725,0.43967496964812414
26,put,2019-05-14,7,3.1,0.02965,0.39299999999999996,0.3953,0.3481,0.3896,2.708,0.2575
27,put,2019-05-15,6,3.1,0.02955,0.3745,0.3778,0.3201,0.3342,2.765,0.2575
28,put,2019-05-16,5,3.1,0.029500000000000002,0.3472,0.3494,0.3232,0.3269,2.774,0.2551513116225536
29,put,2019-05-17,4,3.1,0.029474999999999998,0.321,0.382,0.29,0.377,2.723,0.2563169459942019
30,put,2019-05-20,3,3.1,0.0296,0.3707,0.4144,0.3628,0.3998,2.699,0.2579200477182415
31,put,2019-05-21,2,3.1,0.029875,0.3977,0.3995,0.3531,0.3803,2.722,0.924375
32,put,2019-05-22,1,3.1,0.02995,0.3691,0.4057,0.1041,0.3943,2.709,0.922807882689635
