,call_or_put,date,ptmtradeday,k,rate,open,high,low,close,s,iv
0,call,2019-04-02,57,3.1,0.0285,0.0875,0.0924,0.077,0.0858,2.872,0.36738281250000004
1,call,2019-04-03,56,3.1,0.02834,0.0781,0.094,0.0768,0.0928,2.901,0.36359375000000005
2,call,2019-04-04,55,3.1,0.028300000000000002,0.0906,0.1182,0.0906,0.1149,2.939,0.386328125
3,call,2019-04-08,54,3.1,0.02835,0.1194,0.1364,0.1041,0.1144,2.943,0.3825390625
4,call,2019-04-09,53,3.1,0.0286,0.1144,0.1182,0.1005,0.107,2.949,0.36359375000000005
5,call,2019-04-10,52,3.1,0.029300000000000003,0.1051,0.1236,0.09699999999999999,0.1143,2.964,0.37117187500000004
6,call,2019-04-11,51,3.1,0.02875,0.1195,0.1221,0.0876,0.0921,2.912,0.37117187500000004
7,call,2019-04-12,50,3.1,0.02875,0.0864,0.0947,0.0763,0.0826,2.906,0.35601562500000006
8,call,2019-04-15,49,3.1,0.029300000000000003,0.0965,0.1145,0.0784,0.0792,2.906,0.3484375
9,call,2019-04-16,48,3.1,0.0298,0.0788,0.1188,0.0701,0.1188,3.008,0.35222656250000006
10,call,2019-04-17,47,3.1,0.029981,0.11599999999999999,0.1279,0.1086,0.1152,2.997,0.35980468750000005
11,call,2019-04-18,46,3.1,0.029875,0.1133,0.1193,0.1074,0.1076,2.987,0.35601562500000006
12,call,2019-04-19,45,3.1,0.029571999999999998,0.1112,0.13,0.1023,0.1195,3.024,0.3484375
13,call,2019-04-22,44,3.1,0.0298,0.122,0.1294,0.0886,0.0951,2.958,0.36359375000000005
14,call,2019-04-23,43,3.1,0.030275,0.0917,0.1018,0.0872,0.0891,2.963,0.3484375
15,call,2019-04-24,42,3.1,0.030699999999999998,0.092,0.0965,0.0705,0.0835,2.958,0.34085937499999996
16,call,2019-04-25,41,3.1,0.0308,0.0802,0.0825,0.068,0.0695,2.913,0.3484375
17,call,2019-04-26,40,3.1,0.03105,0.0686,0.0691,0.0543,0.0557,2.88,0.34085937499999996
18,call,2019-04-29,39,3.1,0.030899999999999997,0.055999999999999994,0.0701,0.0536,0.0606,2.921,0.325703125
19,call,2019-04-30,38,3.1,0.03055,0.0588,0.0646,0.057,0.0619,2.928,0.325703125
20,call,2019-05-06,37,3.1,0.0298,0.0302,0.049,0.0302,0.0317,2.787,0.3484375
21,call,2019-05-07,36,3.1,0.0298,0.0348,0.039,0.0202,0.023,2.79,0.318125
22,call,2019-05-08,35,3.1,0.029251999999999997,0.019,0.0228,0.0171,0.0199,2.745,0.34085937499999996
23,call,2019-05-09,34,3.1,0.02955,0.0186,0.0194,0.0153,0.0153,2.686,0.36359375000000005
24,call,2019-05-10,33,3.1,0.029425,0.0187,0.0243,0.0153,0.0223,2.777,0.34085937499999996
25,call,2019-05-13,32,3.1,0.029449999999999997,0.0199,0.0205,0.013999999999999999,0.013999999999999999,2.725,0.33328125
26,call,2019-05-14,31,3.1,0.02965,0.012,0.017,0.0103,0.0109,2.708,0.33328125
27,call,2019-05-15,30,3.1,0.02955,0.0119,0.0151,0.0093,0.012,2.765,0.30296875
28,call,2019-05-16,29,3.1,0.029500000000000002,0.0101,0.012,0.0101,0.0112,2.774,0.30296875
