,call_or_put,date,ptmtradeday,k,rate,open,high,low,close,s,iv
0,put,2017-12-01,19,2.75,0.045862999999999994,0.0173,0.0239,0.0157,0.0231,2.838,0.22718750000000001
1,put,2017-12-04,18,2.75,0.046950000000000006,0.0248,0.0278,0.0121,0.0124,2.858,0.19687500000000002
2,put,2017-12-05,17,2.75,0.046502,0.013000000000000001,0.0145,0.0043,0.0054,2.908,0.19687500000000002
3,put,2017-12-06,16,2.75,0.047,0.0054,0.0159,0.0049,0.0087,2.871,0.19687500000000002
4,put,2017-12-07,15,2.75,0.047,0.0094,0.0151,0.0075,0.0115,2.844,0.19687500000000002
5,put,2017-12-08,14,2.75,0.046658,0.0111,0.0133,0.0044,0.0053,2.865,0.18171875
6,put,2017-12-11,13,2.75,0.047094,0.0057,0.0061,0.0022,0.0023,2.898,0.1665625
7,put,2017-12-12,12,2.75,0.047031,0.0018,0.0051,0.0018,0.0049,2.846,0.1665625
8,put,2017-12-13,11,2.75,0.047295,0.0049,0.006999999999999999,0.0023,0.0029,2.87,0.1665625
9,put,2017-12-14,10,2.75,0.047018000000000004,0.0026,0.005,0.0026,0.0034,2.85,0.1665625
10,put,2017-12-15,9,2.75,0.0478,0.003,0.0077,0.003,0.0059,2.816,0.1665625
11,put,2017-12-18,8,2.75,0.04775,0.0061,0.0062,0.0026,0.0034,2.828,0.1665625
12,put,2017-12-19,7,2.75,0.04775,0.0036,0.0036,0.001,0.0011,2.87,0.13625
13,put,2017-12-20,6,2.75,0.04729,0.001,0.0016,0.0007,0.0007,2.876,0.13625
14,put,2017-12-21,5,2.75,0.047706,0.0007,0.0009,0.0005,0.0005,2.893,0.13625
15,put,2017-12-22,4,2.75,0.0483,0.0005,0.0007,0.0002,0.0004,2.878,0.2575
16,put,2017-12-25,3,2.75,0.0478,0.0003,0.0007,0.0002,0.0003,2.876,0.2575
17,put,2017-12-26,2,2.75,0.048150000000000005,0.0002,0.0003,0.0001,0.0001,2.893,0.2575
18,put,2017-12-27,1,2.75,0.0484,0.0002,0.0002,0.0001,0.0001,2.834,0.2575
