,call_or_put,date,ptmtradeday,k,rate,open,high,low,close,s,iv
0,put,2015-06-29,43,2.65,0.032233,0.1573,0.2869,0.0705,0.2183,2.66,0.6288281250000001
1,put,2015-06-30,42,2.65,0.031754,0.2094,0.248,0.1511,0.1511,2.851,0.6515625
2,put,2015-07-01,41,2.65,0.032038000000000004,0.1563,0.2017,0.1563,0.1886,2.728,0.643984375
3,put,2015-07-02,40,2.65,0.032646,0.1762,0.2477,0.1751,0.2188,2.684,0.681875
4,put,2015-07-03,39,2.65,0.032096,0.2177,0.2975,0.2128,0.265,2.579,0.6856640625
5,put,2015-07-06,38,2.65,0.03223,0.1559,0.225,0.0075,0.2021,2.742,0.719765625
6,put,2015-07-07,37,2.65,0.031941000000000004,0.2162,0.2265,0.1582,0.1582,2.79,0.6515625
7,put,2015-07-08,36,2.65,0.031659,0.2398,0.3047,0.0814,0.2553,2.604,0.719765625
8,put,2015-07-09,35,2.65,0.032157,0.297,0.3086,0.15,0.1603,2.792,0.681875
9,put,2015-07-10,34,2.65,0.032238,0.1744,0.1744,0.1037,0.1186,2.905,0.674296875
10,put,2015-07-13,33,2.65,0.0322,0.1322,0.142,0.1076,0.1279,2.862,0.66671875
11,put,2015-07-14,32,2.65,0.032623,0.1385,0.1689,0.1311,0.1427,2.762,0.6174609375
12,put,2015-07-15,31,2.65,0.032549999999999996,0.1556,0.161,0.1402,0.1437,2.749,0.6136718749999999
13,put,2015-07-16,30,2.65,0.031846,0.149,0.1639,0.1224,0.1275,2.74,0.5606249999999999
14,put,2015-07-17,29,2.65,0.032184,0.1252,0.1252,0.0301,0.09,2.803,0.51515625
15,put,2015-07-20,28,2.65,0.031859,0.08800000000000001,0.1169,0.0851,0.1089,2.777,0.5606249999999999
16,put,2015-07-21,27,2.65,0.031854,0.1129,0.1235,0.0962,0.1119,2.768,0.5682031249999999
17,put,2015-07-22,26,2.65,0.032170000000000004,0.115,0.1247,0.1014,0.1079,2.737,0.522734375
18,put,2015-07-23,25,2.65,0.0322,0.1045,0.1045,0.0581,0.0617,2.794,0.43179687499999997
19,put,2015-07-24,24,2.65,0.032092999999999997,0.0591,0.0847,0.0591,0.08,2.745,0.44695312500000006
20,put,2015-07-27,23,2.65,0.032136,0.0858,0.2196,0.0582,0.2118,2.494,0.477265625
21,put,2015-07-28,22,2.65,0.032171,0.2439,0.2813,0.2023,0.2325,2.484,0.54546875
22,put,2015-07-29,21,2.65,0.031886,0.2207,0.2634,0.1924,0.2001,2.534,0.5530468749999999
23,put,2015-07-30,20,2.65,0.032,0.2161,0.28300000000000003,0.2084,0.282,2.469,0.7576562499999999
24,put,2015-07-31,19,2.65,0.032066,0.2786,0.2851,0.2252,0.2689,2.462,0.69703125
25,put,2015-08-03,18,2.65,0.031938,0.2868,0.294,0.26,0.26,2.478,0.7121875
26,put,2015-08-04,17,2.65,0.031875,0.2482,0.2482,0.166,0.166,2.54,0.46968750000000004
27,put,2015-08-05,16,2.65,0.031625,0.1781,0.2265,0.1781,0.2233,2.491,0.6136718749999999
28,put,2015-08-06,15,2.65,0.031525,0.2344,0.2494,0.1918,0.225,2.471,0.5606249999999999
29,put,2015-08-07,14,2.65,0.031525,0.2167,0.2167,0.1085,0.1779,2.504,0.439375
30,put,2015-08-10,13,2.65,0.0315,0.1716,0.1798,0.0903,0.1034,2.616,0.439375
31,put,2015-08-11,12,2.65,0.031609,0.0993,0.1243,0.0979,0.1161,2.59,0.44695312500000006
32,put,2015-08-12,11,2.65,0.031497000000000004,0.1284,0.1299,0.1056,0.1232,2.564,0.4090625
33,put,2015-08-13,10,2.65,0.031265999999999995,0.13,0.1524,0.11,0.124,2.576,0.48484375
34,put,2015-08-14,9,2.65,0.031337000000000004,0.1172,0.1331,0.11199999999999999,0.1248,2.575,0.51515625
35,put,2015-08-17,8,2.65,0.031344,0.1309,0.1861,0.1263,0.1644,2.548,0.69703125
36,put,2015-08-18,7,2.65,0.031423,0.1628,0.3988,0.1358,0.318,2.41,0.7019088217151126
37,put,2015-08-19,6,2.65,0.031425,0.306,0.3238,0.2391,0.2558,2.427,0.86375
38,put,2015-08-20,5,2.65,0.031438,0.2695,0.2976,0.258,0.2906,2.361,0.5606249999999999
39,put,2015-08-21,4,2.65,0.031403,0.2912,0.39399999999999996,0.2886,0.39,2.274,0.5650232376464975
40,put,2015-08-24,3,2.65,0.03137,0.436,0.6174,0.436,0.61,2.047,0.568672519653143
41,put,2015-08-25,2,2.65,0.03149,0.6976,0.7898,0.6102,0.7898,1.886,0.5680967095225965
42,put,2015-08-26,1,2.65,0.031121,0.75,0.8017,0.6626,0.7415,1.946,0.5652682607113135
