,call_or_put,date,ptmtradeday,k,rate,open,high,low,close,s,iv
0,put,2018-12-03,76,2.6,0.03145,0.1878,0.1878,0.1577,0.1715,2.482,0.24613281250000002
1,put,2018-12-04,75,2.6,0.031313,0.1728,0.1728,0.1538,0.1572,2.49,0.22718750000000001
2,put,2018-12-05,74,2.6,0.0313,0.1701,0.1701,0.1559,0.1615,2.479,0.219609375
3,put,2018-12-06,73,2.6,0.031375,0.1736,0.1895,0.1736,0.1895,2.433,0.21203125
4,put,2018-12-07,72,2.6,0.031400000000000004,0.1861,0.1872,0.1822,0.1863,2.425,0.18929687500000003
5,put,2018-12-10,71,2.6,0.03115,0.1936,0.2035,0.1901,0.201,2.408,0.19687500000000002
6,put,2018-12-11,70,2.6,0.031,0.196,0.2012,0.1939,0.1974,2.413,0.19687500000000002
7,put,2018-12-12,69,2.6,0.031875,0.1872,0.1944,0.1867,0.19,2.419,0.18929687500000003
8,put,2018-12-13,68,2.6,0.03225,0.1774,0.1894,0.1603,0.1691,2.453,0.204453125
9,put,2018-12-14,67,2.6,0.031563,0.1715,0.1876,0.1713,0.1876,2.423,0.19308593750000003
10,put,2018-12-17,66,2.6,0.032025,0.185,0.1953,0.183,0.187,2.42,0.18171875
11,put,2018-12-18,65,2.6,0.0325,0.1916,0.2125,0.1866,0.2113,2.391,0.18929687500000003
12,put,2018-12-19,64,2.6,0.0321,0.2094,0.2343,0.207,0.2315,2.365,0.18171875
13,put,2018-12-20,63,2.6,0.03185,0.2306,0.2809,0.2306,0.2689,2.331,0.219609375
14,put,2018-12-21,62,2.6,0.03195,0.2758,0.309,0.2758,0.2976,2.302,0.23476562500000003
15,put,2018-12-24,61,2.6,0.031834,0.3054,0.307,0.2884,0.2892,2.304,0.19687500000000002
16,put,2018-12-25,60,2.6,0.032400000000000005,0.2961,0.3421,0.2935,0.3028,2.292,0.219609375
17,put,2018-12-26,59,2.6,0.03275,0.3017,0.3197,0.2998,0.3096,2.275,0.21960958957880128
18,put,2018-12-27,58,2.6,0.032418,0.2891,0.3198,0.2891,0.3135,2.275,0.1665625
19,put,2018-12-28,57,2.6,0.032008999999999996,0.309,0.3126,0.2909,0.3107,2.286,0.23476562500000003
20,put,2019-01-02,56,2.6,0.031388,0.2984,0.3405,0.2984,0.33399999999999996,2.255,0.1665625
21,put,2019-01-03,55,2.6,0.030962999999999997,0.3301,0.3337,0.3074,0.3294,2.261,0.19687500000000002
22,put,2019-01-04,54,2.6,0.031088,0.3351,0.3368,0.2843,0.2847,2.31,0.21203125
23,put,2019-01-07,53,2.6,0.030789,0.2849,0.2929,0.2735,0.287,2.307,0.19687500000000002
24,put,2019-01-08,52,2.6,0.030074999999999998,0.2893,0.297,0.28800000000000003,0.2902,2.3,0.13625
25,put,2019-01-09,51,2.6,0.0301,0.2713,0.2742,0.2468,0.2695,2.325,0.19687500000000002
26,put,2019-01-10,50,2.6,0.0302,0.2726,0.276,0.2562,0.2656,2.328,0.18171875
27,put,2019-01-11,49,2.6,0.030038,0.2575,0.2628,0.2415,0.2507,2.347,0.204453125
28,put,2019-01-14,48,2.6,0.029900000000000003,0.2501,0.2639,0.2501,0.2639,2.325,0.075625
29,put,2019-01-15,47,2.6,0.029722,0.2597,0.2602,0.2288,0.2289,2.37,0.19687500000000002
30,put,2019-01-16,46,2.6,0.028999999999999998,0.2288,0.2361,0.2214,0.2247,2.374,0.19687500000000002
31,put,2019-01-17,45,2.6,0.029449999999999997,0.2234,0.2357,0.2106,0.2333,2.365,0.19687500000000002
32,put,2019-01-18,44,2.6,0.029115000000000002,0.2276,0.2276,0.1957,0.2008,2.409,0.22718750000000001
33,put,2019-01-21,43,2.6,0.028999999999999998,0.2004,0.2004,0.1811,0.1891,2.424,0.22718750000000001
34,put,2019-01-22,42,2.6,0.0294,0.1879,0.212,0.1879,0.2085,2.396,0.21203125
35,put,2019-01-23,41,2.6,0.029474999999999998,0.2071,0.2158,0.1982,0.213,2.392,0.22718750000000001
36,put,2019-01-24,40,2.6,0.029425,0.20199999999999999,0.2185,0.1935,0.1979,2.403,0.19687500000000002
37,put,2019-01-25,39,2.6,0.029300000000000003,0.1907,0.1907,0.1632,0.1726,2.433,0.19687500000000002
38,put,2019-01-28,38,2.6,0.028999999999999998,0.1647,0.1836,0.1474,0.1759,2.43,0.19687500000000002
39,put,2019-01-29,37,2.6,0.029018000000000002,0.1862,0.1871,0.1611,0.1636,2.448,0.21203125
40,put,2019-01-30,36,2.6,0.029025,0.1697,0.1749,0.161,0.1732,2.437,0.219609375
41,put,2019-01-31,35,2.6,0.02924,0.1671,0.1672,0.145,0.1457,2.474,0.22718750000000001
42,put,2019-02-01,34,2.6,0.02905,0.1367,0.1483,0.1326,0.1344,2.492,0.23476562500000003
43,put,2019-02-11,33,2.6,0.0291,0.1351,0.1412,0.1098,0.1145,2.516,0.22718750000000001
44,put,2019-02-12,32,2.6,0.028900000000000002,0.1105,0.1148,0.1015,0.1039,2.524,0.21203125
45,put,2019-02-13,31,2.6,0.028624999999999998,0.1017,0.1066,0.0737,0.0802,2.571,0.22718750000000001
46,put,2019-02-14,30,2.6,0.0285,0.0813,0.0873,0.0767,0.0835,2.567,0.23476562500000003
47,put,2019-02-15,29,2.6,0.0282,0.0866,0.1176,0.0854,0.114,2.511,0.219609375
48,put,2019-02-18,28,2.6,0.028292,0.1058,0.1058,0.08,0.0814,2.571,0.24234375000000002
49,put,2019-02-19,27,2.6,0.028300000000000002,0.081,0.0914,0.067,0.0863,2.567,0.2575
50,put,2019-02-20,26,2.6,0.027999999999999997,0.0804,0.0907,0.076,0.0835,2.577,0.27265625000000004
51,put,2019-02-21,25,2.6,0.0281,0.0849,0.0912,0.0666,0.0859,2.566,0.26507812500000005
52,put,2019-02-22,24,2.6,0.0281,0.0873,0.0944,0.0579,0.0588,2.618,0.2575
