,call_or_put,date,ptmtradeday,k,rate,open,high,low,close,s,iv
0,call,2016-07-28,157,2.3,0.028471000000000003,0.0849,0.086,0.0793,0.0803,2.211,0.18550781250000004
1,call,2016-07-29,156,2.3,0.028419,0.0798,0.0807,0.0723,0.0723,2.201,0.1779296875
2,call,2016-08-01,155,2.3,0.028538,0.0701,0.0888,0.0669,0.0669,2.19,0.1779296875
3,call,2016-08-02,154,2.3,0.028434,0.0661,0.0695,0.0641,0.0668,2.19,0.1779296875
4,call,2016-08-03,153,2.3,0.028458999999999998,0.0651,0.0651,0.0624,0.0646,2.188,0.1779296875
5,call,2016-08-04,152,2.3,0.028328000000000002,0.0649,0.0679,0.06,0.0652,2.186,0.1779296875
6,call,2016-08-05,151,2.3,0.028244,0.066,0.0697,0.0645,0.0664,2.195,0.174140625
7,call,2016-08-08,150,2.3,0.0282,0.065,0.068,0.0624,0.068,2.204,0.174140625
8,call,2016-08-09,149,2.3,0.028169,0.0679,0.0703,0.0672,0.0677,2.221,0.158984375
9,call,2016-08-10,148,2.3,0.028075000000000003,0.069,0.069,0.0618,0.0629,2.216,0.15519531250000002
10,call,2016-08-11,147,2.3,0.027978,0.0635,0.0776,0.0635,0.0661,2.223,0.15708984375
11,call,2016-08-12,146,2.3,0.028037999999999997,0.0665,0.083,0.0654,0.0826,2.272,0.14761718750000002
12,call,2016-08-15,145,2.3,0.02791,0.0826,0.1474,0.0799,0.1391,2.336,0.18171875
13,call,2016-08-16,144,2.3,0.02785,0.1394,0.1496,0.1201,0.1201,2.306,0.18171875
14,call,2016-08-17,143,2.3,0.02795,0.1233,0.1305,0.1144,0.1209,2.3,0.18929687500000003
15,call,2016-08-18,142,2.3,0.0278,0.1203,0.1301,0.1118,0.1151,2.29,0.18929687500000003
16,call,2016-08-19,141,2.3,0.027922,0.1185,0.1202,0.1112,0.1182,2.301,0.18550781250000004
17,call,2016-08-22,140,2.3,0.027937,0.1198,0.1219,0.1141,0.1184,2.287,0.20066406250000002
18,call,2016-08-23,139,2.3,0.02796,0.1185,0.1244,0.1135,0.115,2.29,0.19308593750000003
19,call,2016-08-24,138,2.3,0.028259,0.1164,0.1178,0.1091,0.1102,2.28,0.19308593750000003
20,call,2016-08-25,137,2.3,0.028221,0.1132,0.1132,0.1003,0.1066,2.269,0.19687500000000002
21,call,2016-08-26,136,2.3,0.028366,0.1054,0.1125,0.1054,0.1056,2.267,0.20066406250000002
22,call,2016-08-29,135,2.3,0.028354,0.1028,0.106,0.0997,0.1037,2.265,0.19687500000000002
23,call,2016-08-30,134,2.3,0.028363,0.1074,0.1122,0.105,0.11,2.276,0.20066406250000002
24,call,2016-08-31,133,2.3,0.028413,0.1118,0.11800000000000001,0.1095,0.1155,2.284,0.204453125
25,call,2016-09-01,132,2.3,0.028378999999999998,0.1152,0.1191,0.1119,0.1119,2.268,0.21203125
26,call,2016-09-02,131,2.3,0.028262999999999996,0.1068,0.1128,0.1068,0.1092,2.279,0.19687500000000002
27,call,2016-09-05,130,2.3,0.028254,0.1099,0.1188,0.1099,0.1147,2.28,0.2082421875
28,call,2016-09-06,129,2.3,0.028266,0.115,0.126,0.1083,0.122,2.286,0.2158203125
29,call,2016-09-07,128,2.3,0.028175,0.121,0.129,0.121,0.1258,2.29,0.219609375
30,call,2016-09-08,127,2.3,0.028197,0.124,0.1274,0.124,0.1261,2.29,0.2233984375
