,call_or_put,date,ptmtradeday,k,rate,open,high,low,close,s,iv
0,put,2015-03-19,130,2.7,0.047304000000000006,0.2414,0.25,0.2414,0.25,2.587,0.34464843749999996
1,put,2015-03-20,129,2.7,0.046605,0.2532,0.2532,0.2062,0.2157,2.635,0.32759765625
2,put,2015-03-23,128,2.7,0.046715,0.1799,0.2001,0.1799,0.1918,2.676,0.3219140625
3,put,2015-03-24,127,2.7,0.046692,0.2103,0.214,0.2022,0.214,2.638,0.3294921875
4,put,2015-03-25,126,2.7,0.046925999999999995,0.2244,0.2268,0.2244,0.2268,2.604,0.32380859375
5,put,2015-03-26,125,2.7,0.04743699999999999,0.2198,0.2198,0.1935,0.1935,2.643,0.30296875
6,put,2015-03-27,124,2.7,0.047793,0.1957,0.1977,0.1957,0.1977,2.649,0.3143359375
7,put,2015-03-30,123,2.7,0.047702999999999995,0.1852,0.1852,0.1685,0.1685,2.74,0.33328125
8,put,2015-03-31,122,2.7,0.047827,0.1504,0.1802,0.15,0.1802,2.707,0.3294921875
9,put,2015-04-01,121,2.7,0.046969000000000004,0.1646,0.1772,0.1616,0.1772,2.753,0.35601562500000006
10,put,2015-04-02,120,2.7,0.046863999999999996,0.1571,0.1867,0.1571,0.1819,2.739,0.35601562500000006
11,put,2015-04-03,119,2.7,0.046799999999999994,0.1772,0.1772,0.1616,0.1757,2.773,0.36927734375000004
12,put,2015-04-07,118,2.7,0.046403,0.1599,0.1599,0.1596,0.1596,2.842,0.386328125
13,put,2015-04-08,117,2.7,0.045679,0.148,0.148,0.1449,0.1477,2.898,0.3976953125
14,put,2015-04-09,116,2.7,0.045335,0.1344,0.1482,0.1343,0.1482,2.877,0.386328125
15,put,2015-04-10,115,2.7,0.045145,0.1412,0.1412,0.1412,0.1412,2.936,0.4090625
16,put,2015-04-13,114,2.7,0.045473999999999994,0.1184,0.1271,0.1184,0.1271,2.991,0.4128515625
17,put,2015-04-14,113,2.7,0.045227,0.1227,0.1227,0.1227,0.1227,2.999,0.4090625
18,put,2015-04-15,112,2.7,0.045073,0.1096,0.1096,0.1096,0.1096,3.011,0.39390625
19,put,2015-04-16,111,2.7,0.04504,0.1128,0.1128,0.0952,0.0988,3.145,0.43179687499999997
20,put,2015-04-17,110,2.7,0.044896000000000005,0.0873,0.0873,0.0759,0.0804,3.185,0.4128515625
21,put,2015-04-20,109,2.7,0.043453,0.0843,0.098,0.0785,0.098,3.103,0.416640625
22,put,2015-04-21,108,2.7,0.042249999999999996,0.105,0.1081,0.1015,0.1015,3.141,0.439375
23,put,2015-04-22,107,2.7,0.041918,0.0956,0.097,0.0901,0.0901,3.241,0.45832031250000005
24,put,2015-04-23,106,2.7,0.041983,0.0802,0.0871,0.0802,0.0871,3.212,0.44316406250000007
25,put,2015-04-24,105,2.7,0.041837,0.095,0.1071,0.095,0.1,3.171,0.45453125000000005
26,put,2015-04-27,104,2.7,0.040344,0.0826,0.0896,0.0826,0.083,3.255,0.45453125000000005
27,put,2015-04-28,103,2.7,0.039740000000000004,0.078,0.0823,0.078,0.0823,3.228,0.44316406250000007
28,put,2015-04-29,102,2.7,0.0394,0.0871,0.0901,0.0844,0.0844,3.22,0.44695312500000006
29,put,2015-04-30,101,2.7,0.039063,0.087,0.0896,0.0824,0.0896,3.198,0.45074218750000006
30,put,2015-05-04,100,2.7,0.038081000000000004,0.088,0.0933,0.088,0.0931,3.211,0.46589843750000004
31,put,2015-05-05,99,2.7,0.037847,0.0898,0.1093,0.0898,0.1093,3.096,0.45074218750000006
32,put,2015-05-06,98,2.7,0.037937,0.1045,0.1081,0.0863,0.1081,3.083,0.44695312500000006
33,put,2015-05-07,97,2.7,0.03773,0.1104,0.1135,0.1071,0.1071,3.045,0.4280078125
34,put,2015-05-08,96,2.7,0.037175,0.1074,0.125,0.1073,0.1114,3.055,0.44316406250000007
35,put,2015-05-11,95,2.7,0.036611,0.1088,0.1088,0.1004,0.1006,3.11,0.44695312500000006
36,put,2015-05-12,94,2.7,0.035230000000000004,0.1027,0.1027,0.0937,0.0984,3.129,0.45453125000000005
37,put,2015-05-13,93,2.7,0.034254,0.0976,0.1078,0.0976,0.1078,3.084,0.45453125000000005
38,put,2015-05-15,91,2.7,0.032355,0.1132,0.1132,0.1132,0.1132,3.006,0.43179687499999997
39,put,2015-05-18,90,2.7,0.032119,0.1209,0.122,0.1106,0.1138,2.946,0.401484375
40,put,2015-05-19,89,2.7,0.032267000000000004,0.1022,0.1025,0.0864,0.0885,3.066,0.4128515625
41,put,2015-05-20,88,2.7,0.031774,0.0879,0.0885,0.0798,0.0885,3.066,0.4128515625
42,put,2015-05-21,87,2.7,0.030513,0.0798,0.0798,0.075,0.075,3.104,0.401484375
43,put,2015-05-22,86,2.7,0.029556,0.0755,0.0755,0.0667,0.0673,3.199,0.43179687499999997
44,put,2015-05-25,85,2.7,0.029144,0.0627,0.0627,0.0539,0.0539,3.303,0.439375
45,put,2015-05-26,84,2.7,0.029041,0.0505,0.0545,0.045,0.045,3.32,0.42421875
46,put,2015-05-27,83,2.7,0.029129000000000002,0.0495,0.052,0.0489,0.0503,3.285,0.42421875
47,put,2015-05-28,82,2.7,0.029348,0.055,0.0851,0.0544,0.0851,3.079,0.42421875
48,put,2015-05-29,81,2.7,0.029392,0.0819,0.0988,0.0808,0.0988,3.066,0.45453125000000005
49,put,2015-06-01,80,2.7,0.029500000000000002,0.0904,0.0904,0.0693,0.0693,3.198,0.44695312500000006
50,put,2015-06-02,79,2.7,0.029606,0.0643,0.0663,0.0643,0.0661,3.209,0.44695312500000006
51,put,2015-06-03,78,2.7,0.029911,0.0693,0.0699,0.0678,0.0678,3.191,0.44695312500000006
52,put,2015-06-04,77,2.7,0.030137999999999998,0.0686,0.0758,0.0579,0.0579,3.259,0.45453125000000005
53,put,2015-06-05,76,2.7,0.02994,0.0471,0.0597,0.0471,0.0594,3.254,0.45832031250000005
54,put,2015-06-08,75,2.7,0.029796,0.0506,0.0506,0.0377,0.0377,3.427,0.46210937500000004
55,put,2015-06-09,74,2.7,0.029900000000000003,0.0394,0.0451,0.0394,0.0408,3.361,0.44695312500000006
56,put,2015-06-10,73,2.7,0.030179,0.0436,0.0463,0.0411,0.0451,3.32,0.45453125000000005
57,put,2015-06-11,72,2.7,0.030240999999999997,0.0475,0.0531,0.0472,0.053,3.3,0.46968750000000004
58,put,2015-06-12,71,2.7,0.030223,0.0466,0.0549,0.0466,0.0519,3.313,0.477265625
59,put,2015-06-15,70,2.7,0.030573000000000003,0.0545,0.0618,0.0545,0.0618,3.216,0.46589843750000004
60,put,2015-06-16,69,2.7,0.031021,0.0658,0.0759,0.059,0.0707,3.148,0.46210937500000004
61,put,2015-06-17,68,2.7,0.03121,0.0744,0.0764,0.065,0.0661,3.175,0.46589843750000004
